Rating,Number Of Ratings,Address
4.4/5,197 ratings,"10250 Santa Monica Blvd #2800, Los Angeles, CA 90067, USA"
The Original BBQ Chicken,$15.99,Most Loved,CPK Favorite.
The Original BBQ Chicken Chopped,$47.99,Most Loved,"CPK Favorite. Black beans, sweet corn, jícama, fresh cilantro and basil, crispy corn tortilla strips and Monterey Jack, topped with BBQ chicken, tomatoes and scallions; served with our legendary BBQ sauce and housemade herb-ranch."
California Cobb,$47.99,Most Loved,"Gluten-Free Ingredients. Nueske’s Applewood-smoked bacon, avocado, chicken, tomatoes, chopped eggs, fresh basil and Gorgonzola with housemade herb-ranch or Bleu cheese dressing. Try it with fresh beets."
Italian Chopped,$46.99,Most Loved,"Gluten-Free Ingredients. Roasted turkey breast, julienned salami, garbanzo beans, tomatoes, Mozzarella and fresh basil, served with mustard-herb vinaigrette."
Pepperoni,$14.99,Most Loved, 
Garlic Cream Fettuccine,$41.99,Most Loved,Vegetarian. Our garlic-Parmesan cream sauce with fresh Italian parsley.
Thai Crunch,$46.99,Most Loved,"CPK Favorite. Crisp vegetables and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks, served with Thai peanut dressing."
Classic Caesar,$35.99,Most Loved,With shaved Parmesan and housemade garlic-butter croutons.
Pesto Cream Penne,$41.99,Most Popular,Vegetarian. Freshly made basil pesto cream sauce with sun-dried tomatoes and Parmesan.
Roasted Veggie,$45.99,Most Popular,"Vegetarian. Warm artichoke hearts, asparagus, eggplant, red and yellow peppers, corn and sun-dried tomatoes, served over cool romaine with avocado and housemade Dijon-balsamic vinaigrette."
Bolognese Penne,$51.99,Most Popular,Our slowly simmered traditional meat sauce sprinkled with Parmesan and parsley.
New! Wild Mushroom Strozzapreti,$57.99,Most Popular,"Rolled pasta noodles with pan-sautéed Cremini, Portobello and seasonal mushrooms, Parmesan, fresh thyme and Italian parsley."
Waldorf Chicken,$45.99,Most Popular,"Gluten-Free Ingredients. Grapes, green apples, candied walnuts, crisp celery, field greens and Gorgonzola, served with housemade Dijon-balsamic vinaigrette."
Chinese Chicken,$44.99,Most Popular,"Napa and red cabbage, romaine and wontons, served with scallions, fresh cilantro, sesame seeds and hoisin-ginger vinaigrette."
Kung Pao Spaghetti,$41.99,Most Popular,"Our twist on a Chinese classic with garlic, scallions, peanuts and hot red chilies."
Soda,$1.99,Most Popular,12oz. can.
Avocado Club Egg Rolls,$34.99,Most Popular,"CPK Favorite. Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey Jack and Nueske’s applewood smoked bacon. Served with housemade ranchito sauce and herb ranch."
Sweets Platter (Small),$24.99,Most Popular,"Vegetarian. Includes an assortment of the following sweets: Brownies, White Chocolate-Macadamia Nut Cookies, Rocky Road Cookies, Snickerdoodles and Chocolate Chunk Cookies."
Spinach Artichoke Dip,$33.99,Appetizers,CPK Favorite. Vegetarian. Served hot with housemade blue & white corn tortilla chips.
Szechuan Chicken Dumplings,$27.99,Appetizers,"Chinese dumplings, topped with sesame seeds and scallions; served with our soy-ginger chili sauce."
