code_or_ticker,yelp_name,short_name,glassdoor_url,yelp_url
BJRI,BJ's Restaurant & Brewhouse,BJ's,https://www.glassdoor.com/Reviews/BJ-s-Restaurants-Reviews-E6490.htm,yelp.com/biz/bjs-restaurant-and-brewhouse
APPB,Applebee's Neighborhood Grill & Bar,Applebee's ,https://www.glassdoor.com/Reviews/Applebee-s-Reviews-E1453.htm,yelp.com/biz/applebees-neighborhood-grill-and-bar
CAKE,The Cheesecake Factory,The Cheesecake Factory,https://www.glassdoor.com/Reviews/Cheesecake-Factory-Reviews-E2229.htm,yelp.com/biz/the-cheesecake-factory
CHIL,Chili's,Chili's,https://www.glassdoor.com/Reviews/Chili-s-Grill-and-Bar-Reviews-E143310.htm,yelp.com/biz/red-robin-gourmet-burgers
CPKI,California Pizza Kitchen,CPK,https://www.glassdoor.com/Reviews/California-Pizza-Kitchen-Reviews-E5658.htm,yelp.com/biz/california-pizza-kitchen
RRGB,Red Robin Gourmet Burgers,Red Robin,https://www.glassdoor.com/Reviews/Red-Robin-Reviews-E14609.htm,yelp.com/biz/red-robin-gourmet-burgers
TGIF,TGI Fridays,TGIF,https://www.glassdoor.com/Reviews/T-G-I-Friday-s-Reviews-E109078.htm,yelp.com/biz/tgi-fridays
