Username,location,friend_count,review_count,photo_count,rating,date,review,Url
David V.,"Dallas, TX",2,11,5,1.0,2/28/2016,"Throughly disappointed all around  I would never in a million years comeback here!!!!! If I could rate this a half a star I would! First there were no booths available, they put us in a table so small a child would have trouble eating on it. Second the queso or should I say burnt bottom of the pot sorry excuse for cheese, was terrible. Third the excuses. One after the other, all of our food came out late and the server was constantly forgetting our drinks and sides, then would come laughing apologizing that she forgot because she's new named Cruz. I ate my whole chicken crispers without a dipping sauce and I told her that I wanted honey mustard and then she brings it when we are done eating.",https://www.yelp.com/biz/chilis-rowlett
Jeff F.,"Forney, TX",0,10,12,5.0,9/24/2016,Our food today was fresh and we loved the new menu options. Ask for Matthew...he's an awesome server. Great overall experience.,https://www.yelp.com/biz/chilis-rowlett
Jessica T.,"Rowlett, TX",1,9,,5.0,1/21/2016,"This Chilis has really come far from when we visited it a few years ago. Before, it felt like another Applebee's but now it has its own flavor.  Its a little pricey but still really good.  I love, love, love the waiters and bartender! The waiter was very nice and quick to refill our cups, take our orders and even shot the breeze w/ us for a while and when he would leave and come back, he would pick up the conversation, obviously remembering what we were talking about which made you feel like a valued customer. The bartender was hilarious, randomly breaking out in song and chatting up the guys and girls at the bar, there was amusing banter and lots of smiles, jokes and enjoyment all around. He really lit the place up! There was a lot of people there which surprised me as it was in the middle of the day in the middle of the work week in the rain but the hostess still found a booth that we requested and it was comfortable seating.  The food was a lot better than I remembered and I like that they've broke off from being another Applebee's just with a different name.  We ordered some beer and mixed drinks and they were both really good. I find a lot of places will try to skimp you on the alcohol to stretch the buck so everything is just really watered down but not the case here, it was strong and delicious and I loved it! Good place, nice to see the turn around, will be back in the future!",https://www.yelp.com/biz/chilis-rowlett
Richard G.,"Rowlett, TX",0,5,,1.0,9/11/2016,"This place used to be the place to be great service great times,Then they remodeled the service went to shit I took my neighbor last week and service was crap I went back today to watch the Cowboys it took me 12 min to get a beer and I had to call a manager for that the restaurant was not even busy I left and asked the only guy in the bar for his autograph thinking he was a celebrity but no it took him 20 min to get his first beer I WILL NEVER BE BACK",https://www.yelp.com/biz/chilis-rowlett
Wesley C.,"Plano, TX",50,41,7,1.0,2/9/2016,"I think this is my first one star review, which makes me sad.  Used to love Chili's.  But this visit was all wrong from the start.  Sticky menus and table top to begin the adventure.  The highlight of the meal was the queso.  For the entree, we order a steak meal and a burger.  The steak delivered did not match what was ordered and the burger with fries was warm at best (fries were more cold).  Water ran empty multiple times, and it was not that busy.  Lastly we ordered the Oreo dessert but were told they had been out for a while.  If that's the case maybe make it not orderable on the tablet.  We waited 10 minutes to find out we could not have what we ordered.   So nothing went right this time.  Hopefully it will improve.  But not sure when we will return.",https://www.yelp.com/biz/chilis-rowlett
Ariel R.,"Whitehouse, TX",6,10,,5.0,3/14/2016,"We went to eat dinner at about 5:15, so it wasn't busy. The hostess seemed like she had a bad day but she put on a smile anyway and got us seated at a nice little booth. I also noticed she wasn't rude to any of the impatient people in a large group who were getting impatient. Our server was Mercedes, and she was great. She got our drinks quickly, made sure we had everything we needed, and small talked with us without being annoying or ignoring her other tables. She was quick and between her and the kitchen, everything went great. We both got different kinds of chicken crispers, and both kinds were exactly how we ordered them. We had also ordered Texas cheese fries, which came out with plenty of toppings - no skimping at all and no naked fries! We will definitely be back.",https://www.yelp.com/biz/chilis-rowlett
Kevin T.,"Rowlett, TX",0,17,,4.0,3/19/2016,"Chili's has been around so long I tend to forget about it when mulling over places to eat, but that's a bad idea 'cause it's still really good.  They keep re-inventing their menu and it works.  Chicken enchilada soup is delicious!  Go there soon.",https://www.yelp.com/biz/chilis-rowlett?start=20
Kayla S.,"Rowlett, TX",0,2,,2.0,8/28/2016,"Not a good location. Our Togo order was clearly not checked very well. When asking for Pico and corn salsa on the side I expected them to be in the box, not completely left out of the order. Also we didn't even get a side of fries at all. Just disappointing that other locations seem to be able to do this job with little effort and this location struggles",https://www.yelp.com/biz/chilis-rowlett?start=20
Glenn G.,"Garland, TX",142,26,52,3.0,6/23/2014,"There are 3 Chili's in my immediate area and this one is my least favorite. Most Chilis have taken off of the menu the crispy fried onion strings and jalapenos.. Most of the Chili's will go ahead and make them for you anyway if you ask but not this chili's. I asked someone why they can't serve them anymore and they basically told me ""I just work here "" I'll stick to my normal Chilis on George Bush freeway from now on. Make sure you ask for Jen",https://www.yelp.com/biz/chilis-rowlett?start=20
C W.,"Rowlett, TX",0,3,,2.0,1/20/2016,We were regulars each week and could just go into bar area and sit at any open seat but I guess it's new management as now when we go even for the bar everyone must wait for hostess to sit them. There are empty tables that just need to be cleaned but not enough staff to clean them. Some people will still go on and sit themselves while the hostess disappears as  there is an unneeded wait. We may not be going there in the future which is sad as we have grown fond of some of the staff.,https://www.yelp.com/biz/chilis-rowlett?start=20
Joe C.,"Rowlett, TX",4,166,97,1.0,5/6/2012,"Oh please help this place....what happened to the good bar tender...he was great...auggg...we ordered two drinks and both...were bad. The first was just wrong. The second which was suppose to be served in a shaker..again..worthless. Last time I ordered these same drinks, they were strong and tasted great!! Today...out of the presidente...I was able to only fill my glass once instead of three times. The food...the buffalo chicken I ordered was cold. So I did not eat it and asked to order a new one. This one was Great...hot etc. But they hit me up with a 7 dollar charge.  At this point..I felt bad for the waiter..he was great..so he got a 10 dollar tip ..40%. If I were the manager, I would quit messing around and watch what is going on. PLEASE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",https://www.yelp.com/biz/chilis-rowlett?start=20
Daren M.,"Rowlett, TX",33,7,3,4.0,8/16/2015,"We are frequent visitors to this location and as always the staff is great. Can I was our server this time around and kept us laughing the entire time. The only reason for four stars and not five, a few of our favorite menu items are gone and we have noticed that the ramekins they use now are much smaller.",https://www.yelp.com/biz/chilis-rowlett?start=20
Jessica A.,"Plano, TX",155,55,2,1.0,1/9/2015,"Don't  ever get food to go. Actually,  just by pass this restaurant all together. Chili's already sucks, but this location takes it to another level.",https://www.yelp.com/biz/chilis-rowlett?start=20
Gi G.,"Dallas, TX",9,17,1,4.0,11/16/2015,Chili's have came along way from the last time I visited. The downside to my most recent visit was no waiting/ seating area. It was cold on a Friday evening for dinner so I expected a little wait time. It's awkward though when I'm nearly standing in the middle of everyone's way and feel like I'm intruding on others dinner. So finally I spot a seat at the bar and made a mad dash. Ordered my usual water and had the new rib eye tacos. These tacos were loaded with flavor and so much filling inside. I'm impressed with Chili's menu and interior vamp. I'm definitely looking forward to coming back and trying more of the menu. If I can stay away from those delicious tacos first... Probably not.,https://www.yelp.com/biz/chilis-rowlett?start=20
Zach H.,"Madison, WI",0,5,3,1.0,12/16/2013,"Absolutely disgusting. We walked in with a party of 7 and the restaraunt was mostly empty. Yet they acted distraught at the number of people in our party and took 15 minutes to seat us. Another group of three had to wait as well. The staff was rude and inattentive.  The food was stomach churning. The taco pizza tasted like something you'd get from a gas station. The meat on the pizza, the fajitas and the mango chicken were all overdone, tough and chewy.  The potato skins were frozen.   When we complained to the manager, she was not concerned. We managed to get the taco pizza removed as it was the worst.  Very nasty, run down establishment.  The food is likely to come right back up out of your stomach. STAY AWAY.",https://www.yelp.com/biz/chilis-rowlett?start=20
Kim B.,"Bedford, TX",138,119,24,4.0,7/15/2014,"Chili's is what it is. The food doesn't change, it's your average American restaurant chain food. The price is very equivalent to the value of the food. I really like this location because of the service. Nicole is a server and a bartender and she's SUPER awesome. Very friendly and remembers me from months ago. Sometimes the service makes up for the average food. It's not terrible food, just know it's not going to be like your momma's cookin'! I suggest going if you just want to sit down, eat a meal and enjoy whomever you are with...and have AWESOME service.",https://www.yelp.com/biz/chilis-rowlett?start=20
Leigh F.,"Cedar Hill, TX",50,228,8,1.0,10/9/2012,"We came by here last night.  So disappointed.  We ordered the beef fajita nachos to share.  I noticed right away that the ""beef"" was gray, like it had been boiled. When I tasted it, it was mushy and didn't have much flavor at all.  Needless to say, the meat was not grilled or even pan seared.  We sent it back and tried the ground beef nachos. A little better but come on. Way too salty. Just nothing special. Chili's used to be SO GOOD. Way too many choices out there these days. We tried to stop somewhere else before coming here but that place was closed on Mondays.",https://www.yelp.com/biz/chilis-rowlett?start=20
Emily S.,"Rowlett, TX",1,12,1,2.0,4/20/2014,"So they this new mini computer thing at the tables now its almost like an electronic menu I think but yih can access a progeam to play trivia cames, ok cool they have this at Nicks too.  But you dont have to pay for it at Nicks.  No where on this device does it talk about you play u pay, your waiter is supposed to tell you this thats what the waiter behind me told his table thats how I found out. Ok so it was only .99 thats not the point no where does it mention u have to pay to play now its not per game its just oncd u start u can  play all u want. You can also u the device to pay ur bill it automatically calculates ur tip, a scale pops up it puts the curser at 20% then you can move the amount up or down  my waiter was hardly at my table at all as it was with this he hardly needs to come at all now so 20% seems like a lot now.. Any ways, im more pissed off about not knowing u have to play to play games on the device",https://www.yelp.com/biz/chilis-rowlett?start=20
D R.,"Garland, TX",4,74,37,4.0,4/10/2013,"I was skeptical coming into this Chili's, but I'm SOOO glad I did!! Server was cordial and made sure my black current tea was never out. Very family-friendly (important because i had my 3-yr-old niece with me), clean and best of all.. close to home!! So excited about coming back!!",https://www.yelp.com/biz/chilis-rowlett?start=20
Bill B.,"Dallas, TX",102,580,1772,4.0,7/20/2012,Arrived just before 12Noon and was surprised at how few customers this establishment had. We were seated immediately. The service was very good since they had few to wait on. We all had a luncheon specials from the special menu which was half sandwich and very large salad. The food was good and the prices reasonable. Plenty of parking right at the front  door.,https://www.yelp.com/biz/chilis-rowlett?start=20
Julian O.,"Garland, TX",18,53,2,1.0,3/20/2011,The menu has a lot of options. All I have to say is they are a Jack of all trades and a master of none. Go somewhere else this place is horrible.,https://www.yelp.com/biz/chilis-rowlett?start=20
Kim R.,"Rowlett, TX",1,23,,5.0,7/24/2012,"We ordered Chili's Togo. We had a small problem with the order but it was quickly recognized and fixed. The manager was very responsive. We will definitely return as we know if a problem arises again, they will fix it.",https://www.yelp.com/biz/chilis-rowlett?start=20
Kate S.,"Allen, TX",1,19,,3.0,8/29/2010,"Lots of options, and the menu changes frequently. I would recommend the burgers and loaded mashed potatoes over anything else. The salads are not your classic salad. The house salad has corn and the caesar contains parmesean cheese slices instead of shreds and the dressing is not very good. The caesar salad is also very peppery. The desserts are good here, and you can make it a cheap date.",https://www.yelp.com/biz/chilis-rowlett?start=20
Clinton M.,"Rowlett, TX",0,3,,1.0,3/27/2013,"Worst service ever. At least it must be, considering we didn't get any at all! After waiting at the door for a few minutes to get a table, a young brown haired waitress walked by us. Twice. She didn't say a word. We figured that meant seat yourself, so we grabbed a booth by the bar. The overweight bartender ignored us, as did two Hispanic young men. After ten minutes of waiting, a man walked in the front door, sat near us in the bar, and was served a beer. The bartender also gave him a kind greeting. I looked at myself and my husband and thought we were dressed nicely, our hair done, and clean. This didn't go for the rest of the customers. I can't figure out why we were ignored, but I've never been to a place that was slow and had to wait almost thirty minutes until I got frustrated and had to leave. I've worked in the restaurant business too long and know this isn't how it should be. See ya chili's. too bad for you, we came across a bunch of extra cash and were hoping to make someone's day.",https://www.yelp.com/biz/chilis-rowlett?start=20
