entity,best,da,worst,da2
the,108,ORG,0.0,0
Cheesecake,77,ORG,0.0,0
The,33,GPE,11.0,ORG
Santa,21,PERSON,1.0,GPE
CF,16,GPE,0.0,0
Chicken,13,ORG,3.0,PERSON
Waikiki,12,ORG,1.0,ORG
Kapolei,10,GPE,0.0,0
Miso,10,PERSON,0.0,0
Oreo,9,PERSON,0.0,0
Macy,9,PERSON,0.0,0
Madeira,8,PERSON,0.0,0
Best,7,GPE,0.0,0
 It,6,PERSON,0.0,0
Cobb,6,ORG,0.0,0
Ka,6,ORG,0.0,0
Stephanie,6,PERSON,0.0,0
Brandon,5,PERSON,0.0,0
Palo,5,PERSON,0.0,0
Reese,5,PERSON,0.0,0
Clean,5,PERSON,0.0,0
Steak,5,PERSON,0.0,0
Ally,5,PERSON,0.0,0
Town,5,PERSON,0.0,0
Buffalo,4,ORG,1.0,ORG
Tip,4,PERSON,0.0,0
Jackie,4,PERSON,0.0,0
Medi,4,PERSON,0.0,0
Food,4,PERSON,0.0,0
Diane,4,ORG,0.0,0
Rice,4,ORG,0.0,0
Pasadena,4,GPE,0.0,0
Bacon,3,PERSON,0.0,0
Louisiana,3,GPE,0.0,0
Jaylene,3,PERSON,0.0,0
Simos,3,PERSON,0.0,0
Cajun,3,ORG,0.0,0
Hershey,3,ORG,0.0,0
White,3,ORG,0.0,0
Black,3,ORG,0.0,0
Godiva,3,GPE,0.0,0
TJ,3,PERSON,0.0,0
Fried,3,PERSON,0.0,0
Tha,3,GPE,0.0,0
Evelyn,3,PERSON,0.0,0
Caesar,3,ORG,0.0,0
Harrison,3,PERSON,0.0,0
Castro,3,ORG,0.0,0
 I,3,PERSON,0.0,0
Shepherd,2,PERSON,1.0,PERSON
Dolphin,2,PERSON,0.0,0
Tomato,2,PERSON,0.0,0
Dulce,2,GPE,0.0,0
Server,2,ORG,0.0,0
Tyler,2,PERSON,0.0,0
Tyson,2,PERSON,1.0,PERSON
Sebastian,2,PERSON,0.0,0
Vanessa,2,PERSON,0.0,0
Customer,2,ORG,0.0,0
Crazy,2,ORG,0.0,0
Stanford,2,ORG,0.0,0
Tiramisu,2,GPE,0.0,0
FOOD,2,ORG,0.0,0
Kalua,2,PERSON,0.0,0
Johnny,2,PERSON,0.0,0
Herb,2,PERSON,0.0,0
Heather,2,PERSON,0.0,0
Happy,2,ORG,0.0,0
Snickers,2,ORG,0.0,0
Super,2,PERSON,1.0,ORG
Sweet,2,PERSON,0.0,0
THX,2,ORG,0.0,0
GilbertThe,2,PERSON,0.0,0
