entity,worst,da,best,da2
Applebee,17,ORG,12.0,ORG
Applebees,3,GPE,4.0,ORG
James,2,PERSON,0.0,0
McDonald,2,ORG,0.0,0
RVA,2,ORG,0.0,0
LOL,2,ORG,0.0,0
To,2,PERSON,0.0,0
Yada,1,PERSON,0.0,0
at,1,ORG,0.0,0
fuegoOrdered,1,ORG,0.0,0
helpWow,1,ORG,0.0,0
Vacaville,1,GPE,0.0,0
hemetStaffing,1,GPE,0.0,0
Willow,1,GPE,0.0,0
Server,1,PERSON,0.0,0
Clifton,1,GPE,0.0,0
Bill,1,PERSON,0.0,0
National,1,ORG,0.0,0
Tracy,1,PERSON,0.0,0
Temecula,1,GPE,0.0,0
Rubio,1,PERSON,0.0,0
Richmond,1,GPE,0.0,0
NEVER,1,ORG,0.0,0
Garbage,1,ORG,0.0,0
Menifee,1,GPE,0.0,0
Marshalls,1,PERSON,0.0,0
Hackensack,1,GPE,0.0,0
HORRIBLE,1,ORG,0.0,0
