entity,worst,da,best,da2
Red,293,ORG,1403.0,ORG
Robin,70,ORG,364.0,PERSON
TICK,42,ORG,0.0,0
 ,34,PERSON,0.0,0
HORRIBLE,20,ORG,0.0,0
THE,18,ORG,12.0,GPE
NO,16,ORG,0.0,0
NEVER,15,ORG,8.0,ORG
Horrible,15,PERSON,0.0,0
Sandy,13,GPE,0.0,0
US,12,ORG,9.0,ORG
BBQ,12,ORG,71.0,ORG
Coke,12,PERSON,0.0,0
Mario,11,PERSON,0.0,0
Ok,11,GPE,10.0,PERSON
CARE,11,GPE,0.0,0
Prob,10,ORG,0.0,0
Betsy,10,PERSON,0.0,0
Salad,10,GPE,0.0,0
RR,10,ORG,68.0,ORG
ONCE,10,ORG,0.0,0
Burger,10,GPE,0.0,0
Bit,10,ORG,0.0,0
McDonalds,9,PERSON,4.0,ORG
McDonald,9,ORG,6.0,ORG
Gross,9,PERSON,0.0,0
COLD,9,PERSON,0.0,0
AWFUL,9,ORG,0.0,0
SLOW,9,ORG,0.0,0
Fries,9,PERSON,46.0,PERSON
Matt,8,PERSON,33.0,PERSON
WTF,8,ORG,0.0,0
Another,8,PERSON,0.0,0
Chris,8,PERSON,0.0,0
WORST,7,PERSON,0.0,0
Royal,7,ORG,71.0,ORG
Jared,7,PERSON,0.0,0
MIA,7,ORG,0.0,0
Chicken,7,GPE,31.0,GPE
Roger,7,ORG,0.0,0
Disney,7,PERSON,0.0,0
David,7,PERSON,32.0,PERSON
BIG,7,PERSON,4.0,GPE
YELP,7,ORG,0.0,0
Buffalo,6,ORG,14.0,ORG
Blech,6,ORG,0.0,0
Food,6,ORG,33.0,PERSON
The,6,ORG,127.0,PERSON
John,6,PERSON,130.0,ORG
Ruby,5,PERSON,2.0,PERSON
Al,5,ORG,0.0,0
Alana,5,PERSON,0.0,0
LAST,5,ORG,0.0,0
Robbin,5,ORG,0.0,0
Katie,5,PERSON,9.0,ORG
Joshua,5,PERSON,0.0,0
Dr,5,PERSON,0.0,0
Decor,5,GPE,0.0,0
Bacon,5,PERSON,32.0,ORG
ID,5,GPE,0.0,0
Meriah,5,PERSON,0.0,0
GM,5,PERSON,0.0,0
María,5,PERSON,0.0,0
Jackie,5,PERSON,0.0,0
Blue,4,ORG,55.0,ORG
Ventura,4,PERSON,3.0,GPE
FOREVER,4,ORG,0.0,0
Breille,4,PERSON,0.0,0
VERY,4,PERSON,32.0,ORG
South,4,GPE,0.0,0
Orland,4,ORG,0.0,0
CT,4,GPE,0.0,0
Jud,4,PERSON,0.0,0
Yup,4,PERSON,0.0,0
Table,4,ORG,0.0,0
Place,4,ORG,0.0,0
ROBIN,4,PERSON,12.0,PERSON
Bartender,4,PERSON,5.0,PERSON
Danbury,4,GPE,0.0,0
Dakota,4,GPE,0.0,0
DISGUSTING,4,ORG,0.0,0
AGAIN,4,ORG,0.0,0
HUGE,4,ORG,14.0,ORG
HOUR,4,GPE,0.0,0
Box,4,ORG,0.0,0
BTW,4,ORG,1.0,ORG
Stella,3,PERSON,4.0,PERSON
Hell,3,ORG,0.0,0
Nicole,3,PERSON,12.0,PERSON
Southwest,3,ORG,5.0,ORG
Hannah,3,PERSON,3.0,PERSON
Stockton,3,GPE,2.0,GPE
Deanna,3,PERSON,0.0,0
Daniel,3,GPE,39.0,PERSON
Concord,3,ORG,0.0,0
Texas,3,GPE,8.0,GPE
Chicago,3,GPE,6.0,GPE
Cheese,3,PERSON,0.0,0
Hyde,3,PERSON,0.0,0
WRONG,3,ORG,0.0,0
Honestly,3,PERSON,0.0,0
Amy,3,PERSON,16.0,PERSON
SUCKS,3,ORG,0.0,0
Katelynne,3,PERSON,0.0,0
Jessica,3,PERSON,24.0,PERSON
Salem,3,PERSON,0.0,0
NEGATIVE,3,ORG,0.0,0
Queen,3,ORG,0.0,0
Jersey,3,PERSON,0.0,0
Rancho,3,ORG,5.0,ORG
MY,3,GPE,0.0,0
Lynnwood,3,GPE,3.0,GPE
Banzai,3,ORG,8.0,GPE
Sasha,3,ORG,0.0,0
Seattle,3,GPE,12.0,GPE
Wtf,3,PERSON,0.0,0
TO,2,ORG,0.0,0
FRIES,2,ORG,15.0,ORG
FINALLY,2,ORG,0.0,0
Teriyaki,2,ORG,4.0,ORG
MGR,2,ORG,0.0,0
Terrisa,2,PERSON,0.0,0
MARYANN,2,ORG,0.0,0
Octavio,2,ORG,0.0,0
This,2,GPE,30.0,GPE
Disgusting,2,ORG,0.0,0
Michelle,2,PERSON,1.0,GPE
Nasty,2,PERSON,0.0,0
Irene,2,PERSON,3.0,ORG
Spokane,2,GPE,0.0,0
Splenda,2,GPE,0.0,0
Jalapeno,2,ORG,1.0,PERSON
Greenwood,2,GPE,0.0,0
Isabelle,2,GPE,0.0,0
PAYING,2,ORG,0.0,0
SEVERAL,2,ORG,0.0,0
Parmesan,2,ORG,13.0,PERSON
POS,2,PERSON,0.0,0
IHOP,2,ORG,0.0,0
Staff,2,PERSON,39.0,PERSON
Germantown,2,GPE,0.0,0
Noelle,2,PERSON,6.0,GPE
Josiah,2,PERSON,0.0,0
Pepper,2,PERSON,0.0,0
Kevin,2,PERSON,10.0,PERSON
NOTHING,2,ORG,0.0,0
Morgan,2,PERSON,2.0,PERSON
SI,2,ORG,0.0,0
Tick,2,PERSON,0.0,0
Anyways,2,GPE,11.0,ORG
Arrived,2,PERSON,0.0,0
Ashley,2,PERSON,24.0,PERSON
Avondale,2,ORG,1.0,GPE
Brewery,2,ORG,0.0,0
Brittany,2,GPE,47.0,PERSON
