entity,worst,da,best,da2
BJ,19,ORG,70.0,ORG
NFL,4,ORG,0.0,0
William,4,PERSON,0.0,0
Karen,4,PERSON,0.0,0
Tara,3,ORG,0.0,0
Brandon,3,PERSON,4.0,PERSON
Chicago,2,GPE,1.0,GPE
Chino,2,ORG,0.0,0
Vegas,1,GPE,0.0,0
Whiskey,1,ORG,0.0,0
Truly,1,PERSON,1.0,PERSON
Steak,1,ORG,0.0,0
YOU,1,ORG,0.0,0
Slidell,1,GPE,1.0,GPE
Yelp,1,PERSON,3.0,ORG
TERRIBLE,1,ORG,0.0,0
Siracha,1,ORG,0.0,0
NEVER,1,ORG,0.0,0
Applebee,1,ORG,0.0,0
Americana,1,ORG,0.0,0
Brussels,1,GPE,3.0,GPE
COLD,1,ORG,0.0,0
Salad,1,PERSON,0.0,0
Kassandra,1,PERSON,0.0,0
Reminds,1,PERSON,0.0,0
RAW,1,ORG,0.0,0
New,1,ORG,5.0,GPE
Manger,1,PERSON,0.0,0
MID,1,ORG,0.0,0
MIA,1,ORG,0.0,0
Lance,1,PERSON,0.0,0
Julio,1,GPE,0.0,0
Caesars,1,ORG,0.0,0
GrubHub,1,ORG,0.0,0
Great,1,ORG,0.0,0
Grammer,1,ORG,0.0,0
Geez,1,PERSON,0.0,0
Fries,1,PERSON,1.0,PERSON
Fish,1,PERSON,0.0,0
ESPECIALLY,1,ORG,0.0,0
Dennison,1,ORG,0.0,0
Dear,1,ORG,0.0,0
Chicken,1,PERSON,2.0,PERSON
 ,1,PERSON,2.0,PERSON
