entity,worst,da,best,da2
Red,10,PERSON,11.0,GPE
Robin,3,PERSON,6.0,PERSON
Burger,3,ORG,0.0,0
Fries,2,PERSON,1.0,PERSON
Yuengling,2,PERSON,0.0,0
RR,1,GPE,0.0,0
Server,1,PERSON,0.0,0
ROBIN,1,PERSON,0.0,0
Waitresses,1,PERSON,0.0,0
WayBack!Is,1,ORG,0.0,0
Prime,1,ORG,0.0,0
RAW,1,ORG,0.0,0
PULLED,1,ORG,0.0,0
Attentive,1,PERSON,0.0,0
Dick,1,PERSON,0.0,0
Ferickson,1,PERSON,0.0,0
Fire,1,ORG,0.0,0
Food,1,PERSON,0.0,0
Gross,1,PERSON,0.0,0
Israel,1,GPE,0.0,0
Kinda,1,GPE,0.0,0
Matt,1,PERSON,0.0,0
NO,1,GPE,0.0,0
