entity,worst,da,best,da2
Jack,54,PERSON,194.0,PERSON
TGIF,54,ORG,167.0,GPE
HORRIBLE,26,ORG,0.0,0
WORST,21,ORG,0.0,0
Long,20,ORG,0.0,0
Mike,20,PERSON,18.0,ORG
NEVER,19,PERSON,0.0,0
THE,18,PERSON,2.0,ORG
DO,18,ORG,0.0,0
ONCE,18,ORG,0.0,0
Bitch,17,ORG,0.0,0
GM,17,ORG,17.0,ORG
 ,17,ORG,30.0,PERSON
Daniels,16,GPE,30.0,GPE
Bobby,16,ORG,0.0,0
SO,16,ORG,6.0,PERSON
FULL,15,ORG,0.0,0
US,15,ORG,2.0,PERSON
Damon,13,PERSON,0.0,0
Ok,12,GPE,4.0,GPE
Horrible,12,ORG,0.0,0
Gross,11,ORG,0.0,0
Yelp,11,PERSON,0.0,0
COLD,11,ORG,0.0,0
Amanda,11,GPE,0.0,0
ASAP,10,ORG,0.0,0
Kyle,10,PERSON,7.0,PERSON
I.,9,GPE,6.0,PERSON
Brea,9,PERSON,0.0,0
WTF,9,ORG,0.0,0
Mc,9,ORG,0.0,0
BBQ,9,ORG,24.0,GPE
Crown,9,GPE,0.0,0
Marilyn,8,PERSON,0.0,0
Chad,8,PERSON,0.0,0
AN,7,GPE,0.0,0
MIA,7,ORG,0.0,0
Carmel,7,ORG,0.0,0
Tami,7,PERSON,0.0,0
Edgar,7,PERSON,2.0,PERSON
Jessica,7,PERSON,6.0,PERSON
Happy,7,PERSON,0.0,0
Frist,6,PERSON,0.0,0
MY,6,GPE,0.0,0
Kale,6,GPE,0.0,0
Food,6,ORG,6.0,ORG
Mark,6,PERSON,0.0,0
TAP,6,ORG,0.0,0
ZERO,6,ORG,0.0,0
REALLY,6,ORG,0.0,0
Sarah,6,PERSON,6.0,PERSON
Next,6,ORG,0.0,0
WRONG,6,ORG,0.0,0
WOW,6,ORG,9.0,ORG
Menus,6,ORG,0.0,0
Wendy,5,ORG,0.0,0
Frank,5,ORG,7.0,ORG
Tyson,5,GPE,7.0,GPE
Timmy,5,PERSON,0.0,0
DISGUSTING,5,ORG,0.0,0
Christopher,5,PERSON,0.0,0
Chris,5,GPE,22.0,ORG
Caesar,5,ORG,7.0,PERSON
Casey,5,PERSON,0.0,0
Tracey,5,PERSON,0.0,0
California,5,GPE,7.0,GPE
SAME,5,ORG,0.0,0
OMG,5,ORG,3.0,ORG
Ruben,5,PERSON,0.0,0
NOTHING,5,PERSON,0.0,0
IT,5,ORG,0.0,0
Salvador,5,ORG,1.0,ORG
Smh,5,ORG,0.0,0
NASTY,5,ORG,0.0,0
THERE,5,ORG,0.0,0
Alfredo,4,PERSON,1.0,PERSON
Bottom,4,GPE,0.0,0
Applebees,4,PERSON,6.0,GPE
Bartender,4,PERSON,10.0,PERSON
Bailey,4,ORG,0.0,0
Anyways,4,PERSON,1.0,PERSON
Applebee,4,ORG,6.0,ORG
McDonald,4,PERSON,1.0,ORG
Dylan,4,PERSON,0.0,0
Torrance,4,GPE,0.0,0
Mom,4,PERSON,0.0,0
Knotts,4,GPE,4.0,ORG
Kionna,4,GPE,0.0,0
Kim,4,PERSON,0.0,0
Jose,4,GPE,18.0,PERSON
Ivette,4,PERSON,0.0,0
I've,4,PERSON,0.0,0
Green,4,GPE,0.0,0
THIS,4,ORG,3.0,ORG
Fries,4,PERSON,0.0,0
Ultimate,4,ORG,8.0,ORG
Cerritos,4,GPE,4.0,GPE
Facebook,4,GPE,0.0,0
Waters,4,PERSON,2.0,PERSON
FRIDAY,4,ORG,1.0,ORG
McKenna,4,PERSON,0.0,0
Dinner,4,ORG,6.0,GPE
Corporate,4,ORG,0.0,0
Concord,4,GPE,0.0,0
Chili,4,ORG,5.0,PERSON
Pages,4,PERSON,0.0,0
JD,4,ORG,12.0,GPE
10811,3,ORG,0.0,0
COMPLETELY,3,ORG,0.0,0
CLEARLY,3,ORG,0.0,0
Kevin,3,PERSON,17.0,PERSON
Becca,3,PERSON,0.0,0
ours,3,PERSON,0.0,0
Margarita,3,PERSON,2.0,PERSON
Steven,3,PERSON,0.0,0
Ashley,3,PERSON,12.0,ORG
Jasmine,3,PERSON,16.0,PERSON
Truly,3,PERSON,0.0,0
EVERYONE,3,ORG,1.0,ORG
Emily,3,PERSON,3.0,PERSON
DRINKS,3,ORG,0.0,0
DIRTY,3,ORG,0.0,0
FOREVER,3,ORG,0.0,0
YELP,3,GPE,0.0,0
Cynthia,3,PERSON,1.0,PERSON
Southfield,3,GPE,0.0,0
WHAT,3,ORG,0.0,0
Guy,3,GPE,0.0,0
Tysons,3,ORG,0.0,0
Staff,3,PERSON,12.0,PERSON
LESS,3,ORG,0.0,0
