entity,best,da,worst,da2
BJ,2847,PERSON,389.0,PERSON
the,1199,ORG,148.0,ORG
Best,314,PERSON,0.0,0
Mark,306,ORG,0.0,0
San,283,PERSON,16.0,GPE
The,225,PERSON,15.0,PERSON
Pizookie,201,PERSON,7.0,PERSON
 ,187,GPE,0.0,0
David,184,PERSON,11.0,PERSON
California,165,GPE,9.0,GPE
Chili,141,PERSON,2.0,ORG
John,132,PERSON,0.0,0
BEST,124,ORG,0.0,0
BBQ,120,ORG,11.0,ORG
Jeremiah,112,PERSON,2.0,PERSON
Bacon,105,ORG,0.0,0
Alex,102,PERSON,0.0,0
GM,100,ORG,9.0,GPE
AMAZING,97,ORG,0.0,0
Mediterranean,95,ORG,0.0,0
Parmesan,94,PERSON,11.0,ORG
Fish,93,ORG,16.0,PERSON
IPA,91,ORG,0.0,0
Berry,88,PERSON,0.0,0
Michael,88,ORG,5.0,PERSON
LA,87,GPE,12.0,ORG
Brea,87,ORG,10.0,PERSON
Ahi,85,PERSON,0.0,0
Courtney,85,PERSON,0.0,0
Brewhouse,80,GPE,6.0,PERSON
Grand,77,GPE,0.0,0
James,76,PERSON,0.0,0
Root,76,ORG,0.0,0
Chicago,73,PERSON,1.0,GPE
Pazookie,71,ORG,0.0,0
Chris,70,PERSON,6.0,PERSON
Arden,70,ORG,0.0,0
Cobb,67,ORG,0.0,0
Sam,64,PERSON,0.0,0
Anna,61,PERSON,0.0,0
Casey,60,ORG,0.0,0
Caesar,60,GPE,6.0,PERSON
Alfredo,59,PERSON,5.0,PERSON
Chicken,58,ORG,2.0,PERSON
Lauren,56,GPE,0.0,0
Friendly,54,PERSON,0.0,0
Black,54,PERSON,6.0,PERSON
Brussels,52,GPE,3.0,GPE
Nick,52,PERSON,0.0,0
Deep,51,PERSON,5.0,PERSON
Cory,51,PERSON,0.0,0
Staff,51,GPE,0.0,0
Daniel,49,PERSON,0.0,0
HUGE,48,ORG,0.0,0
Cheese,48,PERSON,0.0,0
New,48,ORG,0.0,0
Sarah,48,PERSON,0.0,0
Mother,47,PERSON,4.0,PERSON
Brian,47,PERSON,2.0,PERSON
Kyle,46,PERSON,4.0,PERSON
Ok,44,ORG,7.0,GPE
Steven,44,PERSON,2.0,PERSON
Melissa,43,PERSON,4.0,PERSON
Jordan,43,GPE,0.0,0
Jambalaya,43,PERSON,0.0,0
Jeff,42,ORG,0.0,0
Christina,41,PERSON,1.0,PERSON
Brandon,41,PERSON,3.0,PERSON
Mike,41,PERSON,0.0,0
Brussel,39,ORG,2.0,ORG
Stephanie,39,PERSON,1.0,PERSON
VERY,39,ORG,6.0,ORG
Amber,38,PERSON,1.0,PERSON
Reno,38,PERSON,0.0,0
Amy,38,ORG,5.0,PERSON
Megan,37,PERSON,0.0,0
Super,37,PERSON,0.0,0
Jessica,36,PERSON,0.0,0
Amanda,36,GPE,0.0,0
Anthony,36,PERSON,0.0,0
Porter,36,PERSON,0.0,0
Salmon,36,PERSON,1.0,PERSON
Clean,36,ORG,0.0,0
WOW,35,ORG,3.0,ORG
Eric,35,ORG,3.0,PERSON
HH,34,ORG,0.0,0
Justin,34,PERSON,2.0,PERSON
Andrew,34,PERSON,1.0,PERSON
Paul,34,PERSON,5.0,PERSON
Classic,34,PERSON,0.0,0
Ashley,33,ORG,0.0,0
Kevin,33,PERSON,2.0,PERSON
BJS,32,GPE,6.0,PERSON
Jason,32,GPE,0.0,0
Charles,31,GPE,0.0,0
Angelina,31,ORG,0.0,0
Josh,31,PERSON,0.0,0
Bonnie,31,PERSON,0.0,0
North,31,ORG,3.0,PERSON
OMG,30,ORG,4.0,ORG
Alicia,30,PERSON,0.0,0
Santa,30,GPE,1.0,PERSON
GOOD,30,ORG,0.0,0
Austin,29,GPE,3.0,GPE
Bill,29,PERSON,0.0,0
Buffalo,29,GPE,3.0,ORG
Tony,29,PERSON,0.0,0
Tatonka,28,GPE,0.0,0
Danny,28,PERSON,0.0,0
Jennifer,27,PERSON,1.0,PERSON
Emily,27,ORG,0.0,0
Spinach,26,ORG,0.0,0
Lol,26,ORG,0.0,0
Cesar,26,PERSON,5.0,PERSON
Las,26,ORG,0.0,0
YUM,25,PERSON,0.0,0
ASAP,25,ORG,9.0,ORG
Orlando,25,PERSON,3.0,PERSON
Texas,25,GPE,2.0,GPE
Pink,24,PERSON,0.0,0
Hubby,24,PERSON,1.0,PERSON
Bravo,24,PERSON,0.0,0
William,24,ORG,2.0,PERSON
P.S.,24,GPE,0.0,0
Sriracha,24,ORG,2.0,ORG
Audrey,24,PERSON,0.0,0
Carmel,24,ORG,0.0,0
Server,24,PERSON,6.0,PERSON
Cheesecake,23,ORG,0.0,0
Applebee,23,ORG,3.0,ORG
Lemon,23,PERSON,0.0,0
BOGO,23,ORG,0.0,0
Next,23,PERSON,7.0,ORG
Dinner,23,ORG,4.0,ORG
Vanessa,23,PERSON,0.0,0
AWESOME,23,ORG,0.0,0
Nicole,23,ORG,1.0,PERSON
Calamari,22,ORG,2.0,ORG
Fries,22,PERSON,0.0,0
I.,22,PERSON,0.0,0
Feta,22,ORG,0.0,0
IMO,22,PERSON,0.0,0
Taylor,21,PERSON,0.0,0
MORE,21,ORG,0.0,0
Blonde,21,PERSON,0.0,0
Katie,21,PERSON,0.0,0
Margarita,20,PERSON,0.0,0
LOL,20,ORG,0.0,0
Chocolate,20,ORG,0.0,0
DELICIOUS,20,ORG,0.0,0
Arizona,20,PERSON,1.0,GPE
Kristen,20,PERSON,1.0,PERSON
Sweet,20,PERSON,0.0,0
Kelsey,19,PERSON,0.0,0
Avocado,19,ORG,0.0,0
Scott,19,PERSON,5.0,PERSON
Steve,19,ORG,2.0,ORG
Tim,19,PERSON,0.0,0
Matthew,19,PERSON,0.0,0
Bailey,19,ORG,0.0,0
White,19,ORG,0.0,0
House,19,PERSON,0.0,0
NFL,19,ORG,3.0,ORG
Patrick,19,PERSON,0.0,0
Alyssa,19,PERSON,0.0,0
Triple,19,PERSON,0.0,0
Laguna,18,PERSON,6.0,GPE
Spicy,18,PERSON,0.0,0
GREAT,18,PERSON,0.0,0
Yum,18,GPE,0.0,0
Hefeweizen,18,ORG,1.0,ORG
