entity,best,da,worst,da2
BJ,6,ORG,4.0,ORG
Brandon,5,PERSON,0.0,0
Annalisa,3,PERSON,0.0,0
Perry,1,ORG,0.0,0
Pizookie,1,PERSON,0.0,0
Mediterranean,1,ORG,0.0,0
Calamari,1,ORG,0.0,0
Brewhouse,1,PERSON,0.0,0
Bjs,1,PERSON,0.0,0
