name,bad,da,good,da2
put,132,NOUN,40.0,NOUN
hostess,131,NOUN,49.0,NOUN
am,127,NOUN,0.0,0
someone,126,NOUN,34.0,NOUN
well,125,NOUN,288.0,NOUN
No,120,NOUN,0.0,0
point,118,NOUN,66.0,NOUN
else,117,NOUN,0.0,0
fries,115,NOUN,133.0,NOUN
bartender,114,NOUN,129.0,NOUN
customers,112,NOUN,36.0,NOUN
anything,112,NOUN,66.0,NOUN
water,112,NOUN,38.0,NOUN
care,110,NOUN,140.0,NOUN
plate,110,NOUN,42.0,NOUN
mins,109,NOUN,9.0,NOUN
husband,109,NOUN,94.0,NOUN
dinner,108,NOUN,165.0,NOUN
management,108,NOUN,34.0,NOUN
family,107,NOUN,134.0,NOUN
half,107,NOUN,84.0,NOUN
gave,106,NOUN,0.0,0
leave,105,NOUN,0.0,0
kitchen,105,NOUN,24.0,NOUN
coming,104,NOUN,198.0,NOUN
thing,102,NOUN,93.0,NOUN
orders,101,NOUN,54.0,NOUN
steak,101,NOUN,173.0,NOUN
sauce,100,NOUN,142.0,NOUN
tip,100,NOUN,36.0,NOUN
area,99,NOUN,172.0,NOUN
pay,99,NOUN,20.0,NOUN
salad,97,NOUN,113.0,NOUN
since,94,NOUN,0.0,0
plates,93,NOUN,25.0,NOUN
sitting,93,NOUN,34.0,NOUN
front,93,NOUN,19.0,NOUN
eating,91,NOUN,48.0,NOUN
day,90,NOUN,174.0,NOUN
disgusting,89,NOUN,1.0,NOUN
nothing,88,NOUN,37.0,NOUN
thought,87,NOUN,54.0,NOUN
attitude,86,NOUN,33.0,NOUN
stars,86,NOUN,98.0,NOUN
min,85,NOUN,15.0,NOUN
look,85,NOUN,52.0,NOUN
work,82,NOUN,123.0,NOUN
A,82,NOUN,61.0,NOUN
years,81,NOUN,89.0,NOUN
sit,80,NOUN,0.0,0
need,80,NOUN,43.0,NOUN
top,80,NOUN,120.0,NOUN
side,79,NOUN,86.0,NOUN
apps,79,NOUN,105.0,NOUN
name,78,NOUN,138.0,NOUN
What,77,NOUN,44.0,NOUN
saw,77,NOUN,29.0,NOUN
money,77,NOUN,28.0,NOUN
star,76,NOUN,49.0,NOUN
wings,76,NOUN,122.0,NOUN
everything,75,NOUN,166.0,NOUN
friend,73,NOUN,122.0,NOUN
servers,72,NOUN,101.0,NOUN
shrimp,71,NOUN,133.0,NOUN
everyone,70,NOUN,78.0,NOUN
problem,70,NOUN,31.0,NOUN
wife,70,NOUN,72.0,NOUN
person,69,NOUN,37.0,NOUN
friends,69,NOUN,151.0,NOUN
beer,67,NOUN,61.0,NOUN
kids,66,NOUN,78.0,NOUN
second,65,NOUN,40.0,NOUN
feel,64,NOUN,111.0,NOUN
meals,62,NOUN,48.0,NOUN
job,62,NOUN,113.0,NOUN
party,62,NOUN,63.0,NOUN
lunch,62,NOUN,150.0,NOUN
call,61,NOUN,32.0,NOUN
review,61,NOUN,72.0,NOUN
walking,61,NOUN,25.0,NOUN
home,60,NOUN,72.0,NOUN
try,60,NOUN,103.0,NOUN
TGIF,59,NOUN,198.0,NOUN
hours,59,NOUN,41.0,NOUN
silverware,59,NOUN,1.0,NOUN
talking,58,NOUN,22.0,NOUN
employees,58,NOUN,36.0,NOUN
used,58,NOUN,0.0,0
things,57,NOUN,74.0,NOUN
dining,57,NOUN,72.0,NOUN
nice,57,NOUN,0.0,0
visit,57,NOUN,139.0,NOUN
end,57,NOUN,53.0,NOUN
quality,57,NOUN,65.0,NOUN
ate,56,NOUN,0.0,0
boyfriend,55,NOUN,49.0,NOUN
restaurants,55,NOUN,81.0,NOUN
either,54,NOUN,0.0,0
dry,54,NOUN,0.0,0
attention,54,NOUN,27.0,NOUN
return,53,NOUN,37.0,NOUN
Food,53,NOUN,132.0,NOUN
door,53,NOUN,54.0,NOUN
seat,52,NOUN,32.0,NOUN
deal,52,NOUN,71.0,NOUN
business,51,NOUN,25.0,NOUN
card,51,NOUN,40.0,NOUN
potato,51,NOUN,81.0,NOUN
glass,51,NOUN,24.0,NOUN
reviews,51,NOUN,67.0,NOUN
pasta,50,NOUN,73.0,NOUN
start,50,NOUN,34.0,NOUN
hell,50,NOUN,6.0,NOUN
needs,50,NOUN,33.0,NOUN
couple,49,NOUN,59.0,NOUN
waste,49,NOUN,1.0,NOUN
bathroom,49,NOUN,3.0,NOUN
refills,49,NOUN,23.0,NOUN
anyone,48,NOUN,40.0,NOUN
chain,48,NOUN,102.0,NOUN
reason,47,NOUN,39.0,NOUN
guy,47,NOUN,35.0,NOUN
minute,47,NOUN,27.0,NOUN
EVER,46,NOUN,0.0,0
lot,46,NOUN,87.0,NOUN
sucks,46,NOUN,0.0,0
establishment,46,NOUN,17.0,NOUN
lack,45,NOUN,1.0,NOUN
use,45,NOUN,0.0,0
host,45,NOUN,47.0,NOUN
floor,45,NOUN,8.0,NOUN
guess,45,NOUN,0.0,0
ribs,44,NOUN,145.0,NOUN
year,44,NOUN,28.0,NOUN
menus,44,NOUN,8.0,NOUN
booth,44,NOUN,22.0,NOUN
life,44,NOUN,21.0,NOUN
close,44,NOUN,35.0,NOUN
fact,43,NOUN,26.0,NOUN
part,43,NOUN,40.0,NOUN
upset,42,NOUN,0.0,0
entrees,42,NOUN,24.0,NOUN
TO,42,NOUN,0.0,0
mean,42,NOUN,26.0,NOUN
%,42,NOUN,35.0,NOUN
utensils,42,NOUN,1.0,NOUN
napkins,42,NOUN,9.0,NOUN
talk,42,NOUN,24.0,NOUN
DO,41,NOUN,0.0,0
corporate,41,NOUN,0.0,0
bartenders,41,NOUN,107.0,NOUN
employee,40,NOUN,9.0,NOUN
face,40,NOUN,19.0,NOUN
Worst,40,NOUN,0.0,0
mind,40,NOUN,32.0,NOUN
issue,39,NOUN,22.0,NOUN
takes,39,NOUN,0.0,0
sister,39,NOUN,21.0,NOUN
fine,39,NOUN,18.0,NOUN
Service,39,NOUN,80.0,NOUN
complain,38,NOUN,0.0,0
stop,38,NOUN,49.0,NOUN
birthday,38,NOUN,64.0,NOUN
course,38,NOUN,51.0,NOUN
skins,38,NOUN,44.0,NOUN
potatoes,38,NOUN,70.0,NOUN
past,38,NOUN,37.0,NOUN
soup,37,NOUN,27.0,NOUN
girl,37,NOUN,26.0,NOUN
refill,37,NOUN,17.0,NOUN
app,37,NOUN,30.0,NOUN
cut,37,NOUN,15.0,NOUN
hair,37,NOUN,9.0,NOUN
worth,37,NOUN,67.0,NOUN
taste,37,NOUN,64.0,NOUN
medium,36,NOUN,33.0,NOUN
gross,36,NOUN,0.0,0
standing,36,NOUN,0.0,0
outside,36,NOUN,34.0,NOUN
mention,36,NOUN,0.0,0
sandwich,36,NOUN,30.0,NOUN
sick,36,NOUN,3.0,NOUN
daughter,35,NOUN,33.0,NOUN
situation,35,NOUN,6.0,NOUN
charge,35,NOUN,5.0,NOUN
fix,35,NOUN,5.0,NOUN
today,35,NOUN,75.0,NOUN
group,35,NOUN,47.0,NOUN
zero,35,NOUN,0.0,0
ice,35,NOUN,35.0,NOUN
tonight,35,NOUN,69.0,NOUN
items,35,NOUN,37.0,NOUN
expect,35,NOUN,0.0,0
hate,35,NOUN,0.0,0
ordering,34,NOUN,29.0,NOUN
mistake,34,NOUN,12.0,NOUN
believe,34,NOUN,0.0,0
cook,34,NOUN,11.0,NOUN
crappy,34,NOUN,0.0,0
shit,34,NOUN,1.0,NOUN
son,33,NOUN,30.0,NOUN
dish,33,NOUN,42.0,NOUN
offer,33,NOUN,19.0,NOUN
crap,33,NOUN,6.0,NOUN
margarita,33,NOUN,17.0,NOUN
stay,33,NOUN,14.0,NOUN
frozen,33,NOUN,0.0,0
meat,33,NOUN,23.0,NOUN
ass,33,NOUN,5.0,NOUN
burgers,33,NOUN,60.0,NOUN
bit,32,NOUN,74.0,NOUN
ok,32,NOUN,26.0,NOUN
help,32,NOUN,41.0,NOUN
entree,32,NOUN,52.0,NOUN
inside,32,NOUN,36.0,NOUN
love,32,NOUN,347.0,NOUN
glasses,32,NOUN,11.0,NOUN
rest,32,NOUN,28.0,NOUN
complaining,32,NOUN,0.0,0
excuse,31,NOUN,1.0,NOUN
show,31,NOUN,18.0,NOUN
piece,31,NOUN,11.0,NOUN
change,31,NOUN,25.0,NOUN
fingers,31,NOUN,8.0,NOUN
black,31,NOUN,0.0,0
apologize,30,NOUN,0.0,0
total,30,NOUN,13.0,NOUN
amount,30,NOUN,33.0,NOUN
run,30,NOUN,18.0,NOUN
room,30,NOUN,24.0,NOUN
grab,30,NOUN,0.0,0
chance,30,NOUN,13.0,NOUN
week,30,NOUN,72.0,NOUN
idea,30,NOUN,17.0,NOUN
dessert,30,NOUN,97.0,NOUN
bite,30,NOUN,46.0,NOUN
evening,30,NOUN,40.0,NOUN
bacon,29,NOUN,46.0,NOUN
damn,29,NOUN,2.0,NOUN
price,29,NOUN,96.0,NOUN
kind,28,NOUN,85.0,NOUN
game,28,NOUN,61.0,NOUN
Manager,27,NOUN,20.0,NOUN
bread,27,NOUN,25.0,NOUN
wish,27,NOUN,36.0,NOUN
man,27,NOUN,15.0,NOUN
Came,27,NOUN,29.0,NOUN
nachos,27,NOUN,11.0,NOUN
dip,27,NOUN,54.0,NOUN
SERVICE,27,NOUN,4.0,NOUN
chips,26,NOUN,60.0,NOUN
broccoli,26,NOUN,26.0,NOUN
guys,26,NOUN,35.0,NOUN
experiences,26,NOUN,35.0,NOUN
apology,26,NOUN,3.0,NOUN
looks,26,NOUN,0.0,0
jack,25,NOUN,73.0,NOUN
ten,25,NOUN,0.0,0
mess,25,NOUN,4.0,NOUN
boneless,25,NOUN,31.0,NOUN
mine,25,NOUN,17.0,NOUN
patrons,25,NOUN,2.0,NOUN
word,25,NOUN,5.0,NOUN
n,25,NOUN,35.0,NOUN
might,25,NOUN,0.0,0
bother,25,NOUN,0.0,0
parking,25,NOUN,25.0,NOUN
industry,25,NOUN,6.0,NOUN
joke,24,NOUN,5.0,NOUN
greet,24,NOUN,0.0,0
running,24,NOUN,0.0,0
hear,24,NOUN,0.0,0
story,24,NOUN,6.0,NOUN
set,24,NOUN,23.0,NOUN
car,24,NOUN,7.0,NOUN
places,24,NOUN,62.0,NOUN
music,24,NOUN,37.0,NOUN
eye,24,NOUN,11.0,NOUN
receipt,24,NOUN,6.0,NOUN
paper,24,NOUN,2.0,NOUN
line,24,NOUN,20.0,NOUN
problems,24,NOUN,7.0,NOUN
lady,23,NOUN,14.0,NOUN
list,23,NOUN,13.0,NOUN
notice,23,NOUN,6.0,NOUN
restroom,23,NOUN,1.0,NOUN
sweet,23,NOUN,0.0,0
hands,23,NOUN,14.0,NOUN
days,23,NOUN,28.0,NOUN
dishes,23,NOUN,22.0,NOUN
soda,23,NOUN,4.0,NOUN
waitresses,23,NOUN,27.0,NOUN
ranch,23,NOUN,4.0,NOUN
date,22,NOUN,29.0,NOUN
girlfriend,22,NOUN,19.0,NOUN
sense,22,NOUN,6.0,NOUN
PLACE,22,NOUN,1.0,NOUN
spot,22,NOUN,74.0,NOUN
multiple,22,NOUN,0.0,0
bottom,22,NOUN,4.0,NOUN
waters,22,NOUN,7.0,NOUN
shitty,22,NOUN,0.0,0
hold,22,NOUN,0.0,0
middle,22,NOUN,11.0,NOUN
phone,22,NOUN,14.0,NOUN
sticks,22,NOUN,65.0,NOUN
mac,22,NOUN,24.0,NOUN
starving,22,NOUN,0.0,0
disappointing,22,NOUN,0.0,0
guests,22,NOUN,12.0,NOUN
seating,22,NOUN,22.0,NOUN
lettuce,21,NOUN,11.0,NOUN
dad,21,NOUN,9.0,NOUN
drive,21,NOUN,15.0,NOUN
response,21,NOUN,2.0,NOUN
onions,21,NOUN,17.0,NOUN
coupon,21,NOUN,43.0,NOUN
baby,21,NOUN,21.0,NOUN
ours,21,NOUN,4.0,NOUN
specials,21,NOUN,102.0,NOUN
pick,21,NOUN,25.0,NOUN
near,21,NOUN,0.0,0
whatever,21,NOUN,0.0,0
sign,21,NOUN,19.0,NOUN
shot,21,NOUN,10.0,NOUN
others,21,NOUN,17.0,NOUN
company,21,NOUN,15.0,NOUN
type,20,NOUN,20.0,NOUN
ones,20,NOUN,29.0,NOUN
stuff,20,NOUN,25.0,NOUN
lemon,20,NOUN,9.0,NOUN
poisoning,20,NOUN,0.0,0
dollars,20,NOUN,8.0,NOUN
request,20,NOUN,19.0,NOUN
beers,20,NOUN,15.0,NOUN
drunk,20,NOUN,7.0,NOUN
buffalo,20,NOUN,26.0,NOUN
conversation,20,NOUN,22.0,NOUN
move,20,NOUN,7.0,NOUN
box,20,NOUN,10.0,NOUN
salads,20,NOUN,12.0,NOUN
dressing,20,NOUN,3.0,NOUN
bun,19,NOUN,8.0,NOUN
idiot,19,NOUN,1.0,NOUN
issues,19,NOUN,13.0,NOUN
managers,19,NOUN,23.0,NOUN
AT,19,NOUN,0.0,0
stand,19,NOUN,0.0,0
cash,19,NOUN,7.0,NOUN
corner,19,NOUN,4.0,NOUN
smile,19,NOUN,56.0,NOUN
fault,19,NOUN,4.0,NOUN
waiters,19,NOUN,35.0,NOUN
fried,19,NOUN,0.0,0
IT,19,NOUN,11.0,NOUN
stuck,19,NOUN,0.0,0
item,18,NOUN,6.0,NOUN
contact,18,NOUN,1.0,NOUN
prices,18,NOUN,61.0,NOUN
cleaning,18,NOUN,0.0,0
child,18,NOUN,3.0,NOUN
kid,18,NOUN,13.0,NOUN
spinach,18,NOUN,53.0,NOUN
soggy,18,NOUN,0.0,0
rating,18,NOUN,21.0,NOUN
lazy,18,NOUN,0.0,0
smell,18,NOUN,2.0,NOUN
stomach,18,NOUN,3.0,NOUN
red,18,NOUN,0.0,0
credit,18,NOUN,16.0,NOUN
gon,18,NOUN,0.0,0
head,18,NOUN,5.0,NOUN
cousin,18,NOUN,8.0,NOUN
children,18,NOUN,15.0,NOUN
guest,17,NOUN,12.0,NOUN
female,17,NOUN,0.0,0
hand,17,NOUN,25.0,NOUN
Waitress,17,NOUN,15.0,NOUN
comp,17,NOUN,3.0,NOUN
atmosphere,17,NOUN,111.0,NOUN
fridays,17,NOUN,39.0,NOUN
mom,17,NOUN,22.0,NOUN
shut,17,NOUN,0.0,0
boy,17,NOUN,8.0,NOUN
cause,17,NOUN,9.0,NOUN
patio,17,NOUN,18.0,NOUN
parents,17,NOUN,6.0,NOUN
SO,17,NOUN,0.0,0
ONE,17,NOUN,0.0,0
tea,17,NOUN,25.0,NOUN
forks,17,NOUN,1.0,NOUN
pm,17,NOUN,6.0,NOUN
words,17,NOUN,3.0,NOUN
nobody,17,NOUN,1.0,NOUN
foot,16,NOUN,2.0,NOUN
question,16,NOUN,10.0,NOUN
flag,16,NOUN,0.0,0
comped,16,NOUN,0.0,0
eyes,16,NOUN,10.0,NOUN
store,16,NOUN,11.0,NOUN
hire,16,NOUN,0.0,0
hostesses,16,NOUN,8.0,NOUN
complaints,16,NOUN,16.0,NOUN
seats,16,NOUN,8.0,NOUN
picture,16,NOUN,8.0,NOUN
wet,16,NOUN,5.0,NOUN
mozzarella,16,NOUN,65.0,NOUN
disrespectful,16,NOUN,0.0,0
AGAIN,16,NOUN,0.0,0
wine,16,NOUN,17.0,NOUN
