entity,worst,da,best,da2
Applebee,274,ORG,574.0,ORG
Applebees,45,PERSON,108.0,GPE
 ,21,GPE,29.0,GPE
Chili,12,GPE,7.0,PERSON
Yelp,12,PERSON,0.0,0
Ok,11,ORG,4.0,PERSON
Lindsay,10,PERSON,0.0,0
ZERO,10,GPE,0.0,0
THE,10,ORG,0.0,0
HORRIBLE,10,ORG,0.0,0
Gross,10,PERSON,0.0,0
LIT,9,GPE,0.0,0
WRONG,9,ORG,0.0,0
Taco,9,PERSON,0.0,0
Jess,9,PERSON,0.0,0
Sam,8,ORG,6.0,PERSON
US,7,ORG,0.0,0
McDonald,7,ORG,0.0,0
GM,7,GPE,12.0,ORG
Dominick,7,ORG,0.0,0
Jim,6,PERSON,0.0,0
Coke,6,PERSON,0.0,0
Carlos,6,ORG,9.0,PERSON
COLD,6,PERSON,0.0,0
NEVER,6,ORG,1.0,ORG
Lauren,6,PERSON,4.0,PERSON
WOW,6,ORG,8.0,ORG
WORST,6,ORG,0.0,0
Janie,5,PERSON,0.0,0
Ris,5,PERSON,0.0,0
HR,5,ORG,0.0,0
NO,5,ORG,0.0,0
Salad,5,ORG,0.0,0
Crap,5,PERSON,0.0,0
FULL,5,ORG,1.0,ORG
AYCE,4,ORG,0.0,0
Long,4,ORG,15.0,ORG
Chris,4,PERSON,30.0,PERSON
FOREVER,4,ORG,0.0,0
Horrible,4,ORG,0.0,0
MIA,4,ORG,0.0,0
WAY,4,ORG,0.0,0
Server,4,GPE,5.0,PERSON
The,4,ORG,29.0,GPE
Ryan,4,PERSON,0.0,0
RAW,4,ORG,0.0,0
Pepsi,4,ORG,2.0,ORG
Utah,4,PERSON,2.0,GPE
SMH,4,PERSON,0.0,0
Next,4,GPE,0.0,0
Staff,3,PERSON,5.0,PERSON
Christopher,3,PERSON,2.0,PERSON
Chicken,3,PERSON,0.0,0
Caesar,3,PERSON,6.0,ORG
Bye,3,PERSON,0.0,0
Bill,3,ORG,9.0,PERSON
Bellevue,3,GPE,1.0,GPE
BBQ,3,ORG,10.0,ORG
BAD,3,ORG,0.0,0
Texas,3,GPE,3.0,GPE
Largo,3,PERSON,0.0,0
Diet,3,PERSON,0.0,0
IHOP,3,ORG,0.0,0
OMG,3,ORG,0.0,0
Jarrett,3,PERSON,0.0,0
WTF,3,ORG,0.0,0
Nasty,3,PERSON,0.0,0
REALLY,3,ORG,2.0,ORG
Red,3,GPE,5.0,ORG
Rosalyn,3,PERSON,0.0,0
Fine,3,PERSON,0.0,0
Julio,3,PERSON,0.0,0
Manager,3,PERSON,0.0,0
SUCK,3,ORG,0.0,0
Entree,3,ORG,0.0,0
Dustin,3,PERSON,4.0,GPE
Kimberly,3,PERSON,4.0,PERSON
APPLEBEES,3,ORG,1.0,ORG
Abby,3,PERSON,0.0,0
Management,2,GPE,0.0,0
AGAIN,2,ORG,1.0,ORG
Douche,2,ORG,0.0,0
Mannn,2,PERSON,0.0,0
Luke,2,ORG,0.0,0
Sterling,2,ORG,0.0,0
Stella,2,GPE,4.0,PERSON
Sierra,2,GPE,1.0,ORG
Mgr,2,PERSON,0.0,0
DISGUSTING,2,ORG,0.0,0
McDonalds,2,ORG,1.0,ORG
Sriracha,2,ORG,0.0,0
Facebook,2,PERSON,1.0,PERSON
Shawn,2,PERSON,0.0,0
Jermaine,2,GPE,0.0,0
Vallejo,2,ORG,1.0,GPE
Hartsville,2,GPE,0.0,0
Travis,2,PERSON,0.0,0
Tucker,2,ORG,0.0,0
Irresponsible,2,PERSON,0.0,0
Umm,2,PERSON,0.0,0
USA,2,GPE,0.0,0
UNTIL,2,ORG,0.0,0
Johnny,2,PERSON,0.0,0
YES,2,ORG,0.0,0
Fire,2,ORG,0.0,0
Florida,2,GPE,0.0,0
LEAVE,2,ORG,0.0,0
Gabrielle,2,PERSON,0.0,0
Juarez,2,GPE,0.0,0
Wonton,2,ORG,1.0,ORG
Kim,2,PERSON,2.0,PERSON
Point,2,PERSON,0.0,0
Gilroy,2,PERSON,2.0,PERSON
Walmart,2,ORG,3.0,ORG
Ice,2,ORG,0.0,0
Berenice,2,PERSON,0.0,0
CLEARLY,2,ORG,0.0,0
Brittany,2,GPE,14.0,PERSON
BREE,2,ORG,0.0,0
table-,2,ORG,0.0,0
SALAD,2,ORG,0.0,0
BLACK,2,ORG,0.0,0
Benadryl,2,PERSON,0.0,0
NEGATIVE,2,ORG,0.0,0
BOWLS,2,ORG,0.0,0
CUSTOMER,2,ORG,0.0,0
Chevy's,2,ORG,0.0,0
Queens,2,GPE,2.0,GPE
Charmaine,2,PERSON,0.0,0
Carside,2,GPE,0.0,0
Montebello,2,PERSON,1.0,PERSON
Sat,2,ORG,0.0,0
Antioch,2,GPE,1.0,GPE
Patricia,2,PERSON,0.0,0
Richmond,1,GPE,0.0,0
Quality,1,ORG,0.0,0
Turlock,1,GPE,0.0,0
Riverbank,1,GPE,0.0,0
Redlands,1,GPE,2.0,GPE
Tom,1,PERSON,0.0,0
Queso,1,PERSON,0.0,0
R&B,1,ORG,0.0,0
Quesadilla,1,ORG,1.0,PERSON
Topeka,1,ORG,0.0,0
Truthfully,1,PERSON,0.0,0
Tijuana,1,GPE,0.0,0
ROIGHT,1,ORG,0.0,0
Rachel,1,PERSON,5.0,PERSON
Ramsey,1,PERSON,0.0,0
RIDICULOUS,1,ORG,0.0,0
Shirley,1,PERSON,2.0,PERSON
Terrible,1,PERSON,0.0,0
Steak,1,ORG,43.0,PERSON
Strange,1,PERSON,0.0,0
Stir,1,PERSON,0.0,0
SWEARING,1,ORG,0.0,0
Sticky,1,GPE,0.0,0
Saints,1,GPE,0.0,0
Roosevelt,1,PERSON,0.0,0
Typical,1,ORG,0.0,0
Silverware,1,PERSON,0.0,0
Subway,1,ORG,0.0,0
Summerville,1,GPE,0.0,0
SOUTHLAND,1,ORG,0.0,0
Rossario,1,PERSON,0.0,0
Tampa,1,GPE,0.0,0
Talked,1,GPE,0.0,0
SILENT,1,ORG,0.0,0
Sysco,1,ORG,0.0,0
Sushi,1,PERSON,0.0,0
America,1,GPE,1.0,GPE
Weight,1,ORG,4.0,PERSON
UFC,1,ORG,0.0,0
up!This,1,ORG,0.0,0
UNACCEPTABLE,1,ORG,0.0,0
Xanax,1,GPE,0.0,0
Wtf,1,PERSON,0.0,0
Wings,1,GPE,0.0,0
Willow,1,GPE,0.0,0
Wedge,1,ORG,0.0,0
Waitresses,1,PERSON,0.0,0
