name,good,da,bad,da2
food,12,NOUN,2.0,NOUN
service,8,NOUN,1.0,NOUN
chicken,6,NOUN,0.0,0
kids,5,NOUN,0.0,0
table,4,NOUN,0.0,0
restaurant,4,NOUN,0.0,0
selection,4,NOUN,0.0,0
beer,3,NOUN,0.0,0
wait,3,NOUN,0.0,0
server,3,NOUN,0.0,0
