entity,worst,da,best,da2
 ,4,ORG,0.0,0
ONE,4,ORG,0.0,0
Jack,4,PERSON,1.0,PERSON
Red,3,ORG,0.0,0
Ruby,2,PERSON,0.0,0
Wendy,2,ORG,0.0,0
Chic,1,PERSON,0.0,0
combined(we,1,ORG,0.0,0
backThis,1,PERSON,0.0,0
ZERO,1,ORG,0.0,0
EXTRA,1,ORG,0.0,0
YES,1,ORG,0.0,0
Woodbridge,1,GPE,0.0,0
Olive,1,PERSON,0.0,0
Atmosphere,1,ORG,0.0,0
NO,1,ORG,0.0,0
Miranda,1,PERSON,0.0,0
McDonalds,1,ORG,0.0,0
Marissa,1,PERSON,0.0,0
MULTIPLE,1,ORG,0.0,0
MESSAGE,1,ORG,0.0,0
Luke,1,PERSON,0.0,0
LOL,1,ORG,0.0,0
Kitchen,1,PERSON,0.0,0
Jasmine,1,ORG,0.0,0
Honestly,1,PERSON,0.0,0
Headquarters,1,ORG,0.0,0
Harley,1,ORG,0.0,0
CHECK,1,ORG,0.0,0
Flemington,1,GPE,0.0,0
CITY,1,ORG,0.0,0
Atlanta,1,GPE,0.0,0
Panda,1,ORG,0.0,0
Wifey,1,PERSON,0.0,0
Place,1,ORG,0.0,0
4p,1,ORG,0.0,0
TRASH,1,ORG,0.0,0
THE,1,ORG,0.0,0
TGIF,1,ORG,1.0,ORG
TGI,1,ORG,0.0,0
TERRIBLE,1,ORG,0.0,0
Southfield~Buyer,1,GPE,0.0,0
Seth,1,PERSON,0.0,0
Salmon,1,PERSON,0.0,0
SALAD,1,ORG,0.0,0
