entity,best,da,worst,da2
Applebee,574,ORG,274.0,ORG
the,185,ORG,0.0,0
Applebees,108,GPE,45.0,PERSON
Best,51,ORG,0.0,0
Steak,43,PERSON,1.0,ORG
Brian,40,PERSON,0.0,0
John,39,PERSON,0.0,0
Jamie,33,GPE,0.0,0
Chris,30,PERSON,4.0,PERSON
 ,29,GPE,21.0,GPE
The,29,GPE,4.0,ORG
Mac,28,PERSON,0.0,0
Great,24,PERSON,0.0,0
Lisa,22,PERSON,0.0,0
Holly,22,PERSON,0.0,0
David,22,PERSON,0.0,0
Larry,21,GPE,0.0,0
Jessica,20,ORG,1.0,PERSON
Michael,19,PERSON,0.0,0
Kayla,17,PERSON,0.0,0
Tyler,17,PERSON,0.0,0
Long,15,ORG,4.0,ORG
Eric,15,GPE,0.0,0
Sarah,14,PERSON,0.0,0
Friendly,14,ORG,0.0,0
Bacon,14,GPE,0.0,0
Brittany,14,PERSON,2.0,GPE
Ashley,14,ORG,0.0,0
Mike,14,ORG,0.0,0
Danielle,13,PERSON,0.0,0
Albany,13,PERSON,0.0,0
Avalon,12,PERSON,0.0,0
Sidney,12,PERSON,0.0,0
AZ,12,ORG,0.0,0
Mark,12,PERSON,0.0,0
GM,12,ORG,7.0,GPE
Spinach,11,ORG,0.0,0
Johnnie,11,ORG,0.0,0
Brandi,11,GPE,0.0,0
Pete,10,PERSON,0.0,0
Nolan,10,PERSON,0.0,0
Sasha,10,GPE,0.0,0
Manny,10,GPE,0.0,0
BBQ,10,ORG,3.0,ORG
Margarita,9,PERSON,1.0,PERSON
Bill,9,PERSON,3.0,ORG
Carlos,9,PERSON,6.0,ORG
VERY,8,ORG,0.0,0
WOW,8,ORG,6.0,ORG
Bartender,8,PERSON,1.0,PERSON
Super,8,ORG,0.0,0
Amanda,8,PERSON,0.0,0
Leland,7,PERSON,0.0,0
Alexis,7,PERSON,0.0,0
Gladys,7,ORG,0.0,0
California,7,GPE,1.0,GPE
Chili,7,PERSON,12.0,GPE
MY,7,ORG,0.0,0
Bourbon,7,ORG,0.0,0
CA,7,ORG,0.0,0
Truly,7,GPE,0.0,0
AMAZING,7,ORG,0.0,0
Tara,7,PERSON,0.0,0
Sophia,7,ORG,0.0,0
St.,7,PERSON,0.0,0
This,7,ORG,0.0,0
Kristen,7,PERSON,0.0,0
Aloha,6,PERSON,0.0,0
Sam,6,PERSON,8.0,ORG
Sabrina,6,ORG,0.0,0
Scott,6,PERSON,0.0,0
BJ,6,ORG,0.0,0
Hector,6,ORG,0.0,0
HD,6,PERSON,0.0,0
Frank,6,PERSON,0.0,0
Food,6,PERSON,0.0,0
Natalie,6,PERSON,0.0,0
BEST,6,ORG,0.0,0
NC,6,ORG,0.0,0
Heather,6,PERSON,0.0,0
Auburn,6,GPE,0.0,0
Erica,6,PERSON,0.0,0
WONDERFUL,6,ORG,0.0,0
Gage,6,GPE,0.0,0
Vanessa,6,PERSON,0.0,0
Mikey,6,PERSON,0.0,0
Caesar,6,ORG,3.0,PERSON
Jennifer,6,PERSON,0.0,0
AMF,5,PERSON,0.0,0
Service,5,PERSON,0.0,0
Server,5,PERSON,4.0,GPE
Nick,5,PERSON,0.0,0
Nicole,5,PERSON,0.0,0
Robert,5,PERSON,0.0,0
Christina,5,PERSON,0.0,0
Alexa,5,ORG,0.0,0
Rita,5,PERSON,0.0,0
Menifee,5,GPE,0.0,0
Melissa,5,PERSON,0.0,0
Matt,5,ORG,0.0,0
Ali,5,PERSON,0.0,0
Also,5,PERSON,0.0,0
Rachel,5,PERSON,1.0,PERSON
Rebecca,5,PERSON,0.0,0
Angie,5,PERSON,0.0,0
Red,5,ORG,3.0,GPE
Robin,5,PERSON,0.0,0
Kapolei,5,GPE,0.0,0
I.,5,PERSON,0.0,0
Josh,5,PERSON,0.0,0
Drew,5,PERSON,0.0,0
Kierstan,5,PERSON,0.0,0
Thomas,5,PERSON,0.0,0
Hawaii,5,GPE,1.0,GPE
Fiesta,5,ORG,0.0,0
Hays,5,GPE,0.0,0
Staff,5,PERSON,3.0,PERSON
Matthew,4,PERSON,0.0,0
Pooler,4,PERSON,0.0,0
Honestly,4,ORG,1.0,PERSON
Weight,4,PERSON,1.0,ORG
