entity,best,da,worst,da2
BJ,47,ORG,12.0,ORG
the,23,ORG,0.0,0
Best,6,PERSON,0.0,0
Long,5,PERSON,0.0,0
GF,4,ORG,0.0,0
Pizookies,4,PERSON,0.0,0
California,4,GPE,0.0,0
Pizookie,4,PERSON,0.0,0
BBQ,3,ORG,0.0,0
Lol,3,PERSON,0.0,0
Lear,3,GPE,0.0,0
Kinda,3,ORG,0.0,0
Tanya,3,PERSON,0.0,0
Towson,3,GPE,0.0,0
Brodie,3,PERSON,0.0,0
Brewhouse,3,PERSON,0.0,0
Brandon,3,GPE,0.0,0
Chalena,2,PERSON,0.0,0
Clean,2,ORG,0.0,0
Wesley,2,PERSON,0.0,0
Dinner,2,ORG,0.0,0
Alfredo,2,PERSON,0.0,0
Florida,2,GPE,0.0,0
Jeremiah,2,PERSON,0.0,0
Sriracha,2,ORG,0.0,0
Laurel,2,GPE,0.0,0
Mark,2,ORG,0.0,0
Reno,2,GPE,0.0,0
Annalisa,2,PERSON,0.0,0
Berry,2,PERSON,0.0,0
Blackfinn,2,PERSON,0.0,0
Buffalo,2,GPE,0.0,0
Angel,2,PERSON,0.0,0
Setup,1,PERSON,0.0,0
Shay,1,PERSON,0.0,0
experience!Great,1,ORG,0.0,0
Sirloin,1,PERSON,0.0,0
Salads,1,PERSON,0.0,0
SINFUL,1,ORG,0.0,0
Russell,1,ORG,0.0,0
experience!The,1,ORG,0.0,0
Raven,1,ORG,0.0,0
Rancho,1,GPE,0.0,0
Quinoa,1,PERSON,0.0,0
Spinach,1,ORG,0.0,0
Stephen,1,PERSON,0.0,0
Staff,1,PERSON,0.0,0
Yummy,1,GPE,0.0,0
WOW,1,ORG,0.0,0
US,1,GPE,0.0,0
Tysons,1,ORG,0.0,0
Stephanie,1,PERSON,0.0,0
Triple,1,GPE,0.0,0
Tabatha,1,PERSON,0.0,0
Super,1,ORG,0.0,0
Stout,1,PERSON,0.0,0
Waitress,1,ORG,0.0,0
Personable,1,ORG,0.0,0
BJS,1,ORG,1.0,ORG
Alicia,1,PERSON,0.0,0
Ambience,1,ORG,0.0,0
Americana,1,ORG,0.0,0
Anthony,1,PERSON,0.0,0
Arbor,1,GPE,0.0,0
Artichoke,1,PERSON,0.0,0
Ashley,1,ORG,0.0,0
Austin,1,GPE,0.0,0
Bacon,1,ORG,0.0,0
Alcoholic,1,ORG,0.0,0
Ballast,1,GPE,0.0,0
Bottomline-,1,PERSON,0.0,0
Broccoli,1,PERSON,0.0,0
Brussel,1,ORG,0.0,0
Brussels,1,GPE,3.0,GPE
CA,1,ORG,1.0,ORG
Calamari,1,ORG,0.0,0
Chardonnay,1,GPE,0.0,0
Alex,1,PERSON,0.0,0
AMAZING,1,ORG,0.0,0
Cobb,1,PERSON,0.0,0
Churros,1,PERSON,0.0,0
Cookies,1,ORG,0.0,0
Peppered,1,ORG,0.0,0
Mediterranean,1,ORG,0.0,0
KristinWe,1,PERSON,0.0,0
LOOOKED,1,ORG,0.0,0
Lancaster,1,GPE,0.0,0
Lightswitch,1,PERSON,0.0,0
Lutz,1,PERSON,0.0,0
Memphis,1,GPE,0.0,0
Julie!The,1,ORG,0.0,0
NV,1,GPE,0.0,0
Nashville,1,GPE,0.0,0
Nicholas,1,PERSON,0.0,0
Nick,1,PERSON,0.0,0
Nordstrom,1,ORG,0.0,0
OMG,1,ORG,0.0,0
Pasco,1,ORG,0.0,0
Kraft,1,ORG,0.0,0
Julie,1,PERSON,0.0,0
Deff,1,ORG,0.0,0
GRUB,1,ORG,0.0,0
Dessert,1,PERSON,0.0,0
Dijon,1,GPE,0.0,0
Edgard,1,PERSON,0.0,0
Fireball,1,ORG,0.0,0
Food,1,ORG,0.0,0
Friendly,1,ORG,0.0,0
Fries,1,PERSON,0.0,0
Glendale,1,GPE,0.0,0
Jonathan,1,PERSON,0.0,0
HANGRY,1,ORG,0.0,0
HEAVENLY,1,ORG,0.0,0
HOWEVER,1,ORG,0.0,0
Hailey,1,ORG,0.0,0
Jambalaya,1,PERSON,0.0,0
Jeramiah,1,PERSON,0.0,0
 ,1,PERSON,2.0,PERSON
