entity,worst,da,best,da2
CPK,17,ORG,81.0,ORG
 It,5,PERSON,5.0,ORG
Yelp,2,PERSON,0.0,0
California,2,GPE,18.0,ORG
Caesar,2,PERSON,1.0,PERSON
Parmesan,2,ORG,1.0,PERSON
Wooden,1,PERSON,0.0,0
Waldorf,1,GPE,0.0,0
WORST,1,ORG,0.0,0
VERA,1,PERSON,0.0,0
Thau,1,PERSON,0.0,0
j.j,1,PERSON,0.0,0
BBQ,1,GPE,14.0,ORG
B.S.,1,GPE,0.0,0
Angel,1,PERSON,1.0,PERSON
Andrew,1,PERSON,0.0,0
American,1,ORG,0.0,0
AF,1,GPE,0.0,0
Service,1,GPE,0.0,0
Buffalo,1,GPE,1.0,GPE
City,1,ORG,0.0,0
DEFINITELY,1,ORG,0.0,0
Gorgonzola,1,ORG,0.0,0
Sawgrass,1,ORG,0.0,0
SHYT,1,ORG,0.0,0
Margherita,1,ORG,0.0,0
Manhattan,1,GPE,0.0,0
Mahalo,1,PERSON,0.0,0
LIZ,1,ORG,0.0,0
Kung,1,PERSON,2.0,PERSON
Kailua,1,GPE,0.0,0
Jambalaya,1,PERSON,3.0,ORG
Ice,1,ORG,0.0,0
Hawaii,1,GPE,6.0,GPE
Greeter,1,PERSON,0.0,0
