entity,worst,da,best,da2
Cheesecake,24,PERSON,106.0,ORG
The,8,GPE,68.0,PERSON
CF,6,PERSON,35.0,ORG
 So,6,PERSON,0.0,0
Jambalaya,6,GPE,1.0,ORG
Lizette,5,PERSON,0.0,0
Chase,5,PERSON,0.0,0
Marco,5,PERSON,0.0,0
Chicken,4,PERSON,22.0,ORG
Al,4,GPE,0.0,0
Yelp,3,ORG,8.0,PERSON
Gross,3,GPE,0.0,0
Kapolei,3,GPE,9.0,GPE
Min,3,PERSON,0.0,0
Carbonara,3,PERSON,0.0,0
Waikiki,2,ORG,20.0,ORG
Courtney,2,PERSON,0.0,0
CFactory,2,ORG,0.0,0
California,2,GPE,6.0,ORG
ASK,2,ORG,0.0,0
Pasta,2,ORG,0.0,0
Fox,2,PERSON,0.0,0
Santana,2,PERSON,0.0,0
Nick,2,PERSON,0.0,0
Super,2,ORG,3.0,PERSON
OK,2,GPE,0.0,0
Manager,2,PERSON,0.0,0
Pang,2,PERSON,0.0,0
Jesus,2,PERSON,0.0,0
THE,1,ORG,0.0,0
Tim,1,PERSON,0.0,0
Whataburger,1,PERSON,0.0,0
Tony,1,PERSON,0.0,0
Shepherd,1,PERSON,0.0,0
Tostada,1,PERSON,0.0,0
SUUUUPER,1,ORG,0.0,0
Tamara,1,PERSON,0.0,0
WORST,1,ORG,0.0,0
Various,1,ORG,0.0,0
Tomato,1,ORG,0.0,0
Unfortunate,1,ORG,0.0,0
Salad,1,ORG,0.0,0
Tip,1,PERSON,5.0,GPE
 (Yeah,1,ORG,0.0,0
 I've,1,PERSON,0.0,0
 Since,1,ORG,0.0,0
 customer,1,ORG,0.0,0
 however,1,PERSON,0.0,0
 she,1,PERSON,0.0,0
Renees,1,ORG,0.0,0
kapolei,1,GPE,0.0,0
money!Danbury,1,ORG,0.0,0
Riverside,1,GPE,1.0,GPE
Krispy,1,PERSON,0.0,0
Rancho,1,GPE,0.0,0
8:30pm,1,ORG,0.0,0
9/23/17,1,ORG,0.0,0
ALLLLWAYS,1,ORG,0.0,0
Abysmal,1,PERSON,0.0,0
Ahi,1,PERSON,0.0,0
American,1,ORG,0.0,0
545pm,1,GPE,0.0,0
Appetizer,1,ORG,0.0,0
BBQ,1,ORG,3.0,ORG
Bar,1,PERSON,0.0,0
General,1,ORG,0.0,0
Great,1,ORG,3.0,ORG
HORRIBLE,1,PERSON,0.0,0
Haha,1,PERSON,0.0,0
Haley,1,PERSON,0.0,0
Hotel,1,ORG,0.0,0
Iceberg,1,GPE,0.0,0
JT(or,1,ORG,0.0,0
Johnathan,1,PERSON,0.0,0
Johnny,1,ORG,0.0,0
Kitchen,1,PERSON,0.0,0
Marlowe,1,PERSON,0.0,0
Mexico,1,GPE,0.0,0
Micheal,1,PERSON,0.0,0
NO,1,ORG,0.0,0
Nashville,1,PERSON,0.0,0
ONE,1,PERSON,0.0,0
Parmesan,1,ORG,1.0,PERSON
Paulina,1,ORG,0.0,0
GM,1,ORG,3.0,PERSON
Costco,1,ORG,1.0,ORG
Bay,1,PERSON,0.0,0
Bitch,1,GPE,0.0,0
Bruleed,1,ORG,0.0,0
CCF,1,ORG,2.0,ORG
Cerritos,1,GPE,1.0,GPE
Cesar,1,PERSON,2.0,PERSON
Cheesecak,1,GPE,0.0,0
Chicago,1,GPE,1.0,GPE
Christa（that,1,ORG,0.0,0
Connor,1,GPE,0.0,0
Crispy,1,ORG,3.0,ORG
DEFINITELY,1,ORG,1.0,ORG
DMV,1,ORG,0.0,0
EIGHT,1,ORG,0.0,0
EMS,1,ORG,0.0,0
EVER,1,ORG,1.0,ORG
EVERYTHING,1,ORG,0.0,0
Edgar,1,PERSON,1.0,PERSON
