entity,worst,da,best,da2
CPK,239,ORG,2192.0,ORG
California,47,ORG,696.0,ORG
 ,20,ORG,168.0,PERSON
Mrs,19,GPE,0.0,0
LA,14,GPE,73.0,ORG
WORST,13,ORG,0.0,0
The,12,PERSON,222.0,ORG
HORRIBLE,11,ORG,1.0,ORG
Horrible,11,ORG,0.0,0
Kung,11,ORG,74.0,PERSON
Calli,10,PERSON,0.0,0
WTF,10,ORG,4.0,ORG
THE,9,ORG,21.0,PERSON
BBQ,9,ORG,354.0,ORG
NEVER,9,PERSON,9.0,ORG
Las,8,PERSON,30.0,PERSON
Ok,7,ORG,15.0,GPE
Visa,7,PERSON,0.0,0
VERY,7,GPE,25.0,GPE
Yea,7,ORG,0.0,0
TO,7,GPE,0.0,0
TIPS,7,ORG,0.0,0
Alex,7,ORG,62.0,GPE
BAD,6,ORG,0.0,0
Hawaii,6,ORG,36.0,GPE
Rick,6,PERSON,0.0,0
Jamie,6,PERSON,0.0,0
Food,6,ORG,30.0,GPE
LIZ,6,PERSON,0.0,0
ASK,6,ORG,0.0,0
Salad,5,PERSON,0.0,0
Mililani,5,PERSON,15.0,ORG
ASIAN,5,ORG,0.0,0
Bill,5,ORG,0.0,0
WOW,5,ORG,18.0,PERSON
ME,5,GPE,0.0,0
Caesar,5,ORG,41.0,ORG
REALLY,5,ORG,8.0,ORG
Pizza,5,PERSON,56.0,PERSON
John,5,PERSON,0.0,0
Burbank,5,GPE,16.0,GPE
Next,5,GPE,0.0,0
Ryan,5,PERSON,0.0,0
EXTREMELY,4,ORG,0.0,0
LABite,4,GPE,0.0,0
Cpk,4,ORG,27.0,PERSON
DEBIT,4,ORG,0.0,0
Max,4,PERSON,0.0,0
Westfield,4,ORG,11.0,ORG
FOOD,4,PERSON,16.0,ORG
LAX,4,ORG,7.0,ORG
BBB,4,ORG,0.0,0
Daryl,4,PERSON,0.0,0
Kahala,4,GPE,0.0,0
Hulk,4,PERSON,0.0,0
Chicken,4,PERSON,0.0,0
 When,4,GPE,0.0,0
Trenton,4,GPE,0.0,0
THEN,4,ORG,0.0,0
Santa,4,PERSON,4.0,PERSON
THANKS,3,ORG,5.0,ORG
Paloma,3,PERSON,0.0,0
Credit,3,ORG,0.0,0
Kitchen,3,PERSON,5.0,PERSON
GONE,3,ORG,0.0,0
PCH,3,ORG,0.0,0
Chase,3,PERSON,0.0,0
Snodgrass,3,PERSON,0.0,0
Wolfgang,3,PERSON,2.0,PERSON
Denny,3,PERSON,0.0,0
EMPTY,3,ORG,0.0,0
GM,3,GPE,0.0,0
Jesus,3,PERSON,3.0,ORG
Encino,3,GPE,6.0,GPE
 Service,3,GPE,3.0,PERSON
 Well,3,GPE,0.0,0
I.,3,PERSON,19.0,PERSON
 It,3,PERSON,5.0,PERSON
N.Y.,3,PERSON,0.0,0
Anyways,3,ORG,23.0,PERSON
Arcadia,3,GPE,1.0,GPE
Amina,3,PERSON,0.0,0
AWFUL,3,ORG,0.0,0
Bob,3,PERSON,0.0,0
MANAGER,3,GPE,1.0,ORG
Mike,3,PERSON,44.0,ORG
CPKI,3,ORG,0.0,0
Los,2,ORG,0.0,0
Madeline,2,PERSON,0.0,0
Montes,2,PERSON,0.0,0
WAY,2,ORG,3.0,ORG
Yukky,2,GPE,0.0,0
ZERO,2,ORG,0.0,0
Mojito,2,PERSON,6.0,PERSON
SERIOUS,2,ORG,0.0,0
SEVERAL,2,ORG,0.0,0
Maxine,2,PERSON,0.0,0
Studio,2,GPE,7.0,GPE
Staff,2,PERSON,17.0,PERSON
Mexico,2,GPE,2.0,GPE
Trifold,2,ORG,0.0,0
LONGER,2,ORG,0.0,0
Scott,2,PERSON,19.0,PERSON
Mental,2,ORG,0.0,0
Server,2,GPE,25.0,ORG
US,2,GPE,22.0,ORG
Jacky,2,PERSON,0.0,0
Mac,2,ORG,63.0,ORG
Vietnam,2,GPE,0.0,0
Kapolei,2,GPE,20.0,GPE
Nikki,2,GPE,1.0,ORG
Peru,2,PERSON,0.0,0
Napa,2,GPE,0.0,0
Nikkis,2,ORG,0.0,0
Prudential,2,ORG,0.0,0
Quesadillas,2,PERSON,0.0,0
Kid,2,ORG,0.0,0
Umm,2,PERSON,0.0,0
REDELIVER,2,ORG,0.0,0
Wth,2,PERSON,0.0,0
RUDELY,2,ORG,0.0,0
WRONG,2,ORG,4.0,PERSON
NOTHING,2,PERSON,0.0,0
NEGATIVE,2,ORG,0.0,0
Ravioli,2,PERSON,2.0,ORG
MIA,2,ORG,0.0,0
Lorin,2,PERSON,0.0,0
MINUTES,2,ORG,0.0,0
Waldorf,2,GPE,35.0,GPE
UTUBE,2,ORG,0.0,0
Richard,2,PERSON,1.0,PERSON
Montgomery,2,ORG,0.0,0
Ohio,2,GPE,0.0,0
Bianco,2,PERSON,14.0,PERSON
Box,2,ORG,0.0,0
Brian,2,PERSON,89.0,ORG
CALIFORNIA,2,GPE,0.0,0
CRUNCH,2,ORG,0.0,0
Cerritos,2,ORG,6.0,GPE
ATM,2,ORG,0.0,0
Alfredo,2,PERSON,32.0,PERSON
"said""god",2,GPE,0.0,0
B*******.,2,ORG,0.0,0
GLENDALE,2,GPE,7.0,GPE
Gaithersburg,2,GPE,0.0,0
Gordon,2,PERSON,0.0,0
Gorgonzola,2,ORG,34.0,GPE
FRAUD,2,ORG,0.0,0
AGAIN,2,ORG,0.0,0
6:15pm,2,GPE,0.0,0
DRENCHED,2,ORG,0.0,0
Ecuador,2,GPE,0.0,0
Eureka,2,GPE,0.0,0
 From,1,PERSON,0.0,0
 Jamaican,1,PERSON,0.0,0
 However,1,ORG,0.0,0
TakeOut,1,ORG,0.0,0
 why,1,ORG,0.0,0
Southcenter,1,PERSON,0.0,0
Stamford,1,GPE,1.0,GPE
Steve,1,PERSON,13.0,PERSON
Styrofoam,1,GPE,0.0,0
Sweet,1,PERSON,9.0,PERSON
 chic,1,GPE,0.0,0
 Told,1,PERSON,0.0,0
TOPPINGS,1,ORG,0.0,0
TUSTIN,1,GPE,0.0,0
Topanga,1,GPE,2.0,ORG
Terribly,1,GPE,0.0,0
Tortilla,1,ORG,13.0,PERSON
etc,1,GPE,0.0,0
Website,1,PERSON,0.0,0
Woodland,1,GPE,1.0,GPE
Wtf,1,PERSON,0.0,0
Soooo,1,PERSON,0.0,0
YUK,1,ORG,0.0,0
Yelpers,1,ORG,3.0,ORG
Z,1,ORG,0.0,0
cateringHorrible,1,ORG,0.0,0
businessThis,1,GPE,0.0,0
 Apparently,1,ORG,1.0,ORG
UPSET,1,ORG,0.0,0
" ""you",1,PERSON,0.0,0
Ughhh,1,GPE,0.0,0
Valentine,1,PERSON,18.0,PERSON
Waitstaff,1,PERSON,3.0,PERSON
Vegas,1,PERSON,24.0,GPE
Ventura,1,GPE,10.0,GPE
quitsThis,1,ORG,0.0,0
WATCHED,1,ORG,0.0,0
WaY,1,ORG,0.0,0
Mel,1,PERSON,0.0,0
Applebee,1,ORG,0.0,0
Bellagios,1,PERSON,0.0,0
Baltimore,1,GPE,0.0,0
BROWNIE,1,ORG,0.0,0
BLACKLY,1,ORG,0.0,0
BIG,1,GPE,0.0,0
BERRYHILL,1,ORG,0.0,0
Awful,1,PERSON,0.0,0
Atlas,1,PERSON,0.0,0
Asparagus,1,ORG,7.0,PERSON
Annoying,1,GPE,0.0,0
Brentwood,1,GPE,3.0,GPE
Annie,1,PERSON,0.0,0
Angel,1,PERSON,0.0,0
Alright,1,PERSON,3.0,PERSON
Aliens,1,GPE,0.0,0
Alamoana,1,ORG,0.0,0
AVOCADO,1,ORG,0.0,0
ASSUME,1,ORG,0.0,0
ALWAYS,1,ORG,16.0,ORG
ABOUT,1,ORG,0.0,0
Brownie,1,GPE,0.0,0
Sherlock,1,PERSON,0.0,0
Coward,1,PERSON,0.0,0
Dominos,1,PERSON,0.0,0
Disneyland,1,GPE,9.0,GPE
Del,1,PERSON,0.0,0
DUMPED,1,ORG,0.0,0
DOMINOES,1,ORG,0.0,0
DISGUSTING,1,ORG,0.0,0
DISASTER,1,ORG,0.0,0
Crispy,1,ORG,14.0,PERSON
Congrats,1,ORG,2.0,PERSON
Bruce,1,PERSON,0.0,0
Clorox,1,ORG,0.0,0
Ciabatta,1,ORG,3.0,PERSON
Chicago,1,GPE,15.0,GPE
Chesterfield,1,GPE,0.0,0
Charlotte,1,GPE,3.0,GPE
Cannot,1,PERSON,0.0,0
COLLEGE,1,PERSON,0.0,0
Buckhorn,1,ORG,0.0,0
9:10,1,ORG,0.0,0
(,1,PERSON,0.0,0
4/12/15,1,GPE,0.0,0
Dracula,1,ORG,0.0,0
EXTRA,1,ORG,2.0,ORG
Pepperoni,1,ORG,20.0,ORG
Pentagon,1,ORG,0.0,0
Peking,1,GPE,0.0,0
Pearlridge,1,GPE,28.0,ORG
Patrick,1,PERSON,6.0,PERSON
PLENTY,1,ORG,0.0,0
PIZZA,1,ORG,9.0,ORG
PF,1,ORG,0.0,0
Owners,1,ORG,0.0,0
Olivia,1,PERSON,0.0,0
Ohhhhh,1,PERSON,0.0,0
Matthew,1,PERSON,2.0,PERSON
ONLY,1,ORG,4.0,ORG
Northridge,1,GPE,9.0,GPE
NASTY,1,ORG,0.0,0
Modern,1,ORG,0.0,0
Mirage,1,ORG,11.0,PERSON
Mercedes,1,PERSON,0.0,0
Pizzas,1,ORG,2.0,GPE
Plus,1,PERSON,0.0,0
Quail,1,GPE,0.0,0
RETURNING,1,ORG,0.0,0
Sawgrass,1,ORG,2.0,PERSON
Salmon,1,PERSON,11.0,PERSON
Safeway,1,ORG,0.0,0
SUCKS,1,ORG,0.0,0
SRORM,1,ORG,0.0,0
SORRY,1,ORG,0.0,0
SOMETHING,1,PERSON,0.0,0
SMH,1,ORG,0.0,0
SHAME,1,ORG,0.0,0
SERVICE,1,ORG,2.0,ORG
SCV,1,ORG,0.0,0
SALAD,1,ORG,0.0,0
SADDDD,1,ORG,0.0,0
Roy,1,PERSON,0.0,0
Round,1,PERSON,0.0,0
Rolls,1,ORG,6.0,ORG
Restrooms,1,ORG,0.0,0
Red,1,ORG,14.0,ORG
Rebecca,1,PERSON,6.0,PERSON
McDonalds,1,PERSON,2.0,ORG
FAKE,1,ORG,0.0,0
Gracie,1,ORG,0.0,0
Highland,1,ORG,5.0,GPE
Hannys,1,GPE,0.0,0
HORRIFIC,1,PERSON,0.0,0
HORRENDOUS,1,ORG,0.0,0
HEART,1,ORG,0.0,0
Gross,1,PERSON,0.0,0
Gloves,1,ORG,0.0,0
Frank,1,PERSON,29.0,PERSON
Foxwoods,1,GPE,2.0,GPE
Focaccia,1,ORG,0.0,0
FOREVER,1,ORG,0.0,0
Hollywood,1,GPE,14.0,GPE
Hostesses,1,PERSON,3.0,ORG
Hudson,1,ORG,0.0,0
Huntington,1,GPE,3.0,GPE
Management,1,GPE,1.0,PERSON
MISTAKE,1,ORG,2.0,ORG
MANNI,1,PERSON,0.0,0
Kraft,1,ORG,0.0,0
Kimberly,1,PERSON,0.0,0
Katie,1,PERSON,43.0,PERSON
Kailua,1,GPE,12.0,PERSON
Jambalaya,1,GPE,21.0,GPE
JC,1,ORG,0.0,0
Ive,1,PERSON,0.0,0
Hygiene,1,ORG,0.0,0
