entity,worst,da,best,da2
the,404,ORG,3359.0,ORG
Cheesecake,304,ORG,1525.0,ORG
The,100,GPE,1470.0,PERSON
CF,55,ORG,487.0,ORG
San,46,PERSON,503.0,ORG
HORRIBLE,43,ORG,0.0,0
 He,42,PERSON,0.0,0
NEVER,38,PERSON,15.0,ORG
This,33,PERSON,52.0,ORG
Miso,30,PERSON,131.0,GPE
Kelly,29,PERSON,0.0,0
THE,29,PERSON,43.0,ORG
EVER,28,ORG,0.0,0
WORST,27,PERSON,0.0,0
 We,24,PERSON,12.0,ORG
Brea,23,PERSON,0.0,0
Horrible,23,ORG,0.0,0
NOW,22,ORG,5.0,ORG
Alex,22,ORG,122.0,PERSON
CCF,21,ORG,127.0,ORG
BC,21,PERSON,0.0,0
Manny,21,PERSON,0.0,0
FAIL,20,ORG,0.0,0
Tony,20,PERSON,20.0,ORG
LA,19,ORG,16.0,ORG
Mac,19,ORG,79.0,ORG
Ok,19,GPE,53.0,ORG
Michael,18,PERSON,64.0,PERSON
MY,18,ORG,0.0,0
Courtney,18,PERSON,21.0,PERSON
Mother,18,ORG,74.0,ORG
WANT,16,ORG,0.0,0
Chicken,16,PERSON,408.0,ORG
California,16,ORG,62.0,GPE
BAD,16,ORG,0.0,0
Anyways,16,PERSON,34.0,PERSON
NO,16,GPE,0.0,0
YELP,16,ORG,0.0,0
DIRTY,15,PERSON,0.0,0
Cause,15,PERSON,0.0,0
Cheese,15,ORG,0.0,0
Antoinette,15,ORG,1.0,PERSON
Jorge,15,GPE,0.0,0
Jason,15,PERSON,15.0,ORG
Alfredo,15,PERSON,83.0,PERSON
South,15,PERSON,0.0,0
CARE,15,ORG,0.0,0
Kobe,14,PERSON,225.0,PERSON
Yelp,14,PERSON,82.0,PERSON
Dinner,14,ORG,41.0,ORG
Americana,14,GPE,90.0,GPE
US,12,GPE,46.0,ORG
Orland,12,ORG,42.0,GPE
ID,12,GPE,0.0,0
TWICE,12,ORG,0.0,0
Daniel,11,PERSON,55.0,PERSON
Gross,11,ORG,0.0,0
Austin,11,PERSON,33.0,PERSON
Justin,11,PERSON,38.0,PERSON
Frank,11,PERSON,0.0,0
Peter,11,PERSON,11.0,PERSON
Key,10,PERSON,61.0,PERSON
LIVID,10,PERSON,0.0,0
McDonalds,10,ORG,3.0,ORG
ASS,10,ORG,0.0,0
DISGUSTING,10,ORG,0.0,0
Dan,10,PERSON,0.0,0
Amy,10,ORG,47.0,PERSON
AGAIN,10,ORG,1.0,ORG
D.,10,ORG,0.0,0
TCF,10,ORG,20.0,ORG
Jambalaya,9,PERSON,0.0,0
COLD,9,ORG,0.0,0
MIA,9,ORG,0.0,0
Apple,9,ORG,20.0,ORG
Mgr,9,PERSON,0.0,0
Sarah,9,PERSON,81.0,PERSON
Philly,9,GPE,0.0,0
15mins,9,ORG,0.0,0
Marisa,9,PERSON,0.0,0
HUGE,9,ORG,174.0,ORG
any,9,GPE,0.0,0
Chicago,9,GPE,48.0,GPE
AWFUL,8,ORG,1.0,ORG
McDonald,8,ORG,16.0,PERSON
Facebook,8,ORG,3.0,GPE
Beverly,8,GPE,32.0,GPE
GM,8,GPE,5.0,GPE
LEAVE,8,ORG,0.0,0
POS,8,ORG,0.0,0
NOTHING,8,ORG,0.0,0
Tiramisu,8,GPE,54.0,ORG
REALLY,7,ORG,16.0,ORG
Jennifer,7,PERSON,26.0,PERSON
Elizabeth,7,PERSON,7.0,PERSON
Disneyland,7,GPE,29.0,GPE
Eli,7,PERSON,0.0,0
NYC,7,ORG,19.0,ORG
Florida,7,GPE,12.0,GPE
Tuna,7,PERSON,0.0,0
Houston,7,PERSON,1.0,PERSON
Amanda,7,ORG,27.0,PERSON
West,7,GPE,0.0,0
Emily,6,PERSON,13.0,ORG
FINALLY,6,PERSON,0.0,0
AMERICA,6,GPE,0.0,0
Valley,6,PERSON,0.0,0
BBQ,6,ORG,90.0,ORG
BEWARE,6,ORG,0.0,0
Caitlyn,6,PERSON,0.0,0
Cherry,6,PERSON,0.0,0
Hillsdale,6,GPE,4.0,GPE
Taylor,6,GPE,0.0,0
Hibachi,6,PERSON,30.0,ORG
Nature,6,PERSON,0.0,0
Pasadena,6,GPE,24.0,GPE
Michigan,6,GPE,18.0,GPE
Parmesan,6,ORG,96.0,PERSON
Nachos,6,GPE,14.0,GPE
Las,6,ORG,81.0,ORG
Marcus,6,PERSON,0.0,0
MUNI,6,ORG,0.0,0
MANAGER,6,ORG,0.0,0
Trumbull,5,GPE,5.0,GPE
Devin,5,PERSON,0.0,0
Brittany,5,PERSON,36.0,GPE
MTV,5,ORG,0.0,0
New,5,GPE,0.0,0
Ashley,5,PERSON,37.0,ORG
Lizette,5,PERSON,0.0,0
Server,5,PERSON,17.0,PERSON
Burger,5,PERSON,0.0,0
ALWAYS,5,ORG,19.0,ORG
Gumbo,5,PERSON,13.0,PERSON
Jared,5,PERSON,5.0,GPE
SUCKED,5,ORG,0.0,0
