name,bad,da,good,da2
time,5,NOUN,2.0,NOUN
order,4,NOUN,0.0,0
family,3,NOUN,3.0,NOUN
server,3,NOUN,4.0,NOUN
service,3,NOUN,9.0,NOUN
daughter,2,NOUN,0.0,0
restaurant,2,NOUN,0.0,0
dish,2,NOUN,1.0,NOUN
wife,2,NOUN,1.0,NOUN
tonight,2,NOUN,0.0,0
