entity,best,da,worst,da2
the,3,ORG,0.0,0
Jersey,2,GPE,0.0,0
Joshua,2,PERSON,0.0,0
EVERYTHING,2,ORG,0.0,0
Sweet,2,PERSON,0.0,0
Daniel,2,PERSON,0.0,0
Cobb,2,PERSON,0.0,0
Daniels,2,PERSON,0.0,0
BLT,2,ORG,0.0,0
WONDERFUL,1,ORG,0.0,0
Union,1,GPE,0.0,0
Turkey,1,GPE,0.0,0
Taurean,1,PERSON,0.0,0
WORST,1,PERSON,0.0,0
TGIF,1,ORG,1.0,ORG
Sugar,1,ORG,0.0,0
Store,1,ORG,0.0,0
Table,1,GPE,0.0,0
WOW,1,ORG,0.0,0
Yummy,1,PERSON,0.0,0
Shayna,1,PERSON,0.0,0
Sassy,1,GPE,0.0,0
Chicken,1,ORG,0.0,0
Century,1,ORG,0.0,0
Caesar,1,PERSON,0.0,0
Brittany,1,GPE,0.0,0
Boyfriend,1,PERSON,0.0,0
Bartender,1,PERSON,0.0,0
BBQ,1,ORG,0.0,0
Ashly,1,PERSON,0.0,0
AMAZING,1,ORG,0.0,0
Davon,1,PERSON,0.0,0
Denny,1,ORG,0.0,0
Midori,1,PERSON,0.0,0
Maurice,1,PERSON,0.0,0
Malort,1,GPE,0.0,0
Junebug,1,PERSON,0.0,0
Javon,1,ORG,0.0,0
Jack,1,PERSON,4.0,PERSON
Idk,1,PERSON,0.0,0
IPA,1,ORG,0.0,0
Houston,1,GPE,0.0,0
Hospitality,1,ORG,0.0,0
Guy,1,PERSON,0.0,0
