entity,best,da,worst,da2
the,3359,ORG,404.0,ORG
Cheesecake,1525,ORG,304.0,ORG
The,1470,PERSON,100.0,GPE
San,503,ORG,46.0,PERSON
CF,487,ORG,55.0,ORG
Chicken,408,ORG,16.0,PERSON
 ,346,ORG,0.0,0
Best,308,ORG,0.0,0
John,255,PERSON,0.0,0
Macy,239,PERSON,0.0,0
Kobe,225,PERSON,14.0,PERSON
Diane,215,PERSON,0.0,0
Steak,206,PERSON,0.0,0
Great,196,PERSON,0.0,0
Katie,181,ORG,0.0,0
HUGE,174,ORG,9.0,ORG
Chris,173,ORG,0.0,0
Louisiana,141,GPE,4.0,GPE
Bacon,137,ORG,0.0,0
Godiva,134,ORG,0.0,0
Miso,131,GPE,30.0,PERSON
CCF,127,ORG,21.0,ORG
Oreo,125,PERSON,1.0,PERSON
Alex,122,PERSON,22.0,ORG
Red,119,PERSON,2.0,PERSON
Black,116,GPE,0.0,0
Fresh,115,ORG,0.0,0
AMAZING,112,ORG,3.0,ORG
BEST,110,ORG,0.0,0
Adam,104,PERSON,0.0,0
Parmesan,96,PERSON,6.0,ORG
Madeira,95,PERSON,2.0,PERSON
 The,90,ORG,0.0,0
Americana,90,GPE,14.0,GPE
BBQ,90,ORG,6.0,ORG
Reese,85,ORG,0.0,0
Alfredo,83,PERSON,15.0,PERSON
Los,83,PERSON,0.0,0
Yelp,82,PERSON,14.0,PERSON
Sarah,81,PERSON,9.0,PERSON
Las,81,ORG,6.0,ORG
Green,80,ORG,0.0,0
Marsala,80,ORG,2.0,GPE
Mac,79,ORG,19.0,ORG
Caesar,78,PERSON,3.0,PERSON
Waikiki,77,ORG,2.0,GPE
AZ,75,ORG,0.0,0
Mother,74,ORG,18.0,ORG
Salmon,70,PERSON,4.0,GPE
Chinese,70,ORG,0.0,0
Da,66,ORG,0.0,0
Lemon,64,ORG,0.0,0
Banana,64,PERSON,0.0,0
Michael,64,PERSON,18.0,PERSON
White,64,PERSON,0.0,0
Chocolate,63,ORG,2.0,ORG
SF,63,GPE,2.0,ORG
Crispy,63,ORG,0.0,0
California,62,GPE,16.0,ORG
Carrot,62,PERSON,3.0,GPE
Key,61,PERSON,10.0,PERSON
VERY,60,ORG,4.0,ORG
Santa,59,GPE,0.0,0
 It,58,PERSON,0.0,0
OMG,57,ORG,3.0,ORG
Scott,56,PERSON,0.0,0
Linda,56,PERSON,0.0,0
David,56,ORG,0.0,0
Brandon,56,PERSON,3.0,PERSON
Dulce,56,ORG,0.0,0
Ann,56,ORG,0.0,0
Daniel,55,PERSON,11.0,PERSON
WOW,55,ORG,3.0,ORG
James,54,PERSON,0.0,0
Tiramisu,54,ORG,8.0,GPE
Jackie,54,PERSON,0.0,0
Hershey,53,GPE,0.0,0
Romano,53,GPE,3.0,PERSON
Ok,53,ORG,19.0,GPE
DELICIOUS,52,ORG,0.0,0
This,52,ORG,33.0,PERSON
Buffalo,51,GPE,2.0,PERSON
Lauren,49,PERSON,0.0,0
Shrimp,49,PERSON,2.0,PERSON
Georgia,48,GPE,0.0,0
Chicago,48,GPE,9.0,GPE
Amy,47,PERSON,10.0,ORG
Shepherd,47,PERSON,2.0,PERSON
Irvine,46,ORG,4.0,GPE
Bellagio,46,PERSON,0.0,0
US,46,ORG,12.0,GPE
Kahlua,46,GPE,0.0,0
Vegas,45,GPE,3.0,GPE
Brunch,45,ORG,2.0,PERSON
Jessica,45,PERSON,1.0,PERSON
Factory,45,ORG,0.0,0
Peanut,45,PERSON,0.0,0
THE,43,ORG,29.0,PERSON
Sweet,43,PERSON,0.0,0
Evelyn,43,ORG,3.0,PERSON
Strawberry,43,PERSON,0.0,0
Adrian,42,PERSON,0.0,0
Orland,42,GPE,12.0,ORG
Dinner,41,ORG,14.0,ORG
Angel,40,PERSON,0.0,0
Avocado,40,ORG,4.0,ORG
Alicia,40,PERSON,0.0,0
Staff,40,PERSON,0.0,0
P.S.,40,ORG,0.0,0
YUM,39,ORG,0.0,0
Mashed,39,PERSON,0.0,0
Justin,38,PERSON,11.0,PERSON
Super,38,ORG,2.0,ORG
Orange,37,GPE,0.0,0
Ashley,37,ORG,5.0,PERSON
Herb,37,PERSON,0.0,0
Rachel,36,PERSON,2.0,PERSON
Carmel,36,ORG,0.0,0
Cody,36,ORG,0.0,0
Melyssa,36,ORG,0.0,0
Brittany,36,GPE,5.0,PERSON
Valentine,36,PERSON,1.0,PERSON
LOL,35,ORG,0.0,0
Nicole,35,GPE,1.0,PERSON
FOOD,35,ORG,0.0,0
Shane,35,GPE,0.0,0
Cheesecakes,35,ORG,0.0,0
Kevin,34,PERSON,0.0,0
Anyways,34,PERSON,16.0,PERSON
OREO,33,ORG,0.0,0
Nutella,33,PERSON,2.0,ORG
AWESOME,33,ORG,0.0,0
Boston,33,GPE,0.0,0
Tyler,33,PERSON,0.0,0
Austin,33,PERSON,11.0,PERSON
Friendly,32,PERSON,0.0,0
Beverly,32,GPE,8.0,GPE
Andrew,31,PERSON,2.0,PERSON
Anthony,31,PERSON,1.0,PERSON
Craig,30,ORG,0.0,0
Hibachi,30,ORG,6.0,PERSON
Jeremy,30,PERSON,0.0,0
Vanilla,29,GPE,0.0,0
Adams,29,PERSON,0.0,0
Disneyland,29,GPE,7.0,GPE
Eric,29,PERSON,0.0,0
USA,29,ORG,0.0,0
Kristen,28,PERSON,0.0,0
Mmm,28,PERSON,0.0,0
Sara,28,GPE,2.0,PERSON
Long,28,ORG,0.0,0
Kapolei,27,PERSON,1.0,PERSON
Amanda,27,PERSON,7.0,ORG
Jennifer,26,PERSON,7.0,PERSON
Cesar,26,GPE,4.0,PERSON
CHEESECAKE,25,ORG,1.0,ORG
HH,25,ORG,0.0,0
Juicy,25,PERSON,0.0,0
National,25,ORG,0.0,0
Sheila,25,PERSON,1.0,PERSON
Food,25,PERSON,0.0,0
Mmmmmm,25,GPE,0.0,0
Calamari,24,PERSON,4.0,ORG
Mojito,24,PERSON,3.0,PERSON
Ultimate,24,ORG,0.0,0
Grilled,24,ORG,0.0,0
Pasadena,24,GPE,6.0,GPE
Honestly,24,ORG,3.0,PERSON
Victoria,24,PERSON,0.0,0
 and,24,ORG,0.0,0
Farfalle,24,GPE,3.0,GPE
heaven,24,PERSON,0.0,0
Huntington,23,GPE,0.0,0
Matt,23,ORG,0.0,0
Jimmy,23,PERSON,0.0,0
Seattle,22,GPE,2.0,GPE
Patrick,22,PERSON,3.0,GPE
Mission,22,ORG,0.0,0
Dessert,22,PERSON,3.0,PERSON
Macaroni,22,ORG,0.0,0
Hubby,22,PERSON,0.0,0
Shannon,21,PERSON,0.0,0
Matthew,21,PERSON,0.0,0
LOVE,21,ORG,0.0,0
Cheryl,21,PERSON,0.0,0
Walnut,21,GPE,4.0,GPE
Hawaii,21,GPE,0.0,0
Newport,21,GPE,0.0,0
Grove,21,GPE,0.0,0
Courtney,21,PERSON,18.0,PERSON
Margarita,20,PERSON,3.0,PERSON
Tony,20,ORG,20.0,PERSON
Apple,20,ORG,9.0,ORG
TCF,20,ORG,10.0,ORG
Otay,20,GPE,0.0,0
Cosmo,20,GPE,0.0,0
Chipotle,20,ORG,2.0,GPE
Charlie,20,PERSON,0.0,0
Lucky,20,PERSON,0.0,0
Redondo,20,GPE,3.0,GPE
NYC,19,ORG,7.0,ORG
Century,19,PERSON,0.0,0
Francine,19,PERSON,0.0,0
Kim,19,PERSON,0.0,0
Rice,19,PERSON,0.0,0
Basil,19,PERSON,0.0,0
Omg,19,PERSON,0.0,0
Caramel,19,ORG,0.0,0
