entity,best,da,worst,da2
New,2,GPE,0.0,0
BJ,2,ORG,0.0,0
Cipriano,2,PERSON,0.0,0
Staff,1,PERSON,0.0,0
Sipriano,1,PERSON,0.0,0
Russ,1,PERSON,0.0,0
Pizookie,1,PERSON,0.0,0
Oktoberfest,1,PERSON,0.0,0
Mediterranean,1,ORG,0.0,0
Liz,1,PERSON,0.0,0
Kalaya,1,PERSON,0.0,0
Jessica,1,PERSON,0.0,0
House,1,ORG,0.0,0
Emily,1,PERSON,0.0,0
Chili,1,ORG,0.0,0
Avocado,1,PERSON,0.0,0
Aaron,1,PERSON,0.0,0
