entity,worst,da,best,da2
Chili,306,ORG,885.0,ORG
Chilis,90,GPE,190.0,PERSON
 ,28,PERSON,46.0,GPE
at,20,ORG,0.0,0
HORRIBLE,18,ORG,0.0,0
Yelp,17,PERSON,27.0,PERSON
Togo,16,PERSON,0.0,0
Blah,15,ORG,0.0,0
Horrible,15,ORG,0.0,0
NEVER,14,PERSON,3.0,ORG
NO,13,ORG,0.0,0
Fine,12,PERSON,0.0,0
EVER,11,ORG,0.0,0
Erin,11,PERSON,0.0,0
SERVICE,10,ORG,1.0,ORG
Coke,9,ORG,0.0,0
The,9,ORG,35.0,ORG
THE,9,ORG,0.0,0
West,8,PERSON,0.0,0
Margarita,8,PERSON,23.0,PERSON
GM,7,ORG,7.0,GPE
Mac,7,ORG,0.0,0
MSG,7,ORG,0.0,0
Julie,7,GPE,2.0,PERSON
RUDE,7,ORG,0.0,0
WRONG,7,ORG,0.0,0
Patrick,7,PERSON,8.0,PERSON
Ok,7,GPE,7.0,GPE
Carson,6,ORG,0.0,0
BAD,6,PERSON,0.0,0
US,6,ORG,0.0,0
Next,6,PERSON,0.0,0
El,6,ORG,3.0,GPE
Monet,6,PERSON,0.0,0
DIRTY,6,ORG,0.0,0
COLD,5,PERSON,0.0,0
Hawaii,5,GPE,9.0,GPE
Ruby,5,ORG,0.0,0
John,5,PERSON,38.0,ORG
Orem,5,PERSON,0.0,0
ONLY,5,ORG,8.0,GPE
WAY,5,ORG,0.0,0
WORST,5,ORG,0.0,0
Andre,4,PERSON,0.0,0
Ardmore,4,GPE,1.0,GPE
Aunt,4,PERSON,0.0,0
Texas,4,GPE,29.0,GPE
Ventura,4,GPE,0.0,0
BOTH,4,ORG,0.0,0
Air,4,ORG,0.0,0
Barnes,4,ORG,0.0,0
Barstow,4,PERSON,3.0,GPE
Bill,4,PERSON,0.0,0
San,4,PERSON,0.0,0
Target,4,ORG,0.0,0
Steve,4,PERSON,1.0,PERSON
Great,4,PERSON,29.0,PERSON
I.,4,GPE,4.0,PERSON
ITS,4,ORG,0.0,0
Jameson,4,PERSON,0.0,0
Encino,4,GPE,3.0,GPE
