entity,worst,da,best,da2
BJ,389,PERSON,2847.0,PERSON
the,148,ORG,1199.0,ORG
Coke,31,PERSON,0.0,0
Man,29,PERSON,0.0,0
HORRIBLE,25,ORG,0.0,0
EVER,21,PERSON,0.0,0
WORST,18,PERSON,0.0,0
Fish,16,PERSON,93.0,ORG
San,16,GPE,283.0,PERSON
The,15,PERSON,225.0,PERSON
Horrible,14,ORG,0.0,0
POS,13,ORG,0.0,0
AGAIN,13,ORG,2.0,ORG
Lazy,13,PERSON,0.0,0
LA,12,ORG,87.0,GPE
ID,12,PERSON,0.0,0
Ron,12,PERSON,0.0,0
Parmesan,11,ORG,94.0,PERSON
US,11,ORG,8.0,PERSON
BBQ,11,ORG,120.0,ORG
David,11,PERSON,184.0,PERSON
COLD,11,ORG,0.0,0
WTF,10,ORG,0.0,0
LOUSY,10,PERSON,0.0,0
Brea,10,PERSON,87.0,ORG
Brandi,10,PERSON,0.0,0
Food,10,GPE,0.0,0
HELL,9,PERSON,0.0,0
BTW,9,ORG,11.0,ORG
ASAP,9,ORG,25.0,ORG
AWFUL,9,ORG,0.0,0
RUDE,9,ORG,0.0,0
Wendy,9,PERSON,9.0,PERSON
California,9,GPE,165.0,GPE
Temecula,9,PERSON,13.0,PERSON
Raiders,9,PERSON,0.0,0
MIA,9,ORG,0.0,0
GM,9,GPE,100.0,ORG
ONLY,8,ORG,0.0,0
BAD,8,ORG,0.0,0
BJs,8,ORG,0.0,0
WRONG,8,ORG,0.0,0
DRIVE,7,ORG,0.0,0
Ok,7,GPE,44.0,ORG
Bruce,7,PERSON,0.0,0
Pizookie,7,PERSON,201.0,PERSON
RAW,7,ORG,0.0,0
McDonalds,7,PERSON,0.0,0
Next,7,ORG,23.0,PERSON
Chris,6,PERSON,70.0,PERSON
Burger,6,PERSON,0.0,0
BJS,6,PERSON,32.0,GPE
Seth,6,ORG,0.0,0
Bad,6,PERSON,0.0,0
Black,6,PERSON,54.0,PERSON
Frank,6,ORG,0.0,0
HOWEVER,6,ORG,5.0,ORG
McDonald,6,ORG,0.0,0
SMH,6,ORG,0.0,0
Luis,6,PERSON,13.0,PERSON
VERY,6,ORG,39.0,ORG
Server,6,PERSON,24.0,PERSON
Laguna,6,GPE,18.0,PERSON
Caesar,6,PERSON,60.0,GPE
SUCKS,6,ORG,3.0,ORG
Worst,6,PERSON,0.0,0
Brewhouse,6,PERSON,80.0,GPE
Bjs,6,PERSON,0.0,0
Tommy,6,PERSON,0.0,0
Orange,5,GPE,12.0,GPE
Paul,5,PERSON,34.0,PERSON
Amy,5,PERSON,38.0,ORG
THREE,5,ORG,0.0,0
Anyways,5,PERSON,18.0,PERSON
Olive,5,GPE,13.0,PERSON
FAIL,5,ORG,0.0,0
Cesar,5,PERSON,26.0,PERSON
Michael,5,PERSON,88.0,ORG
Scott,5,PERSON,19.0,PERSON
Lame,5,ORG,0.0,0
Desiree,5,PERSON,0.0,0
Hell,5,PERSON,0.0,0
SHITTY,5,ORG,0.0,0
Isaac,5,PERSON,3.0,ORG
Alfredo,5,PERSON,59.0,PERSON
Togo,5,GPE,0.0,0
Deep,5,PERSON,51.0,PERSON
Dinner,4,ORG,23.0,ORG
Stella,4,ORG,7.0,PERSON
Coral,4,GPE,0.0,0
Jeremy,4,PERSON,18.0,GPE
Arcadia,4,GPE,3.0,GPE
Melissa,4,PERSON,43.0,PERSON
WHAT,4,ORG,0.0,0
Yuck,4,PERSON,0.0,0
LEAST,4,ORG,0.0,0
Nikki,4,PERSON,0.0,0
Mom,4,PERSON,17.0,GPE
KFC,4,ORG,1.0,ORG
Tortilla,4,ORG,2.0,ORG
Gross,4,PERSON,0.0,0
Kyle,4,PERSON,46.0,PERSON
FINALLY,4,ORG,0.0,0
Roseville,4,GPE,10.0,GPE
Mother,4,PERSON,47.0,PERSON
OMG,4,ORG,30.0,ORG
Robert,4,PERSON,12.0,PERSON
