entity,best,da,worst,da2
CPK,42,ORG,10.0,ORG
California,8,ORG,1.0,GPE
Tito,6,GPE,0.0,0
Love,5,PERSON,0.0,0
BBQ,5,ORG,0.0,0
Ian,5,GPE,0.0,0
The,4,ORG,0.0,0
Annie,4,PERSON,0.0,0
Fresh,4,PERSON,0.0,0
Pearlridge,3,ORG,1.0,ORG
Seth,3,PERSON,0.0,0
Naomi,3,PERSON,0.0,0
AMAZING,3,ORG,0.0,0
Mililani,3,GPE,0.0,0
Maui,3,GPE,0.0,0
Ashley,3,ORG,0.0,0
Betty,3,ORG,0.0,0
Guadalajara,2,GPE,0.0,0
Hawaii,2,GPE,1.0,GPE
Cpk,2,PERSON,0.0,0
Cobb,2,PERSON,0.0,0
Cedar,2,PERSON,0.0,0
Irma,2,PERSON,0.0,0
Jambalaya,2,ORG,0.0,0
Joey,2,ORG,0.0,0
Kung,2,PERSON,0.0,0
LOL,2,ORG,0.0,0
Pasadena,2,GPE,0.0,0
SF,2,GPE,0.0,0
Spinach,2,ORG,0.0,0
Team,2,ORG,0.0,0
Lunch,2,PERSON,0.0,0
CA,2,ORG,0.0,0
Watermelon,1,PERSON,0.0,0
Travis,1,PERSON,0.0,0
USC,1,ORG,0.0,0
Update,1,ORG,0.0,0
Utah,1,GPE,0.0,0
WHICH,1,ORG,0.0,0
Zack,1,PERSON,0.0,0
[,1,ORG,0.0,0
5/5.Came,1,ORG,0.0,0
Smashed,1,ORG,0.0,0
Spaghetti,1,ORG,0.0,0
Sparkling,1,ORG,0.0,0
Spicy,1,ORG,0.0,0
Sriracha,1,GPE,0.0,0
Steven,1,PERSON,0.0,0
Stoneridge,1,ORG,0.0,0
Sucks,1,PERSON,0.0,0
Summerlin,1,GPE,0.0,0
THE,1,ORG,0.0,0
Taylor,1,PERSON,0.0,0
cheapness!My,1,ORG,0.0,0
Buffalo,1,GPE,0.0,0
entrées,1,ORG,0.0,0
 ,1,ORG,0.0,0
 Anyhow,1,PERSON,0.0,0
-Garlic,1,ORG,0.0,0
here!I,1,PERSON,0.0,0
environment!First,1,ORG,0.0,0
heheSo,1,PERSON,0.0,0
menu!Ashley,1,PERSON,0.0,0
mileTasty,1,ORG,0.0,0
Scott,1,PERSON,0.0,0
Dominic,1,PERSON,0.0,0
Emily,1,PERSON,0.0,0
Eric,1,PERSON,0.0,0
Baked,1,ORG,0.0,0
Bacon,1,PERSON,0.0,0
GM,1,ORG,0.0,0
Garlic,1,GPE,0.0,0
BAD,1,PERSON,0.0,0
HAHA,1,ORG,0.0,0
HEY,1,ORG,0.0,0
HOSTS,1,ORG,0.0,0
Anyways,1,PERSON,0.0,0
Angel,1,PERSON,0.0,0
Irvine,1,GPE,0.0,0
Isabel,1,PERSON,0.0,0
Emeryville,1,GPE,0.0,0
Diner,1,PERSON,0.0,0
Carne,1,ORG,0.0,0
Brian,1,PERSON,0.0,0
Celiacs,1,PERSON,0.0,0
Celso,1,PERSON,0.0,0
Cheesecake,1,PERSON,0.0,0
Chicken,1,PERSON,0.0,0
Chipotle,1,ORG,0.0,0
Chris,1,PERSON,0.0,0
Corrina,1,PERSON,0.0,0
Courttani,1,PERSON,0.0,0
Bianca,1,PERSON,0.0,0
Credit,1,ORG,0.0,0
Crunchy,1,ORG,0.0,0
Crust,1,ORG,0.0,0
David,1,PERSON,0.0,0
Derek,1,PERSON,0.0,0
Amazing,1,ORG,0.0,0
Alexis,1,PERSON,0.0,0
Santa,1,GPE,0.0,0
Moorpark,1,GPE,0.0,0
Moscow,1,GPE,0.0,0
Navratri,1,ORG,0.0,0
Oahu,1,ORG,0.0,0
Orlando,1,GPE,0.0,0
PACKED,1,ORG,0.0,0
Paint,1,PERSON,0.0,0
Parmesan,1,ORG,0.0,0
Quinn,1,PERSON,0.0,0
REALLY,1,ORG,0.0,0
Richard,1,PERSON,0.0,0
Russo,1,PERSON,0.0,0
SICKNING,1,ORG,0.0,0
Sacramento,1,GPE,0.0,0
Monique,1,PERSON,0.0,0
Millenia,1,GPE,0.0,0
Ala,1,PERSON,1.0,PERSON
Julissa,1,PERSON,0.0,0
KMA,1,ORG,0.0,0
Ka,1,ORG,0.0,0
Karissa,1,PERSON,0.0,0
Knights,1,GPE,0.0,0
Aidee,1,GPE,0.0,0
LAME,1,PERSON,0.0,0
Las,1,GPE,0.0,0
ALWAYS,1,ORG,0.0,0
-Farmers,1,ORG,0.0,0
MISTAKE,1,ORG,0.0,0
Margarita,1,PERSON,0.0,0
AC,1,GPE,0.0,0
McDonald,1,ORG,0.0,0
