entity,best,da,worst,da2
Red,33,ORG,19.0,ORG
Robin,9,PERSON,9.0,PERSON
Fries,7,ORG,1.0,PERSON
Great,4,ORG,0.0,0
PM,3,ORG,0.0,0
Meagan,3,PERSON,0.0,0
Chipotle,3,GPE,0.0,0
Yolanda,3,PERSON,0.0,0
Katie,3,PERSON,0.0,0
Josh,3,PERSON,0.0,0
The,3,ORG,0.0,0
Taylor,3,PERSON,0.0,0
Blue,3,PERSON,0.0,0
Food,3,PERSON,1.0,ORG
Ghost,2,PERSON,0.0,0
Jewell,2,PERSON,0.0,0
Staff,2,PERSON,0.0,0
Valerie,2,PERSON,0.0,0
Charles,2,PERSON,0.0,0
Lol,2,PERSON,1.0,PERSON
Burgers,2,GPE,0.0,0
 ,2,PERSON,0.0,0
Myrtle,2,GPE,0.0,0
Phil,2,PERSON,0.0,0
Papa,2,PERSON,0.0,0
Betsy,2,ORG,0.0,0
Black,2,PERSON,0.0,0
Salmon,1,PERSON,0.0,0
Robins,1,ORG,0.0,0
Sriracha,1,PERSON,0.0,0
Sears,1,ORG,0.0,0
Shakira,1,PERSON,0.0,0
Southern,1,ORG,0.0,0
Shroom,1,PERSON,0.0,0
Woodland,1,GPE,0.0,0
Tripp,1,PERSON,0.0,0
VERY,1,ORG,0.0,0
YummmHad,1,ORG,0.0,0
RR,1,PERSON,0.0,0
Warwick,1,PERSON,0.0,0
Vermont,1,GPE,0.0,0
Vanessa,1,PERSON,0.0,0
Valpo,1,GPE,0.0,0
Rachel,1,PERSON,0.0,0
Price,1,PERSON,0.0,0
Bravo,1,ORG,0.0,0
Benji,1,GPE,0.0,0
Background,1,ORG,0.0,0
BOH,1,ORG,0.0,0
BBQ,1,ORG,3.0,ORG
Arctic,1,ORG,0.0,0
Anniversary,1,GPE,0.0,0
AMAZING,1,ORG,0.0,0
9pm,1,ORG,0.0,0
Bruschetta,1,PERSON,0.0,0
Chesterton,1,GPE,0.0,0
Citrus,1,ORG,0.0,0
Parmesan,1,GPE,1.0,ORG
Octave,1,GPE,0.0,0
Mother,1,PERSON,0.0,0
Midlothian,1,GPE,0.0,0
Michael,1,PERSON,0.0,0
Melissa!I,1,PERSON,0.0,0
Meal,1,PERSON,0.0,0
MUST,1,ORG,0.0,0
Lucky,1,ORG,0.0,0
Leland,1,GPE,0.0,0
Kincaids,1,PERSON,0.0,0
Jaw,1,PERSON,0.0,0
James,1,PERSON,0.0,0
Jalapeño,1,ORG,0.0,0
Ive,1,PERSON,0.0,0
Houston,1,GPE,0.0,0
Hampton,1,PERSON,0.0,0
Glass,1,PERSON,0.0,0
Florence,1,GPE,0.0,0
Fairfield,1,GPE,2.0,GPE
Ensenada,1,ORG,0.0,0
Download,1,PERSON,0.0,0
Deschutes,1,ORG,0.0,0
Cooked,1,ORG,0.0,0
Coleslaw,1,ORG,0.0,0
Mary,1,PERSON,0.0,0
