entity,best,da,worst,da2
Red,1403,ORG,293.0,ORG
Robin,364,PERSON,70.0,ORG
John,130,ORG,6.0,PERSON
The,127,PERSON,6.0,ORG
Sarah,112,GPE,0.0,0
Best,81,PERSON,0.0,0
Great,76,ORG,0.0,0
Ryan,72,GPE,0.0,0
BBQ,71,ORG,12.0,ORG
Royal,71,ORG,7.0,ORG
RR,68,ORG,10.0,ORG
Blue,55,ORG,4.0,ORG
Mac,54,PERSON,0.0,0
Tyler,53,PERSON,2.0,PERSON
Fish,47,PERSON,0.0,0
Brittany,47,PERSON,2.0,GPE
Fries,46,PERSON,9.0,PERSON
Yummy,43,PERSON,0.0,0
BEST,40,PERSON,0.0,0
Alex,39,PERSON,0.0,0
Daniel,39,PERSON,3.0,GPE
Staff,39,PERSON,2.0,PERSON
Chili,38,PERSON,0.0,0
AMAZING,38,ORG,0.0,0
James,35,PERSON,0.0,0
GF,34,ORG,0.0,0
Food,33,PERSON,6.0,ORG
Matt,33,PERSON,8.0,PERSON
VERY,32,ORG,4.0,PERSON
Tony,32,GPE,0.0,0
David,32,PERSON,7.0,PERSON
California,32,GPE,2.0,ORG
Bacon,32,ORG,5.0,PERSON
Chicken,31,GPE,7.0,GPE
Boca,30,PERSON,0.0,0
This,30,GPE,2.0,GPE
Mike,28,PERSON,0.0,0
Friendly,28,PERSON,0.0,0
Josh,28,PERSON,0.0,0
Sam,28,PERSON,0.0,0
Burnin,27,PERSON,2.0,GPE
Betzy,27,GPE,0.0,0
WOW,26,ORG,0.0,0
Carmel,25,PERSON,0.0,0
Courtney,25,GPE,0.0,0
BAM,25,ORG,0.0,0
I.,25,ORG,0.0,0
Chase,25,PERSON,0.0,0
Andrew,24,PERSON,2.0,PERSON
Ashley,24,PERSON,2.0,PERSON
Jessica,24,PERSON,3.0,PERSON
Steve,23,ORG,0.0,0
New,23,ORG,0.0,0
Mother,22,ORG,0.0,0
Sweet,22,PERSON,0.0,0
Megan,22,ORG,0.0,0
Clean,22,ORG,1.0,GPE
My,21,ORG,0.0,0
Robins,21,PERSON,0.0,0
Michael,21,ORG,0.0,0
OMG,20,PERSON,1.0,ORG
Nick,20,PERSON,0.0,0
Super,20,ORG,0.0,0
AWESOME,19,ORG,0.0,0
Lisa,19,PERSON,0.0,0
Jordan,18,PERSON,0.0,0
Dijon,18,ORG,0.0,0
Applebee,18,PERSON,1.0,ORG
Bottomless,17,PERSON,1.0,PERSON
Lol,17,PERSON,0.0,0
Bill,17,ORG,0.0,0
Kit,17,ORG,0.0,0
YUMMM,17,ORG,0.0,0
BLTA,17,GPE,0.0,0
Jim,17,PERSON,0.0,0
Adrian,17,ORG,0.0,0
Amber,16,PERSON,0.0,0
Alicia,16,ORG,0.0,0
Zack,16,GPE,0.0,0
Angie,16,PERSON,0.0,0
Amy,16,PERSON,3.0,PERSON
Alyssa,16,PERSON,0.0,0
Christina,15,PERSON,0.0,0
Derek,15,PERSON,0.0,0
FRIES,15,ORG,2.0,ORG
Eric,15,PERSON,1.0,PERSON
Carter,15,PERSON,0.0,0
Angry,15,PERSON,0.0,0
Patriot,15,PERSON,0.0,0
Glad,15,ORG,0.0,0
Marlee,14,GPE,0.0,0
Stevie,14,PERSON,0.0,0
HUGE,14,ORG,4.0,ORG
Burgers,14,ORG,1.0,ORG
Justin,14,PERSON,0.0,0
Julie,14,PERSON,0.0,0
Buffalo,14,ORG,6.0,ORG
DGB,13,ORG,0.0,0
Amanda,13,ORG,0.0,0
GREAT,13,ORG,0.0,0
Hubby,13,PERSON,0.0,0
Parmesan,13,PERSON,2.0,ORG
CA,13,ORG,0.0,0
Brandon,13,PERSON,0.0,0
Yelp,12,ORG,0.0,0
GOOD,12,ORG,0.0,0
Deidra,12,PERSON,0.0,0
Seattle,12,GPE,3.0,GPE
Nicole,12,PERSON,3.0,PERSON
Jeff,12,PERSON,0.0,0
Gourmet,12,ORG,0.0,0
THE,12,GPE,18.0,ORG
ROBIN,12,PERSON,4.0,PERSON
Stephanie,11,PERSON,0.0,0
Emily,11,ORG,0.0,0
P.S.,11,ORG,0.0,0
Jennifer,11,PERSON,0.0,0
Natalie,11,PERSON,0.0,0
Washington,11,GPE,1.0,GPE
Arryn,11,GPE,0.0,0
Anyways,11,ORG,2.0,GPE
Smoke,11,GPE,0.0,0
Sierra,11,PERSON,0.0,0
Ok,10,PERSON,11.0,GPE
Strawberry,10,ORG,0.0,0
Glendale,10,GPE,0.0,0
Corona,10,PERSON,0.0,0
Prime,10,ORG,0.0,0
Ranch,10,PERSON,1.0,PERSON
Server,10,PERSON,0.0,0
Lucky,10,PERSON,0.0,0
Truly,10,ORG,0.0,0
Vanessa,10,PERSON,1.0,PERSON
Kevin,10,PERSON,2.0,PERSON
Kim,10,PERSON,0.0,0
Jasmine,10,PERSON,0.0,0
Sara,9,GPE,0.0,0
Price,9,PERSON,0.0,0
Ziosk,9,PERSON,0.0,0
Veggie,9,PERSON,0.0,0
Rachel,9,PERSON,0.0,0
US,9,ORG,12.0,ORG
River,9,ORG,0.0,0
Robert,9,PERSON,0.0,0
Six,9,PERSON,0.0,0
Garden,9,PERSON,0.0,0
Salmon,9,PERSON,0.0,0
ASAP,9,ORG,0.0,0
Garlic,9,ORG,0.0,0
Paula,9,ORG,0.0,0
A+,9,ORG,0.0,0
Clayton,9,PERSON,0.0,0
Lauren,9,PERSON,0.0,0
Crystal,9,PERSON,0.0,0
Bonzai,9,GPE,1.0,GPE
DELICIOUS,9,ORG,0.0,0
Katie,9,ORG,5.0,PERSON
Celiac,9,GPE,0.0,0
Denise,9,PERSON,0.0,0
Texas,8,GPE,3.0,GPE
Melanie,8,PERSON,0.0,0
heaven,8,GPE,0.0,0
Meagan,8,PERSON,0.0,0
Carrie,8,ORG,0.0,0
Ensenada,8,PERSON,0.0,0
HEAVEN,8,ORG,0.0,0
Veronica,8,PERSON,0.0,0
Dinner,8,GPE,0.0,0
St,8,GPE,0.0,0
NEVER,8,ORG,15.0,ORG
Kristen,8,PERSON,0.0,0
Bruschetta,8,PERSON,1.0,GPE
BJ,8,ORG,0.0,0
BOTTOMLESS,8,PERSON,0.0,0
Banzai,8,GPE,3.0,ORG
Boise,8,PERSON,0.0,0
Panera,8,GPE,0.0,0
Birthday,8,GPE,0.0,0
Suzy,8,ORG,0.0,0
LOL,8,ORG,0.0,0
NFL,7,ORG,0.0,0
Jesse,7,PERSON,0.0,0
Angelica,7,ORG,0.0,0
Woodland,7,GPE,1.0,GPE
Shannon,7,PERSON,0.0,0
REALLY,7,ORG,1.0,ORG
Chipotle,7,PERSON,0.0,0
HOT,7,ORG,0.0,0
ALWAYS,7,ORG,1.0,ORG
Bailey,7,PERSON,0.0,0
EXCELLENT,7,ORG,0.0,0
Clovis,7,GPE,1.0,PERSON
Towering,7,ORG,0.0,0
Orlando,7,PERSON,0.0,0
Caitlyn,7,ORG,0.0,0
Florida,7,GPE,0.0,0
Hawaii,7,GPE,0.0,0
Yummm,7,PERSON,0.0,0
Mushroom,6,ORG,0.0,0
Brooke,6,PERSON,0.0,0
Auburn,6,ORG,1.0,GPE
Mountain,6,GPE,0.0,0
Valentine,6,PERSON,0.0,0
Guinness,6,ORG,0.0,0
Angela,6,PERSON,0.0,0
Bills,6,GPE,0.0,0
Virginia,6,GPE,0.0,0
Melissa,6,PERSON,0.0,0
Awesome,6,GPE,0.0,0
McDonald,6,ORG,9.0,ORG
San,6,PERSON,0.0,0
Houston,6,PERSON,0.0,0
Everett,6,ORG,1.0,ORG
Wedgie,6,PERSON,0.0,0
Columbus,6,ORG,0.0,0
Paul,6,PERSON,0.0,0
AC,6,ORG,0.0,0
Lemonade,6,GPE,0.0,0
Spinach,6,PERSON,0.0,0
OREO,6,ORG,0.0,0
Peppercorn,6,ORG,0.0,0
Nh,6,ORG,0.0,0
Noelle,6,GPE,2.0,PERSON
AlbanyMy,6,GPE,0.0,0
Chelsea,6,ORG,0.0,0
VA,6,ORG,0.0,0
Tiffany,6,PERSON,0.0,0
Chicago,6,GPE,3.0,GPE
Caesar,6,PERSON,0.0,0
Root,6,ORG,0.0,0
Eddie,6,PERSON,0.0,0
Sharonda,5,ORG,0.0,0
PACKED,5,ORG,0.0,0
Rancho,5,ORG,3.0,ORG
Hahaha,5,GPE,0.0,0
Rebecca,5,PERSON,1.0,PERSON
Colorado,5,GPE,2.0,GPE
Hugh,5,PERSON,0.0,0
McKenzie,5,PERSON,0.0,0
Cheddar,5,ORG,0.0,0
Wilson,5,PERSON,0.0,0
Omg,5,PERSON,0.0,0
Shane,5,PERSON,0.0,0
Sydney,5,GPE,0.0,0
Freckled,5,PERSON,0.0,0
ERIC,5,GPE,0.0,0
Campfire,5,PERSON,0.0,0
Yukon,5,GPE,0.0,0
n't,5,ORG,0.0,0
Genisys,5,PERSON,0.0,0
Mmm,5,PERSON,0.0,0
Devin,5,PERSON,0.0,0
Tasty,5,GPE,0.0,0
Enfield,5,ORG,0.0,0
Bartender,5,PERSON,4.0,PERSON
Southwest,5,ORG,3.0,ORG
Jewell,5,ORG,0.0,0
Lucille,5,PERSON,0.0,0
Attentive,5,PERSON,0.0,0
Turkey,5,ORG,0.0,0
SANDRA,5,ORG,0.0,0
Javier,5,PERSON,0.0,0
Jason,5,ORG,0.0,0
Victoria,5,PERSON,0.0,0
Killeen,5,PERSON,0.0,0
Lindsey,5,PERSON,0.0,0
Lori,5,PERSON,0.0,0
IL,5,ORG,0.0,0
IMO,5,ORG,0.0,0
Amelia,5,ORG,0.0,0
Alexandra,4,PERSON,0.0,0
Servers,4,ORG,1.0,ORG
Emy,4,PERSON,0.0,0
Portland,4,GPE,0.0,0
Nanette,4,PERSON,0.0,0
Kadisha,4,PERSON,0.0,0
FRANCIS,4,ORG,0.0,0
Thumbs,4,PERSON,0.0,0
Justine,4,GPE,0.0,0
Amazing,4,PERSON,0.0,0
Candace,4,PERSON,0.0,0
NYC,4,ORG,0.0,0
Thanks,4,GPE,0.0,0
MUCH,4,ORG,0.0,0
Tristan,4,ORG,0.0,0
Soooo,4,ORG,0.0,0
Chuck,4,ORG,0.0,0
Smashburger,4,PERSON,0.0,0
States,4,PERSON,0.0,0
Charles,4,GPE,0.0,0
North,4,GPE,0.0,0
Tomato,4,ORG,0.0,0
Bridget,4,PERSON,0.0,0
LOVE,4,ORG,0.0,0
Stella,4,PERSON,3.0,PERSON
Grandma,4,PERSON,0.0,0
Provo,4,PERSON,0.0,0
YUMM,4,GPE,0.0,0
Indianapolis,4,GPE,0.0,0
Maryland,4,GPE,0.0,0
Teriyaki,4,ORG,2.0,ORG
Meredith,4,PERSON,0.0,0
Scott,4,PERSON,0.0,0
Target,4,ORG,1.0,ORG
BIG,4,GPE,7.0,PERSON
Whisky,4,PERSON,0.0,0
Tamika,4,GPE,0.0,0
Atmosphere,4,PERSON,0.0,0
McDonalds,4,ORG,9.0,PERSON
Sabrina,4,PERSON,0.0,0
Andrea,4,PERSON,0.0,0
Wendy,4,ORG,1.0,ORG
Andres,4,PERSON,0.0,0
Westfield,4,GPE,0.0,0
Ghost,4,PERSON,0.0,0
Ice,4,ORG,0.0,0
Schaumburg,4,GPE,0.0,0
Mitch,4,PERSON,0.0,0
Matthew,4,PERSON,0.0,0
Lancaster,3,GPE,0.0,0
Hamburger,3,GPE,0.0,0
Visalia,3,GPE,0.0,0
Danielle,3,PERSON,0.0,0
Turlock,3,GPE,0.0,0
Hannah,3,PERSON,3.0,PERSON
eat!Red,3,PERSON,0.0,0
Irene,3,ORG,2.0,PERSON
Customer,3,ORG,0.0,0
Waiter,3,ORG,0.0,0
Lubbock,3,GPE,0.0,0
Tucson,3,GPE,0.0,0
Oregon,3,GPE,0.0,0
Wareham,3,PERSON,0.0,0
Waitstaff,3,PERSON,0.0,0
Corporate,3,ORG,0.0,0
Orange,3,GPE,0.0,0
Leighton,3,GPE,0.0,0
Layton,3,PERSON,0.0,0
Derrick,3,PERSON,0.0,0
Cynthia,3,PERSON,0.0,0
DEFINITELY,3,PERSON,1.0,ORG
Oktoberfest,3,ORG,0.0,0
Heinz,3,PERSON,0.0,0
Jacksonville,3,GPE,0.0,0
Napoleon,3,PERSON,0.0,0
YAY,3,ORG,0.0,0
Escondido,3,GPE,0.0,0
Miranda,3,PERSON,0.0,0
Valencia,3,ORG,0.0,0
Ventura,3,GPE,4.0,PERSON
Valerie,3,PERSON,0.0,0
Myrtle,3,PERSON,0.0,0
Zombie,3,GPE,0.0,0
Jeremy,3,PERSON,0.0,0
Mud,3,GPE,0.0,0
Vancouver,3,GPE,0.0,0
Monica,3,PERSON,0.0,0
Fuddruckers,3,ORG,1.0,ORG
Vacaville,3,GPE,2.0,GPE
Elizabeth,3,PERSON,0.0,0
Lynnwood,3,GPE,3.0,GPE
Jonathan,3,PERSON,0.0,0
Donna,3,PERSON,0.0,0
Doreen,3,ORG,0.0,0
Michigan,3,GPE,1.0,GPE
Katelyn,3,PERSON,0.0,0
Woodinville,3,GPE,0.0,0
Décor,3,GPE,0.0,0
Madlove,3,PERSON,0.0,0
Kid,3,ORG,0.0,0
EXTREMELY,3,ORG,0.0,0
Miller,3,PERSON,0.0,0
Donetta,3,PERSON,0.0,0
Desserts,3,GPE,0.0,0
Tortilla,3,PERSON,1.0,ORG
RaShelle,3,PERSON,0.0,0
Chantilly,3,GPE,0.0,0
Avo,3,PERSON,0.0,0
Anchorage,3,GPE,0.0,0
Augusta,3,PERSON,0.0,0
Aubrey,3,PERSON,0.0,0
Anthony,3,PERSON,0.0,0
Appetizer,3,PERSON,0.0,0
Redmond,3,GPE,0.0,0
Applebees,3,PERSON,1.0,GPE
Arcadia,3,GPE,1.0,GPE
Adrienne,3,PERSON,0.0,0
Arctic,3,ORG,0.0,0
SERVICE,3,ORG,0.0,0
Bothell,3,GPE,0.0,0
A.1,3,GPE,0.0,0
Pretzel,3,GPE,0.0,0
Berserker,3,PERSON,0.0,0
Christopher,3,PERSON,0.0,0
Hunter,2,PERSON,0.0,0
Serena,2,GPE,0.0,0
Tallahassee,2,GPE,0.0,0
Bocca,2,PERSON,0.0,0
Gerald,2,PERSON,0.0,0
Webster,2,PERSON,0.0,0
Husband,2,GPE,0.0,0
Atlanta,2,GPE,0.0,0
Avocado,2,ORG,0.0,0
Wausau,2,GPE,0.0,0
Reddddd,2,PERSON,0.0,0
Illinois,2,GPE,0.0,0
Tacoma,2,GPE,0.0,0
Gabriel,2,PERSON,0.0,0
Giovanna,2,PERSON,0.0,0
Holiday,2,ORG,0.0,0
Quaker,2,ORG,0.0,0
Greg,2,PERSON,0.0,0
Grapevine,2,GPE,0.0,0
Bensalem,2,GPE,0.0,0
Grilled,2,ORG,0.0,0
Bathrooms,2,ORG,0.0,0
Temecula,2,GPE,1.0,GPE
Barbara,2,PERSON,0.0,0
Savory,2,ORG,0.0,0
HOWEVER,2,ORG,0.0,0
Sautéed,2,PERSON,0.0,0
Wifey,2,PERSON,0.0,0
Redding,2,GPE,0.0,0
Whittier,2,ORG,1.0,GPE
8:30pm,2,ORG,0.0,0
Helpful,2,ORG,0.0,0
Henrietta,2,PERSON,0.0,0
Hershey,2,PERSON,0.0,0
Raspberry,2,GPE,0.0,0
Blackened,2,PERSON,0.0,0
Seahawks,2,GPE,1.0,ORG
Wesley,2,ORG,0.0,0
Whole,2,ORG,0.0,0
WAY,2,ORG,0.0,0
Redlands,2,GPE,0.0,0
SHE,2,PERSON,0.0,0
MADDIE,2,PERSON,0.0,0
  ,2,ORG,0.0,0
MISHA,2,PERSON,0.0,0
MVP,2,ORG,0.0,0
Knoxville,2,GPE,0.0,0
Albuquerque,2,GPE,0.0,0
Abilene,2,GPE,0.0,0
Kentucky,2,GPE,0.0,0
SOOOO,2,ORG,0.0,0
Alessandro,2,PERSON,0.0,0
Kelly,2,PERSON,0.0,0
Katherine,2,PERSON,0.0,0
ABSOLUTELY,2,ORG,0.0,0
Roseville,2,PERSON,1.0,GPE
A-1,2,ORG,0.0,0
Trish,2,PERSON,0.0,0
Ruby,2,PERSON,5.0,PERSON
ALEXIS,2,ORG,0.0,0
ALMOST,2,ORG,0.0,0
Laurie,2,PERSON,0.0,0
Rommel,2,PERSON,0.0,0
Langley,2,ORG,0.0,0
Tuttle,2,ORG,0.0,0
Toni,2,PERSON,0.0,0
Riverside,2,GPE,1.0,GPE
Alison,2,PERSON,0.0,0
Vermont,2,GPE,0.0,0
