entity,best,da,worst,da2
Applebee,12,ORG,17.0,ORG
the,5,ORG,0.0,0
Applebees,4,ORG,3.0,GPE
Hays,3,PERSON,0.0,0
Stephanie,3,PERSON,0.0,0
Tona,3,PERSON,0.0,0
 ,3,PERSON,0.0,0
Danielle,2,PERSON,0.0,0
Sean,2,PERSON,0.0,0
Ok,2,ORG,0.0,0
Matt,2,PERSON,0.0,0
BIGGEST,1,ORG,0.0,0
Wendy,1,PERSON,0.0,0
Uber,1,GPE,0.0,0
Tijuan,1,GPE,0.0,0
The,1,ORG,0.0,0
TURNOFF,1,ORG,0.0,0
TRIFLING,1,ORG,0.0,0
keeperIt,1,ORG,0.0,0
Seal,1,PERSON,0.0,0
Bartender,1,PERSON,0.0,0
Kim,1,PERSON,0.0,0
JUMPY,1,ORG,0.0,0
Gilroy,1,PERSON,0.0,0
Erica,1,PERSON,0.0,0
Dollaritas,1,ORG,0.0,0
Dex,1,PERSON,0.0,0
Apps,1,PERSON,0.0,0
Chivas,1,GPE,0.0,0
Chili,1,ORG,0.0,0
Cam,1,ORG,0.0,0
BlahI,1,PERSON,0.0,0
Jimmy,1,PERSON,0.0,0
MENU,1,ORG,0.0,0
Sabrina,1,ORG,0.0,0
SUPERB,1,ORG,0.0,0
SPOT,1,ORG,0.0,0
Regulars,1,PERSON,0.0,0
Quick,1,ORG,0.0,0
Peter,1,PERSON,0.0,0
Paige,1,PERSON,0.0,0
PA,1,GPE,0.0,0
Nicole,1,PERSON,0.0,0
Nathan,1,PERSON,0.0,0
Napa,1,ORG,0.0,0
Mike,1,PERSON,0.0,0
