entity,best,da,worst,da2
Jack,194,PERSON,54.0,PERSON
TGIF,167,GPE,54.0,ORG
The,57,ORG,0.0,0
Courtney,51,PERSON,0.0,0
Luis,50,ORG,0.0,0
Best,45,PERSON,0.0,0
Great,40,PERSON,0.0,0
John,39,PERSON,0.0,0
Albany,38,GPE,0.0,0
Daniel,33,GPE,0.0,0
Lauren,30,PERSON,0.0,0
Daniels,30,GPE,16.0,GPE
Ryan,30,PERSON,2.0,PERSON
 ,30,PERSON,17.0,ORG
Anne,29,PERSON,0.0,0
Dave,28,PERSON,0.0,0
DJ,27,ORG,0.0,0
Jason,25,PERSON,0.0,0
Cobb,25,PERSON,0.0,0
Michael,25,PERSON,0.0,0
BEST,25,ORG,0.0,0
BBQ,24,GPE,9.0,ORG
Leah,23,ORG,0.0,0
Chris,22,ORG,5.0,GPE
Brittany,22,PERSON,0.0,0
AMAZING,20,ORG,0.0,0
Sunny,20,PERSON,0.0,0
Friendly,19,PERSON,0.0,0
Mike,18,ORG,20.0,PERSON
Chicken,18,GPE,0.0,0
Jose,18,PERSON,4.0,GPE
Steve,17,PERSON,2.0,GPE
Stripes,17,ORG,1.0,ORG
GM,17,ORG,17.0,ORG
Kevin,17,PERSON,3.0,PERSON
James,16,PERSON,0.0,0
Jasmine,16,PERSON,3.0,PERSON
Erica,15,GPE,0.0,0
Berry,15,ORG,0.0,0
Tina,14,PERSON,0.0,0
T.G.I.,14,ORG,0.0,0
Jessie,13,PERSON,1.0,PERSON
Kristy,13,GPE,0.0,0
Matt,13,PERSON,0.0,0
Yummy,13,PERSON,0.0,0
Jordan,12,PERSON,0.0,0
Knott,12,PERSON,0.0,0
Staff,12,PERSON,3.0,PERSON
LA,12,GPE,0.0,0
Alex,12,ORG,0.0,0
Ashley,12,ORG,3.0,PERSON
Nicole,12,PERSON,1.0,PERSON
Jeremy,12,PERSON,0.0,0
JD,12,GPE,4.0,ORG
BOGO,11,ORG,0.0,0
Torre,11,PERSON,0.0,0
Kristin,11,PERSON,0.0,0
Brenda,11,ORG,0.0,0
Bartender,10,PERSON,4.0,PERSON
Angelica,10,PERSON,0.0,0
Amber,10,PERSON,0.0,0
MAN,10,ORG,0.0,0
HUGE,9,ORG,0.0,0
GREAT,9,PERSON,0.0,0
Justin,9,ORG,0.0,0
Buffalo,9,GPE,1.0,ORG
North,9,GPE,0.0,0
Cory,9,ORG,0.0,0
Bill,9,GPE,0.0,0
Sam,9,PERSON,0.0,0
WOW,9,ORG,6.0,ORG
Kay,8,ORG,0.0,0
Super,8,PERSON,2.0,ORG
William,8,PERSON,0.0,0
Tennessee,8,GPE,1.0,GPE
Jennifer,8,PERSON,1.0,PERSON
Desiree,8,PERSON,0.0,0
Bridget,8,PERSON,0.0,0
Giovanni,8,PERSON,0.0,0
Bonnie,8,PERSON,0.0,0
Rudy,8,ORG,0.0,0
Spinach,8,PERSON,2.0,PERSON
Parmesan,8,PERSON,2.0,PERSON
Ultimate,8,ORG,4.0,ORG
New,8,GPE,0.0,0
San,7,PERSON,0.0,0
