entity,worst,da,best,da2
Red,19,ORG,33.0,ORG
Robin,9,PERSON,9.0,PERSON
NO,4,ORG,0.0,0
BBQ,3,ORG,1.0,ORG
Jerry,3,PERSON,0.0,0
Coke,2,ORG,0.0,0
Jen,2,PERSON,0.0,0
Yuengling,2,PERSON,0.0,0
Fairfield,2,GPE,1.0,GPE
Ummmm,1,PERSON,0.0,0
Tavern,1,ORG,0.0,0
Zach,1,PERSON,0.0,0
Wendy,1,ORG,0.0,0
Tsk,1,PERSON,0.0,0
Togo,1,GPE,0.0,0
Vegas,1,PERSON,0.0,0
Vacaville,1,GPE,0.0,0
Short,1,ORG,0.0,0
Sticky,1,PERSON,0.0,0
PERIOD,1,ORG,0.0,0
Angela,1,PERSON,0.0,0
Dick,1,PERSON,0.0,0
Danelle,1,GPE,0.0,0
Concord,1,GPE,0.0,0
California,1,GPE,0.0,0
Caesar,1,PERSON,0.0,0
Burger,1,PERSON,0.0,0
Braintree,1,ORG,0.0,0
Bartender,1,PERSON,0.0,0
Bacon,1,PERSON,0.0,0
BTW,1,ORG,0.0,0
America,1,GPE,0.0,0
FIRED,1,ORG,0.0,0
Food,1,ORG,3.0,PERSON
Seattle,1,GPE,0.0,0
Prime,1,ORG,0.0,0
Plainfield,1,GPE,0.0,0
Pennsylvania,1,GPE,0.0,0
Parmesan,1,ORG,1.0,GPE
OVER,1,ORG,0.0,0
OMG,1,ORG,0.0,0
Naperville,1,GPE,0.0,0
Miranda,1,PERSON,0.0,0
Mayfair,1,ORG,0.0,0
Freckled,1,PERSON,0.0,0
Matt,1,PERSON,0.0,0
MULTIPLE,1,ORG,0.0,0
Lol,1,PERSON,2.0,PERSON
Israel,1,GPE,0.0,0
Hendricks,1,PERSON,0.0,0
Harrisburg,1,GPE,0.0,0
Hailey,1,ORG,0.0,0
Fries,1,PERSON,7.0,ORG
