entity,best,da,worst,da2
Chili,885,ORG,306.0,ORG
Chilis,190,PERSON,90.0,GPE
Steak,81,PERSON,0.0,0
Best,57,PERSON,0.0,0
 ,46,GPE,28.0,PERSON
John,38,ORG,5.0,PERSON
Glad,36,ORG,0.0,0
Mark,36,GPE,0.0,0
Jenny,35,PERSON,0.0,0
Hubby,35,GPE,0.0,0
The,35,ORG,9.0,ORG
Mexi,31,PERSON,0.0,0
Karen,31,PERSON,0.0,0
Kahala,30,PERSON,0.0,0
Molten,30,PERSON,0.0,0
Great,29,PERSON,4.0,PERSON
FAST,29,GPE,0.0,0
Texas,29,GPE,4.0,GPE
Lauren,28,ORG,0.0,0
Honey,28,PERSON,0.0,0
Yelp,27,PERSON,17.0,PERSON
Bacon,27,PERSON,0.0,0
Lisa,26,ORG,0.0,0
Santa,25,PERSON,0.0,0
Friendly,23,PERSON,0.0,0
Margarita,23,PERSON,8.0,PERSON
James,23,PERSON,0.0,0
Josie,22,PERSON,0.0,0
our,22,ORG,0.0,0
Felicia,21,PERSON,0.0,0
Alex,20,PERSON,0.0,0
Andrew,20,PERSON,0.0,0
Kevin,19,PERSON,1.0,PERSON
Applebee,18,ORG,0.0,0
Alise,18,PERSON,0.0,0
Sarah,18,PERSON,0.0,0
Angelica,17,PERSON,1.0,ORG
Heather,17,PERSON,0.0,0
Fresh,17,GPE,0.0,0
LA,17,GPE,0.0,0
AMAZING,17,ORG,0.0,0
Courtney,16,PERSON,0.0,0
BEST,16,ORG,0.0,0
Food,16,PERSON,3.0,PERSON
Chicken,16,PERSON,3.0,PERSON
California,15,GPE,2.0,GPE
Mililani,15,GPE,1.0,GPE
GREAT,14,ORG,0.0,0
Michelle,14,PERSON,0.0,0
Jackie,14,PERSON,0.0,0
Tasty,14,PERSON,0.0,0
Laney,14,ORG,0.0,0
Black,13,PERSON,0.0,0
Margaritas,13,ORG,1.0,ORG
WOW,13,ORG,0.0,0
Justin,13,PERSON,0.0,0
VERY,13,PERSON,0.0,0
Brandy,12,PERSON,0.0,0
Amy,12,PERSON,0.0,0
Jordan,12,PERSON,0.0,0
Jennay,12,PERSON,0.0,0
Jason,12,ORG,0.0,0
Lol,12,PERSON,0.0,0
Dinner,12,GPE,0.0,0
Mike,11,ORG,0.0,0
Mother,11,ORG,1.0,PERSON
Kate,11,ORG,0.0,0
Nicole,11,PERSON,0.0,0
Presidente,11,PERSON,2.0,PERSON
Erika,11,ORG,0.0,0
Ashley,11,ORG,2.0,ORG
Southwestern,11,PERSON,0.0,0
Hot,11,ORG,0.0,0
Jeff,11,PERSON,0.0,0
Chipotle,10,ORG,0.0,0
Staff,10,PERSON,3.0,PERSON
Tara,10,ORG,0.0,0
Daniel,10,PERSON,0.0,0
Brian,10,PERSON,0.0,0
Britt,10,PERSON,0.0,0
Amber,10,PERSON,0.0,0
Buffalo,10,GPE,2.0,GPE
Mango,10,GPE,2.0,PERSON
BBQ,10,ORG,2.0,ORG
Ann,9,PERSON,0.0,0
Super,9,PERSON,2.0,PERSON
Paul,9,PERSON,0.0,0
Frank,9,PERSON,0.0,0
Hawaii,9,GPE,5.0,GPE
Chips,8,ORG,0.0,0
Anthony,8,ORG,0.0,0
Rhianna,8,GPE,0.0,0
Salmon,8,PERSON,0.0,0
Patrick,8,PERSON,7.0,PERSON
Chillies,8,GPE,0.0,0
Server,8,PERSON,2.0,PERSON
THIS,8,ORG,0.0,0
ONLY,8,GPE,5.0,ORG
Queso,8,ORG,2.0,GPE
Ranch,8,PERSON,0.0,0
Stephanie,8,PERSON,0.0,0
Caitlin,8,ORG,0.0,0
Tiffany,8,ORG,0.0,0
HUGE,8,ORG,0.0,0
Anyways,7,PERSON,0.0,0
Ok,7,GPE,7.0,GPE
Grub,7,PERSON,0.0,0
AWESOME,7,ORG,1.0,ORG
Jennifer,7,PERSON,0.0,0
Erica,7,PERSON,0.0,0
Betty,7,PERSON,0.0,0
GM,7,GPE,7.0,ORG
Chilies,7,ORG,0.0,0
Rachel,7,PERSON,2.0,PERSON
Burger,7,PERSON,0.0,0
Donyae,7,PERSON,0.0,0
Ziosk,6,GPE,0.0,0
Bartender,6,PERSON,1.0,PERSON
Emily,6,ORG,0.0,0
Triple,6,GPE,0.0,0
Thomas,6,ORG,0.0,0
Amanda,6,PERSON,0.0,0
Taylor,6,PERSON,0.0,0
Cheddar,6,PERSON,1.0,GPE
America,5,GPE,1.0,GPE
Andrea,5,PERSON,0.0,0
Chris,5,PERSON,0.0,0
DEFINITELY,5,ORG,0.0,0
Cameron,5,PERSON,0.0,0
Sweet,5,PERSON,0.0,0
Cassandra,5,PERSON,2.0,PERSON
Kristen,5,PERSON,0.0,0
Kelly,5,GPE,0.0,0
Katelyn,5,PERSON,0.0,0
Bobbi,5,PERSON,0.0,0
McDonald,5,PERSON,0.0,0
Shannon,5,PERSON,0.0,0
BTW,5,ORG,0.0,0
Christina,5,PERSON,0.0,0
Theresa,5,PERSON,0.0,0
Crispy,5,GPE,2.0,GPE
Hiram,5,PERSON,0.0,0
Ancho,5,PERSON,0.0,0
Ultimate,5,ORG,0.0,0
Nick,5,ORG,0.0,0
  ,5,PERSON,0.0,0
Evanston,5,GPE,0.0,0
REALLY,5,ORG,1.0,ORG
Dyllan,5,PERSON,0.0,0
Samantha,5,ORG,0.0,0
OMG,5,ORG,0.0,0
Birthday,4,ORG,0.0,0
Richard,4,PERSON,0.0,0
PERFECT,4,ORG,0.0,0
Bellingham,4,PERSON,0.0,0
