,date,open,high,low,close,volume
1008,2012-01-03,45.67,46.13,43.94,3.783033267238013,402336
1009,2012-01-04,43.99,44.68,43.23,3.8234154074969697,455202
1010,2012-01-05,44.14,45.52,43.48,3.8990245211733146,271429
1011,2012-01-06,45.42,46.18,44.98,3.943702633800245,199144
1012,2012-01-09,46.31,46.32,45.25,3.932533105643513,292980
1013,2012-01-10,46.93,47.05,46.06,4.011578997214237,248533
1014,2012-01-11,46.22,46.61,45.54,3.9342514945907023,191448
1015,2012-01-12,45.88,46.23,44.8,3.9058980769620733,452467
1016,2012-01-13,44.97,45.78,44.93,3.8981653266997194,275169
1017,2012-01-17,45.54,45.54,44.18,3.8182602406554005,371735
1018,2012-01-18,44.52,45.62,44.23,3.909334854856452,175228
1019,2012-01-19,45.45,45.5,44.7,3.8466136582840305,322935
1020,2012-01-20,44.77,45.74,44.69,3.917067605118806,206657
1021,2012-01-23,45.48,45.92,45.4,3.926518744328349,395277
1022,2012-01-24,45.45,46.04,44.85,3.9256595498547537,312922
1023,2012-01-25,45.48,47.8,45.28,4.082032944049012,555351
1024,2012-01-26,47.75,48.13,47.58,4.118119111939994,303662
1025,2012-01-27,47.55,49.0,47.55,4.202320170352287,274017
1026,2012-01-30,48.45,49.13,47.96,4.210052920614641,392938
1027,2012-01-31,49.34,50.1,48.71,4.298549951394908,506046
1028,2012-02-01,50.09,51.0,49.85,4.373299870597657,360953
1029,2012-02-02,50.83,51.85,50.82,4.452345762168381,381161
1030,2012-02-03,52.46,54.46,51.92,4.662848408199114,528014
1031,2012-02-06,53.82,54.11,52.68,4.543420376369433,692873
1032,2012-02-07,53.02,53.51,52.23,4.549434737684597,275950
1033,2012-02-08,52.95,53.42,52.93,4.586380100049174,410798
1034,2012-02-09,53.34,53.94,53.03,4.587239294522769,182069
1035,2012-02-10,53.0,53.16,52.64,4.545997959790217,471640
1036,2012-02-13,53.32,53.5,52.84,4.569196210577277,270843
1037,2012-02-14,53.11,53.67,52.76,4.599268017153096,280707
1038,2012-02-15,53.76,54.15,53.17,4.579506544260416,373649
1039,2012-02-16,53.25,54.0,53.2,4.621607073466562,446297
1040,2012-02-17,52.42,52.92,50.96,4.474684818481847,849103
1041,2012-02-21,52.2,53.22,51.56,4.461796901377925,487342
1042,2012-02-22,51.57,51.68,50.33,4.366426314808899,390862
1043,2012-02-23,51.0,51.18,50.58,4.362130342440925,292471
