,close,date
0,2.1413087526105046,2012-01-03
1,2.1245341949435965,2012-01-04
2,2.136203452451011,2012-01-05
3,2.145684724175785,2012-01-06
4,2.1391207668278645,2012-01-09
5,2.115052923218823,2012-01-10
6,2.123804866349383,2012-01-11
7,2.1486020385526383,2012-01-12
8,2.1143235946246093,2012-01-13
9,2.136203452451011,2012-01-17
10,2.17048189637904,2012-01-18
11,2.1755871965385336,2012-01-19
12,2.183609811074881,2012-01-20
13,2.1376621096394373,2012-01-23
14,2.12963949510309,2012-01-24
15,2.164647267625333,2012-01-25
16,2.167564582002187,2012-01-26
17,2.17048189637904,2012-01-27
18,2.1887151112343752,2012-01-30
19,2.157353981683199,2012-01-31
20,2.204031011712856,2012-02-01
21,2.204031011712856,2012-02-02
22,2.261647970655714,2012-02-03
23,2.230286841104538,2012-02-06
24,2.2375801270466718,2012-02-07
25,2.268211928003634,2012-02-08
26,2.2725878995689146,2012-02-09
27,2.2703999137862745,2012-02-10
28,2.278422528322622,2012-02-13
29,2.261647970655714,2012-02-14
30,2.269670585192061,2012-02-15
31,2.2937384288011025,2012-02-16
32,2.332392844294412,2012-02-17
33,2.3024903719316634,2012-02-21
34,2.1420380812047175,2012-02-22
35,2.150060695741065,2012-02-23
36,2.123804866349383,2012-02-24
37,2.1186995661898895,2012-02-27
38,2.1653765962195464,2012-02-28
39,2.1617299532484795,2012-02-29
40,2.1755871965385336,2012-03-01
41,2.1420380812047175,2012-03-02
42,2.1755871965385336,2012-03-05
43,2.1551659959005587,2012-03-06
44,2.222264226568191,2012-03-07
45,2.242685427206166,2012-03-08
46,2.2390387842350985,2012-03-09
47,2.2266401981334707,2012-03-12
48,2.259459984873073,2012-03-13
49,2.238309455640885,2012-03-14
50,2.2813398426994755,2012-03-15
51,2.2747758853515543,2012-03-16
52,2.2813398426994755,2012-03-19
53,2.266753270815207,2012-03-20
54,2.2295575125103246,2012-03-21
55,2.2011136973360026,2012-03-22
56,2.1763165251327474,2012-03-23
57,2.2164295978144835,2012-03-26
58,2.181421825292241,2012-03-27
59,2.17048189637904,2012-03-28
60,2.1537073387121324,2012-03-29
61,2.1434967383931447,2012-03-30
62,2.169752567784827,2012-04-02
63,2.1617299532484795,2012-04-03
64,2.147143381364212,2012-04-04
65,2.1208875519725296,2012-04-05
66,2.132556809479944,2012-04-09
67,2.1004663513345547,2012-04-10
68,2.1617299532484795,2012-04-11
69,2.1726698821616806,2012-04-12
70,2.158812638871626,2012-04-13
71,2.1478727099584254,2012-04-16
72,2.147143381364212,2012-04-17
73,2.1493313671468517,2012-04-18
74,2.138391438233651,2012-04-19
75,2.1639179390311196,2012-04-20
76,2.2076776546839225,2012-04-23
77,2.2186175835971236,2012-04-24
78,2.2623772992499274,2012-04-25
79,2.314159629439078,2012-04-26
80,2.322911572569638,2012-04-27
81,2.2973850717721693,2012-04-30
82,2.3739645741645745,2012-05-01
83,2.364483302439801,2012-05-02
84,2.350626059149746,2012-05-03
85,2.3345808300770527,2012-05-04
86,2.3418741160191865,2012-05-07
87,2.330204858511772,2012-05-08
88,2.3353101586712657,2012-05-09
89,2.3637539738455877,2012-05-10
90,2.364483302439801,2012-05-11
91,2.318535601004358,2012-05-14
92,2.309783657873797,2012-05-15
93,2.31270097225065,2012-05-16
94,2.261647970655714,2012-05-17
95,2.2463320701772322,2012-05-18
96,2.2747758853515543,2012-05-21
97,2.282798499887902,2012-05-22
98,2.331663515700199,2012-05-23
99,2.3630246452513743,2012-05-24
100,2.358648673686094,2012-05-25
101,2.4053257037157505,2012-05-29
102,2.366671288222441,2012-05-30
103,2.3659419596282283,2012-05-31
104,2.2864451428589687,2012-06-01
105,2.2091363118723497,2012-06-04
106,2.2193469121913365,2012-06-05
107,2.2733172281631275,2012-06-06
108,2.2609186420615,2012-06-07
109,2.2966557431779564,2012-06-08
110,2.2550840133077927,2012-06-11
111,2.2725878995689146,2012-06-12
112,2.238309455640885,2012-06-13
113,2.282798499887902,2012-06-14
