PERMNO,date,NCUSIP,TICKER,COMNAM,PRC,SHROUT
12458,20070131,78375P10,RYI,RYERSON INC,31.37,26256
12458,20070228,78375P10,RYI,RYERSON INC,34.36,26256
12458,20070330,78375P10,RYI,RYERSON INC,39.62,26475
12458,20070430,78375P10,RYI,RYERSON INC,41.14,26475
12458,20070531,78375P10,RYI,RYERSON INC,37.93,26516
12458,20070629,78375P10,RYI,RYERSON INC,37.65,26516
12458,20070731,78375P10,RYI,RYERSON INC,32.09,26670
12458,20070831,78375P10,RYI,RYERSON INC,33.34,26670
12458,20070928,78375P10,RYI,RYERSON INC,33.74,26675
12458,20071031,78375P10,RYI,RYERSON INC,,26675
13520,20120629,,,,,
13520,20120731,17160410,CHUY,CHUYS HOLDINGS INC,17.69,15918
13520,20120831,17160410,CHUY,CHUYS HOLDINGS INC,20.62,15918
13520,20120928,17160410,CHUY,CHUYS HOLDINGS INC,24.52,15918
13520,20121031,17160410,CHUY,CHUYS HOLDINGS INC,24.43,15918
13520,20121130,17160410,CHUY,CHUYS HOLDINGS INC,23.55,15918
13520,20121231,17160410,CHUY,CHUYS HOLDINGS INC,22.34,15918
13520,20130131,17160410,CHUY,CHUYS HOLDINGS INC,28.38,15918
13520,20130228,17160410,CHUY,CHUYS HOLDINGS INC,28.51,15918
13520,20130328,17160410,CHUY,CHUYS HOLDINGS INC,32.58,16229
13520,20130430,17160410,CHUY,CHUYS HOLDINGS INC,32.7,16229
13520,20130531,17160410,CHUY,CHUYS HOLDINGS INC,34.85,16313
13520,20130628,17160410,CHUY,CHUYS HOLDINGS INC,38.34,16313
13520,20130731,17160410,CHUY,CHUYS HOLDINGS INC,35.29,16314
13520,20130830,17160410,CHUY,CHUYS HOLDINGS INC,35.95,16314
13520,20130930,17160410,CHUY,CHUYS HOLDINGS INC,35.89,16380
13520,20131031,17160410,CHUY,CHUYS HOLDINGS INC,37.6,16381
13520,20131129,17160410,CHUY,CHUYS HOLDINGS INC,34.84,16381
13520,20131231,17160410,CHUY,CHUYS HOLDINGS INC,36.02,16436
13520,20140131,17160410,CHUY,CHUYS HOLDINGS INC,36.12,16436
13520,20140228,17160410,CHUY,CHUYS HOLDINGS INC,39.81,16387
13520,20140331,17160410,CHUY,CHUYS HOLDINGS INC,43.14,16436
13520,20140430,17160410,CHUY,CHUYS HOLDINGS INC,35.95,16436
13520,20140530,17160410,CHUY,CHUYS HOLDINGS INC,32.67,16436
13520,20140630,17160410,CHUY,CHUYS HOLDINGS INC,36.3,16436
13520,20140731,17160410,CHUY,CHUYS HOLDINGS INC,28.65,16436
13520,20140829,17160410,CHUY,CHUYS HOLDINGS INC,26.3,16436
13520,20140930,17160410,CHUY,CHUYS HOLDINGS INC,31.39,16441
13520,20141031,17160410,CHUY,CHUYS HOLDINGS INC,29.91,16441
13520,20141128,17160410,CHUY,CHUYS HOLDINGS INC,21.41,16441
13520,20141231,17160410,CHUY,CHUYS HOLDINGS INC,19.67,16467
13520,20150130,17160410,CHUY,CHUYS HOLDINGS INC,21.37,16467
13520,20150227,17160410,CHUY,CHUYS HOLDINGS INC,22.47,16441
13520,20150331,17160410,CHUY,CHUYS HOLDINGS INC,22.53,16467
13520,20150430,17160410,CHUY,CHUYS HOLDINGS INC,22.62,16467
13520,20150529,17160410,CHUY,CHUYS HOLDINGS INC,25.99,16467
13520,20150630,17160410,CHUY,CHUYS HOLDINGS INC,26.79,16474
13520,20150731,17160410,CHUY,CHUYS HOLDINGS INC,28.41,16474
13520,20150831,17160410,CHUY,CHUYS HOLDINGS INC,30.64,16474
13520,20150930,17160410,CHUY,CHUYS HOLDINGS INC,28.4,16478
13520,20151030,17160410,CHUY,CHUYS HOLDINGS INC,27.21,16478
13520,20151130,17160410,CHUY,CHUYS HOLDINGS INC,33.25,16478
13520,20151231,17160410,CHUY,CHUYS HOLDINGS INC,31.34,16540
13520,20160129,17160410,CHUY,CHUYS HOLDINGS INC,34.19,16540
13520,20160229,17160410,CHUY,CHUYS HOLDINGS INC,32.04,16493
13520,20160331,17160410,CHUY,CHUYS HOLDINGS INC,31.07,16539
13520,20160429,17160410,CHUY,CHUYS HOLDINGS INC,30.54,16540
13520,20160531,17160410,CHUY,CHUYS HOLDINGS INC,32.95,16585
13520,20160630,17160410,CHUY,CHUYS HOLDINGS INC,34.61,16760
13520,20160729,17160410,CHUY,CHUYS HOLDINGS INC,33.72,16795
13520,20160831,17160410,CHUY,CHUYS HOLDINGS INC,30.28,16795
13520,20160930,17160410,CHUY,CHUYS HOLDINGS INC,27.94,16820
13520,20161031,17160410,CHUY,CHUYS HOLDINGS INC,28.4,16822
13520,20161130,17160410,CHUY,CHUYS HOLDINGS INC,31.35,16822
13520,20161230,17160410,CHUY,CHUYS HOLDINGS INC,32.45,16839
13520,20170131,17160410,CHUY,CHUYS HOLDINGS INC,29.4,16839
13520,20170228,17160410,CHUY,CHUYS HOLDINGS INC,28.5,16845
13520,20170331,17160410,CHUY,CHUYS HOLDINGS INC,29.8,16895
13520,20170428,17160410,CHUY,CHUYS HOLDINGS INC,29.8,16895
13520,20170531,17160410,CHUY,CHUYS HOLDINGS INC,26.9,16904
13520,20170630,17160410,CHUY,CHUYS HOLDINGS INC,23.4,16904
13520,20170731,17160410,CHUY,CHUYS HOLDINGS INC,23.55,16906
13520,20170831,17160410,CHUY,CHUYS HOLDINGS INC,18.8,16906
13520,20170929,17160410,CHUY,CHUYS HOLDINGS INC,21.05,16907
13520,20171031,17160410,CHUY,CHUYS HOLDINGS INC,22.5,16914
13520,20171130,17160410,CHUY,CHUYS HOLDINGS INC,24.9,16914
13520,20171229,17160410,CHUY,CHUYS HOLDINGS INC,28.05,16914
13959,20130628,65540B10,NDLS,NOODLES & CO,36.75,22303
13959,20130731,65540B10,NDLS,NOODLES & CO,43.37,23107
13959,20130830,65540B10,NDLS,NOODLES & CO,45.66,23107
13959,20130930,65540B10,NDLS,NOODLES & CO,42.86,23107
13959,20131031,65540B10,NDLS,NOODLES & CO,43.79,23182
13959,20131129,65540B10,NDLS,NOODLES & CO,40.63,23182
13959,20131231,65540B10,NDLS,NOODLES & CO,35.92,29545
13959,20140131,65540B10,NDLS,NOODLES & CO,36.35,29545
13959,20140228,65540B10,NDLS,NOODLES & CO,39.81,29574
13959,20140331,65540B10,NDLS,NOODLES & CO,39.47,28185
13959,20140430,65540B10,NDLS,NOODLES & CO,32.79,28167
13959,20140530,65540B10,NDLS,NOODLES & CO,33.25,28167
13959,20140630,65540B10,NDLS,NOODLES & CO,34.39,28167
13959,20140731,65540B10,NDLS,NOODLES & CO,28.1,29742
13959,20140829,65540B10,NDLS,NOODLES & CO,19.57,28229
13959,20140930,65540B10,NDLS,NOODLES & CO,19.19,29718
13959,20141031,65540B10,NDLS,NOODLES & CO,22.83,28267
13959,20141128,65540B10,NDLS,NOODLES & CO,24.48,28267
13959,20141231,65540B10,NDLS,NOODLES & CO,26.35,29820
13959,20150130,65540B10,NDLS,NOODLES & CO,25.7,29820
13959,20150227,65540B10,NDLS,NOODLES & CO,18.23,29827
13959,20150331,65540B10,NDLS,NOODLES & CO,17.44,29994
13959,20150430,65540B10,NDLS,NOODLES & CO,20.02,29994
13959,20150529,65540B10,NDLS,NOODLES & CO,14.52,28472
13959,20150630,65540B10,NDLS,NOODLES & CO,14.6,26848
13959,20150731,65540B10,NDLS,NOODLES & CO,15.48,26848
