,business_id,ticker,y_pred_proba
1494,tgi-fridays-cardiff-3,TGIF,0.8339040631848529
1913,red-robin-gourmet-burgers-baltimore,RRGB,0.822556342037076
975,california-pizza-kitchen-virginia-beach,CPKI,0.8187625766041546
1980,red-robin-gourmet-burgers-arcadia,RRGB,0.817888222846569
2057,red-robin-gourmet-burgers-tustin,RRGB,0.8154235191875543
1155,california-pizza-kitchen-sarasota-2,CPKI,0.8144651855755765
2032,red-robin-gourmet-burgers-friendswood-2,RRGB,0.8092469232971351
1243,tgi-fridays-toronto,TGIF,0.8086558483695994
1942,red-robin-gourmet-burgers-woburn,RRGB,0.8029721421746887
1819,red-robin-gourmet-burgers-bloomington-2,RRGB,0.8029304122564427
1809,red-robin-gourmet-burgers-vestal,RRGB,0.8027366650465142
1758,red-robin-gourmet-burgers-stockton,RRGB,0.7922250588377151
614,chilis-too-atlanta,CHIL,0.7884771672576819
1703,the-cheesecake-factory-salt-lake-city-2,CAKE,0.7868471869638272
1987,red-robin-gourmet-burgers-baton-rouge,RRGB,0.7780800157637302
1764,red-robin-gourmet-burgers-wichita-falls,RRGB,0.7735822882335359
1746,red-robin-gourmet-burgers-champaign,RRGB,0.7733993680285678
1801,red-robin-gourmet-burgers-plantation,RRGB,0.7715555605604586
1298,tgi-fridays-london-9,TGIF,0.7692446084596661
2279,bjs-restaurant-and-brewhouse-jacksonville,BJRI,0.7686898548731792
1548,the-cheesecake-factory-stamford-2,CAKE,0.7664186728903688
822,chilis-joplin,CHIL,0.7624149297908411
1821,red-robin-gourmet-burgers-thousand-oaks,RRGB,0.7620039064624656
1227,tgi-fridays-manchester-3,TGIF,0.7556563998879195
1515,the-cheesecake-factory-jersey-city,CAKE,0.7553105297679148
1201,tgi-fridays-stockholm,TGIF,0.7552719270721752
989,california-pizza-kitchen-los-angeles-22,CPKI,0.7543135104151204
839,chilis-singapore-3,CHIL,0.750501698895603
2132,bjs-restaurant-and-brewhouse-charlottesville,BJRI,0.7475252697936712
770,chilis-jamaica,CHIL,0.7472522913262831
1878,red-robin-gourmet-burgers-skokie-2,RRGB,0.746472431394213
2005,red-robin-gourmet-burgers-bronx,RRGB,0.7459008176420665
2071,red-robin-gourmet-burgers-buford,RRGB,0.7437380547815298
1427,tgi-fridays-asheville,TGIF,0.742984808230416
544,chilis-webster-5,CHIL,0.7423102226309651
1748,red-robin-gourmet-burgers-albuquerque-4,RRGB,0.7389936896882935
1329,tgi-fridays-glasgow-2,TGIF,0.7369392855496182
1546,the-cheesecake-factory-bay-shore,CAKE,0.7364940747014292
1949,red-robin-gourmet-burgers-garner,RRGB,0.7360728727346719
1652,the-cheesecake-factory-san-mateo,CAKE,0.7349001083291419
922,chilis-bedford,CHIL,0.734519462107036
1215,tgi-fridays-london-13,TGIF,0.7340602791670859
1661,the-cheesecake-factory-short-hills,CAKE,0.7332469244129995
1387,tgi-fridays-baltimore-2,TGIF,0.7326651067342744
594,chilis-brandon,CHIL,0.7322589733791417
1781,red-robin-gourmet-burgers-orlando-3,RRGB,0.7308191600532431
1705,the-cheesecake-factory-littleton-2,CAKE,0.7302105067572398
1501,tgi-fridays-bridgeport,TGIF,0.7296993143699306
1177,tgi-fridays-atlanta-10,TGIF,0.7272811506267236
1883,red-robin-gourmet-burgers-bellmore-2,RRGB,0.726454045920393
2214,bjs-restaurant-and-brewhouse-winston-salem,BJRI,0.725726886300635
1067,california-pizza-kitchen-mandaluyong,CPKI,0.7240380097031764
1999,red-robin-gourmet-burgers-killeen,RRGB,0.7217241575425108
1403,tgi-fridays-sevilla-14,TGIF,0.7205706160412129
1464,tgi-fridays-louisville,TGIF,0.7203375143385846
2233,bjs-restaurant-and-brewhouse-city-of-industry,BJRI,0.7197412021911553
528,chilis-frederick,CHIL,0.7173567603891542
1817,red-robin-gourmet-burgers-tarentum,RRGB,0.7126734850417973
617,chilis-san-juan-4,CHIL,0.7117218178003324
2014,red-robin-gourmet-burgers-tallahassee,RRGB,0.7112286428546097
1768,red-robin-gourmet-burgers-brandon,RRGB,0.7105535718500072
665,chilis-palestine,CHIL,0.7100890264197144
1006,california-pizza-kitchen-santa-clara-4,CPKI,0.7095092250809719
151,applebees-neighborhood-grill-and-bar-indio-2,APPB,0.7040199580675531
1775,red-robin-gourmet-burgers-carle-place,RRGB,0.703844754393849
622,chilis-lynchburg,CHIL,0.7031193193267674
1847,red-robin-gourmet-burgers-winter-garden,RRGB,0.7030669618738952
1125,california-pizza-kitchen-los-angeles-12,CPKI,0.7020283867010404
2179,bjs-restaurant-and-brewhouse-pasadena,BJRI,0.7015139764973667
1421,tgi-fridays-tampa-12,TGIF,0.7004056111626812
999,california-pizza-kitchen-lynnfield,CPKI,0.7000160535382871
965,california-pizza-kitchen-baton-rouge,CPKI,0.6998298819956598
1728,red-robin-gourmet-burgers-lafayette,RRGB,0.6985373654289959
1653,the-cheesecake-factory-lawrenceville,CAKE,0.6969061873187385
1740,red-robin-gourmet-burgers-braintree,RRGB,0.696847462051257
1583,the-cheesecake-factory-miami-2,CAKE,0.6953482949137706
2133,bjs-restaurant-and-brewhouse-noblesville-2,BJRI,0.6947587950850704
1873,red-robin-gourmet-burgers-spring,RRGB,0.6942425806378458
1806,red-robin-gourmet-burgers-lancaster,RRGB,0.6934894832420364
680,chilis-singapore,CHIL,0.6933834845357909
1827,red-robin-gourmet-burgers-greece,RRGB,0.691553553244018
1552,the-cheesecake-factory-san-diego-3,CAKE,0.6915248737870692
1944,red-robin-gourmet-burgers-miami,RRGB,0.6893161454002092
1611,the-cheesecake-factory-reno-6,CAKE,0.6892620468358599
1405,tgi-fridays-watford,TGIF,0.6892123283675361
1139,california-pizza-kitchen-las-vegas-10,CPKI,0.6888792969320026
540,chilis-collierville,CHIL,0.6876190431892969
1762,red-robin-gourmet-burgers-naples,RRGB,0.687431694943912
508,chilis-pflugerville,CHIL,0.6857896519420557
1866,red-robin-gourmet-burgers-clearwater,RRGB,0.6850075678192777
1205,tgi-fridays-oaklands-park,TGIF,0.6844892407726595
1009,california-pizza-kitchen-irvine-5,CPKI,0.6840561189984594
1662,the-cheesecake-factory-sarasota,CAKE,0.683920337342172
1871,red-robin-gourmet-burgers-pickerington,RRGB,0.682758046285219
1928,red-robin-gourmet-burgers-brick,RRGB,0.6826133739941648
1649,the-cheesecake-factory-las-vegas-10,CAKE,0.6819136726963511
1117,california-pizza-kitchen-mililani-3,CPKI,0.6819108736975692
892,chilis-lewisville-4,CHIL,0.6813519273656625
1569,the-cheesecake-factory-philadelphia,CAKE,0.6809575169852684
1903,red-robin-gourmet-burgers-davenport-2,RRGB,0.6807710622657484
298,applebees-neighborhood-grill-and-bar-ebensburg-2,APPB,0.6799818138522997
1587,the-cheesecake-factory-tacoma,CAKE,0.6794405136694082
2017,red-robin-gourmet-burgers-foxborough-2,RRGB,0.6788323698036596
1773,red-robin-gourmet-burgers-queen-creek,RRGB,0.6788042238260825
1062,california-pizza-kitchen-northbrook,CPKI,0.6776994279761565
1237,tgi-fridays-gainesville-2,TGIF,0.6755452089458225
1279,tgi-fridays-westbury,TGIF,0.675122118472988
1048,california-pizza-kitchen-kapolei,CPKI,0.6735556477418019
1413,tgi-fridays-paducah,TGIF,0.6682418219670423
677,chilis-dekalb,CHIL,0.6666540374650285
2061,red-robin-gourmet-burgers-brighton-3,RRGB,0.6663954572173201
1992,red-robin-gourmet-burgers-watertown-2,RRGB,0.6656197866003581
2084,red-robin-gourmet-burgers-sanford,RRGB,0.6651831784134052
118,applebees-neighborhood-grill-and-bar-aiea,APPB,0.6651621885042401
1602,the-cheesecake-factory-san-juan,CAKE,0.6641529745532964
1564,the-cheesecake-factory-greensboro,CAKE,0.6636915695302709
1436,tgi-fridays-valley-stream,TGIF,0.6636277596282023
1654,the-cheesecake-factory-durham,CAKE,0.6630796706985991
1055,california-pizza-kitchen-san-antonio-2,CPKI,0.6623802261546665
285,applebees-neighborhood-grill-and-bar-port-charlotte-3,APPB,0.6618462167753869
2264,bjs-restaurant-and-brewhouse-san-diego-3,BJRI,0.6610606001087801
1626,the-cheesecake-factory-hanover-3,CAKE,0.6598977202578857
958,california-pizza-kitchen-los-angeles-19,CPKI,0.6594495891042833
2116,bjs-restaurant-and-brewhouse-vienna-2,BJRI,0.6591531038287656
1129,california-pizza-kitchen-los-angeles-16,CPKI,0.658636809831437
1392,tgi-fridays-uk-croydon,TGIF,0.6582331093381792
1157,california-pizza-kitchen-walnut-creek-4,CPKI,0.6577623845740143
1134,california-pizza-kitchen-escondido-2,CPKI,0.6564916063449573
1098,california-pizza-kitchen-singapore,CPKI,0.6564840571933848
994,california-pizza-kitchen-cherry-hill-2,CPKI,0.6546227476077868
2251,bjs-restaurant-and-brewhouse-culver-city-2,BJRI,0.6545515542520275
1931,red-robin-gourmet-burgers-sioux-falls,RRGB,0.6535326578835993
2060,red-robin-gourmet-burgers-woodburn,RRGB,0.6532899771781479
1899,red-robin-gourmet-burgers-monroeville,RRGB,0.6522260446973065
1800,red-robin-gourmet-burgers-vacaville-3,RRGB,0.6514805245800215
1249,tgi-fridays-belfast,TGIF,0.6502252380858067
1087,california-pizza-kitchen-clinton-township-2,CPKI,0.649850049504589
2182,bjs-restaurant-and-brewhouse-bloomington-2,BJRI,0.6495776417675581
1223,tgi-fridays-miami-8,TGIF,0.6491217655873092
1320,tgi-fridays-rosemead,TGIF,0.6481858286733506
1597,the-cheesecake-factory-carlsbad,CAKE,0.6470481954943396
2240,bjs-restaurant-and-brewhouse-lexington-2,BJRI,0.6470290639458585
1636,the-cheesecake-factory-syracuse,CAKE,0.6449139935141426
1776,red-robin-gourmet-burgers-escondido,RRGB,0.6440049326342279
2235,bjs-restaurant-and-brewhouse-fredericksburg,BJRI,0.6385810764030153
1040,california-pizza-kitchen-miami,CPKI,0.6379479443836598
1269,tgi-fridays-saginaw-2,TGIF,0.6373937825395819
1287,tgi-fridays-cerritos,TGIF,0.6370151002311981
1047,california-pizza-kitchen-farmington-2,CPKI,0.636979219573292
428,applebees-neighborhood-grill-and-bar-flushing-2,APPB,0.6366000266880578
2027,red-robin-gourmet-burgers-oxnard,RRGB,0.6358899776525666
1891,red-robin-gourmet-burgers-nashua-2,RRGB,0.6358127286423755
1171,tgi-fridays-atlanta-11,TGIF,0.6346944914135018
1578,the-cheesecake-factory-lexington-2,CAKE,0.6340713997255193
1245,tgi-fridays-swords,TGIF,0.6317618453610292
