,Service Sentiment,Food Sentiment,Experience Sentiment,Process Sentiment,Food Rating,Price,Overall Sentiment,Quality/Price,final,Category Rank,MV,MV Norm,Internet Presence,posts_num,num_reactions,num_comments,num_shares,Post Quality,Social Media Reach,Quality Reach
APPB,0.7107443580614858,0.6957749408334518,0.7111035555544186,0.6882098566981409,4.38,11.61,70.2114620051188,0.3772609819121447,4.94618572160969,29,2089890.07,1.4479799695875868,4.99303437788823,203,93055,21451,23416,0.4821557143624738,199708.29336545913,96290.49485173343
BJRI,0.8654600426673646,0.8856635749462963,0.9020457389754318,0.8681941713788746,4.22,14.07,88.2517195823431,0.2999289267945984,6.895666017210008,231,751041.2,4.02923163203297,1.7442561177631903,68,18864,2965,1556,0.23966284987277353,94223.581715091,22581.892119058863
CAKE,0.8610381259238161,0.8635768675963664,0.8789825837720502,0.8906963013930579,3.89,16.59,87.08429013252747,0.23447860156720918,6.137053396302894,88,3026118.96,1.0,1.1363636363636365,170,212734,36829,31020,0.31893820451831867,280583.0,89488.6382383634
CHIL,0.7388792204994711,0.7509698687923514,0.7479734961383978,0.7325872692531217,4.51,11.32,74.46755334964126,0.3984098939929328,5.062076320401288,58,2239873.9,1.351022019587799,2.3293483096341365,207,59557,5637,10482,0.270648286515439,102239.94235432628,27671.065211635665
CPKI,0.9240378443397486,0.901882815229065,0.9168439800603111,0.9083426176879468,4.44,16.41,91.18673626062903,0.27056672760511885,6.291955172993876,465,608095.5533333333,4.976387252648111,1.070190807021099,111,6551,3495,1237,0.7223324683254465,56148.57737162864,40557.94048581083
RRGB,0.8208909410977898,0.8289929775914857,0.8219222043470757,0.8037419131581274,4.09,9.43,82.16052354950008,0.4337221633085896,5.170896756645896,126,1475835.27,2.050444938885354,1.6273372530836143,157,28464,6951,3011,0.3499859471613266,78790.39722160861,27575.531798821845
TGIF,0.6600774887085598,0.6525237657464423,0.6356895082631081,0.6413333664959635,4.29,13.11,64.8396413014388,0.32723112128146453,4.903140247850355,170,2211414.26,1.3684089022741492,0.8049464131024407,151,16386,3879,4144,0.48962528988160625,33401.49289560971,16354.215641491315
