,business_id,ticker,y_pred_proba
1111,california-pizza-kitchen-charlotte-2,CPKI,0.14318354395516808
970,california-pizza-kitchen-san-diego-5,CPKI,0.14015613817060646
1040,california-pizza-kitchen-miami,CPKI,0.1306139786086642
952,chilis-edmonton-3,CHIL,0.12927012185469677
2131,red-robin-gourmet-burgers-woburn,RRGB,0.1190430704745159
2006,red-robin-gourmet-burgers-tarentum,RRGB,0.11850016806483765
765,chilis-owasso,CHIL,0.11692563620261942
1998,red-robin-gourmet-burgers-vestal,RRGB,0.11617737689022845
2008,red-robin-gourmet-burgers-bloomington-2,RRGB,0.11543212481708665
2088,red-robin-gourmet-burgers-monroeville,RRGB,0.11471130014527764
2153,red-robin-gourmet-burgers-normal,RRGB,0.11454067802162782
1953,red-robin-gourmet-burgers-wichita-falls,RRGB,0.11287687594830653
2102,red-robin-gourmet-burgers-baltimore,RRGB,0.11185378800365675
1951,red-robin-gourmet-burgers-naples,RRGB,0.11038747081240408
362,applebees-neighborhood-grill-and-bar-gillette-3,APPB,0.11006947436272918
1494,tgi-fridays-cardiff-3,TGIF,0.10947261826394483
1125,california-pizza-kitchen-los-angeles-12,CPKI,0.10793807066510197
1403,tgi-fridays-sevilla-14,TGIF,0.10743421473699111
1473,tgi-fridays-uk-swansea,TGIF,0.10631566556305927
1215,tgi-fridays-london-13,TGIF,0.10541074763028357
1165,tgi-fridays-dublin-3,TGIF,0.10538855886591547
2203,red-robin-gourmet-burgers-tallahassee,RRGB,0.10443051940433234
1983,red-robin-gourmet-burgers-vernon,RRGB,0.10394465821540289
745,chilis-greensburg-3,CHIL,0.10248172897975327
1067,california-pizza-kitchen-mandaluyong,CPKI,0.10223466578197093
1298,tgi-fridays-london-9,TGIF,0.10211485349176186
1249,tgi-fridays-belfast,TGIF,0.10181411248484917
2129,red-robin-gourmet-burgers-burnaby,RRGB,0.1007944959142274
1935,red-robin-gourmet-burgers-champaign,RRGB,0.10071863352703547
1269,tgi-fridays-saginaw-2,TGIF,0.09814821963903486
2173,red-robin-gourmet-burgers-owasso,RRGB,0.09771302633294332
975,california-pizza-kitchen-virginia-beach,CPKI,0.09737484510448724
1987,red-robin-gourmet-burgers-springfield,RRGB,0.09723144053540522
1554,bjs-restaurant-and-brewhouse-boulder-2,BJRI,0.0961283632405383
2226,red-robin-gourmet-burgers-brookfield,RRGB,0.09585229656184358
1364,tgi-fridays-leeds,TGIF,0.09552446100385903
835,chilis-beavercreek,CHIL,0.09542461053032636
2163,red-robin-gourmet-burgers-dublin,RRGB,0.0952941240701839
2176,red-robin-gourmet-burgers-baton-rouge,RRGB,0.09506984369733706
1916,red-robin-gourmet-burgers-wareham,RRGB,0.09504256757324725
588,chilis-glastonbury,CHIL,0.09471630920493435
285,applebees-neighborhood-grill-and-bar-port-charlotte-3,APPB,0.09450977002216954
2120,red-robin-gourmet-burgers-sioux-falls,RRGB,0.09448893427896321
1329,tgi-fridays-glasgow-2,TGIF,0.09405053369100413
1392,tgi-fridays-uk-croydon,TGIF,0.09382085952344554
839,chilis-singapore-3,CHIL,0.09379029547168938
1581,bjs-restaurant-and-brewhouse-columbus-2,BJRI,0.09367126229676659
1358,tgi-fridays-uk-aberdeen,TGIF,0.09316323987571307
2071,red-robin-gourmet-burgers-kelowna,RRGB,0.09301821673299604
2062,red-robin-gourmet-burgers-spring,RRGB,0.09296368046511061
1227,tgi-fridays-manchester-3,TGIF,0.09238237152283713
1121,california-pizza-kitchen-oakland,CPKI,0.09161385473422934
2146,red-robin-gourmet-burgers-glasgow,RRGB,0.09056108975576171
1703,bjs-restaurant-and-brewhouse-north-little-rock-2,BJRI,0.09050316071187126
2259,red-robin-gourmet-burgers-edwardsville,RRGB,0.09019850449803446
1995,red-robin-gourmet-burgers-lancaster,RRGB,0.09006153812981277
2221,red-robin-gourmet-burgers-friendswood-2,RRGB,0.08993898353074825
2032,red-robin-gourmet-burgers-burlington,RRGB,0.0898769222301965
2016,red-robin-gourmet-burgers-greece,RRGB,0.08980309680657406
1626,bjs-restaurant-and-brewhouse-winston-salem,BJRI,0.08975559139190392
591,chilis-jacksonville-18,CHIL,0.08923874394990705
1243,tgi-fridays-toronto,TGIF,0.08912636674645269
578,chilis-topeka,CHIL,0.08897900907168677
