Rating,Number Of Ratings,Address
4.5/5,407 ratings,"10460 Park Meadows Dr, Lone Tree, CO 80124, USA"
Combine Any Three Fajitas,$17.39,Full-On Fajitas (Steak & Chicken),"Grilled chicken, grilled steak, shrimp."
Chicken Enchiladas,$9.79,Fresh Mex,"Three enchiladas topped with melted cheese, sour cream sauce, corn & black bean salsa, cilantro. Served with Mexican rice & black beans."
Ranchero Chicken Tacos,$9.79,Fresh Mex,"Three tacos in flour tortillas with pico, avocado, jack cheese, jalapeño aioli, cilantro, queso fresco. Served with Mexican rice & black beans."
Chipotle Chicken Fresh Mex Bowl,$9.89,Fresh Mex,"Grilled chicken, pico, field greens, Mexican rice, corn & black bean salsa, avocado, shredded cheese, tortilla strips, cilantro, chipotle pesto, house-made ranch."
Bacon Ranch Quesadillas,$10.29,Fresh Mex,"Chicken or steak, shredded cheese, chile spices, bacon, house-made ranch. Served with pico, sour cream, ancho-chile ranch."
Ancho Salmon,$14.99,Guiltless Grill®,"590 cal. Seared chile-rubbed Atlantic salmon, spicy citrus-chile sauce, cilantro, queso fresco. Served with Mexican rice & steamed broccoli."
Grilled Chicken Salad,$9.59,Guiltless Grill®,"430 cal. Tomatoes, corn & black bean salsa, shredded cheese with honey-lime vinaigrette."
Margarita Grilled Chicken,$11.69,Guiltless Grill®,"600 cal. Pico, tortilla strips, Mexican rice, black beans. It only tastes like a guilty pleasure."
6 oz. Classic Sirloin with Grilled Avocado,$12.29,Guiltless Grill®,"420 cal. Seasoned & topped with spicy citrus-chile sauce, grilled avocado slices, garlic roasted tomatoes, cilantro. Served with fresco salad."
Mango-Chile Chicken,$10.49,Guiltless Grill®,"460 cal. Chile spices, mango glaze & topped with chopped mango, cilantro, pico, avocado. Served with Mexican rice, steamed broccoli."
Crispy Fiery Pepper,$10.49,Hand-Battered Crispers®,Served with house-made ranch.
Crispy Honey-Chipotle,$10.49,Hand-Battered Crispers®,Served with house-made ranch.
Crispy Buffalo Bleu,$10.99,Hand-Battered Crispers®,Served with bleu cheese.
Crispy,$10.49,Hand-Battered Crispers®,"Crispy served with choice of honey-mustard, BBQ sauce or house-made ranch."
Original,$10.49,Hand-Battered Crispers®,Original these crispers beat fish & chips at their own game. Served with honey mustard.
Honey-Chipotle Crispers & Waffles,$11.49,Hand-Battered Crispers®,"Crispers on top of belgian waffles. Topped with bacon, jalapeños, ancho chile ranch. Served with fries & honey-chipotle sauce."
Cajun Pasta,$12.49,Hand-Battered Crispers®,"Penne in alfredo sauce, topped with chile spices, parmesan, tomatoes, green onions. Served with garlic toast."
Bigger Baby Back Ribs,$11.29,Bigger Baby Back Ribs,"Choose your ribs, sauce, and plate."
Classic Sirloin,$11.89,Hand-Trimmed Steaks,"Seasoned & topped with garlic butter. Served with loaded mashed potatoes, steamed broccoli."
