Rating,Number Of Ratings,Address
4.5/5,661 ratings,"11727 Bandera Rd, San Antonio, TX 78250, USA"
Full Order,$18.49,Most Loved,"With fries, roasted street corn."
Oldtimer with Cheese,$8.89,Most Loved,"Favorite. The original. Cheddar, pickles, lettuce, tomato, red onion, mustard."
Southwestern Eggrolls,$8.69,Most Loved,"Favorite. These aren’t your ordinary eggrolls. Crispy flour tortillas, chicken, black beans, corn, jalapeño jack cheese, red peppers, spinach. Served with avocado-ranch."
Combine Any Two,$14.39,Most Loved, 
Crispy,$10.49,Most Loved,"Served with choice of honey mustard, BBQ sauce or housemade ranch."
Meal for 2,$22.00,Most Popular, 
Triple Dipper ™,$11.99,Most Popular,Favorite. Why choose one when you can choose three. Choose any three. Served with dipping sauces.
Skillet Queso,$6.39,Most Popular,Favorite. Your chip’s favorite dip for over 25 years. Original with beef. Served with chips & salsa.
Cajun Pasta,$12.49,Most Popular,"Favorite. Penne in alfredo sauce, topped with Chile spices, parmesan, tomatoes, green onions. Served with garlic toast."
Half Order,$11.29,Most Popular,With fries.
Cheesecake,$6.49,Most Popular,Served over strawberry puree.
Crispy Honey-Chipotle,$10.49,Most Popular,Served with housemade ranch.
Original,$10.49,Most Popular,Favorite. Served with honey mustard.
Tostada Chips,$3.79,Most Popular,Extra-thin corn tostada chips made fresh daily.
Bacon Burger,$9.99,Most Popular,"Favorite. Cheddar, bacon, pickles, lettuce, tomato, red onion, signature sauce."
Southwestern Eggrolls,$8.69,Apps to Share,"Favorite. These aren’t your ordinary eggrolls. Crispy flour tortillas, chicken, black beans, corn, jalapeño jack cheese, red peppers, spinach. Served with avocado-ranch."
Tostada Chips,$3.79,Apps to Share,Extra-thin corn tostada chips made fresh daily.
Skillet Queso,$6.39,Apps to Share,Favorite. Your chip’s favorite dip for over 25 years. Original with beef. Served with chips & salsa.
White Spinach Queso,$7.19,Apps to Share,"With pico, guacamole, cilantro. Served with chips & salsa."
Margherita Flatbread,$8.59,Apps to Share,"Jack cheese, mozzarella, garlic aioli, cilantro, pico, cilantro-ranch pesto."
Honey-Chipotle Crispers & Waffles,$6.29,Apps to Share,"Topped with bacon, jalapeños, ancho-Chile ranch."
Crispy Cheddar Bites,$6.39,Apps to Share,"White and yellow Wisconsin cheese curds topped with Chile spices, cilantro. Served with ancho-Chile ranch."
Spiced Panko Onion Rings,$6.39,Apps to Share,"Onion rings, Chile spices. Served with housemade ranch."
Loaded Boneless Wings,$9.89,Apps to Share,"Smothered in white queso, shredded cheese, bacon, green onions. Served with housemade ranch."
Boneless Wings,$9.69,Apps to Share,"Hand-tossed in choice of sauce, celery, dipping sauce."
Bone-In Wings,$9.89,Apps to Share,"Hand-tossed in choice of sauce, celery, dipping sauce."
Triple Dipper ™,$11.99,Apps to Share,Favorite. Why choose one when you can choose three. Choose any three. Served with dipping sauces.
California Turkey Club,$9.29,Sandwiches & Soups,"Bacon, avocado, tomato, red onion, provolone, lettuce, cilantro-pesto mayo on wheat Texas toast."
Buffalo Chicken Ranch Sandwich,$9.49,Sandwiches & Soups,"Favorite. Crispy chicken with spicy buffalo sauce, tomato, lettuce, housemade ranch on a brioche bun."
Bacon Avocado Grilled Chicken Sandwich,$10.19,Sandwiches & Soups,"You definitely won’t be hungry later. Grilled chicken, bacon, provolone, avocado, sautéed onions, lettuce, tomato, cilantro-pesto mayo on a toasted buttery roll."
Chicken Enchilada Soup,$3.19,Sandwiches & Soups,"Tortilla strips, shredded cheese."
Loaded Baked Potato Soup,$3.19,Sandwiches & Soups,"Bacon, shredded cheese, onions."
Southwest Chicken Soup,$3.19,Sandwiches & Soups,"Chicken, hominy & tomato in ancho-Chile chicken broth, tortilla strips, cilantro."
Terlingua Chili,$3.69,Sandwiches & Soups,"Favorite. Slow-cooked with beef, poblanos, jalapeños, onions. Topped with shredded cheese."
Chili & Salad,$7.69,Sandwiches & Soups,Bowl of chili with a house salad or fresco salad.
Soup & Salad,$6.99,Sandwiches & Soups,Bowl of soup with a house salad or fresco salad.
Santa Fe Crispers Salad,$10.39,Salads,"Pico, avocado, cilantro, tortilla strips, housemade ranch & a drizzle of spicy santa fe sauce."
Boneless Buffalo Chicken Salad,$9.99,Salads,"Crispy chicken tossed in spicy buffalo sauce, bacon, bleu cheese crumbles, pico, tortilla strips with housemade ranch."
Quesadilla Explosion Salad,$10.89,Salads,"Favorite. Grilled chicken, cheese, tomatoes, corn & black bean salsa, tortilla strips with citrus-balsamic. Served with cheese quesadillas."
Caribbean Salad,$10.89,Salads,"Pineapple, mandarin oranges, dried cranberries, red bell peppers, green onions, cilantro, sesame seeds with honey-lime dressing."
Fresco Side Salad,$3.89,Salads,"Spring mix, queso fresco with honey-lime vinaigrette."
House Side Salad,$3.89,Salads,"Tomatoes, red onions, cucumbers, shredded cheese, garlic croutons with your choice of dressing."
Ancho Salmon,$14.99,Guiltless Grill®,"Seared Chile-rubbed Atlantic salmon, spicy citrus-Chile sauce, cilantro, queso fresco. Served with Mexican rice & steamed broccoli. 630 cal."
Margarita Grilled Chicken,$11.69,Guiltless Grill®,"Favorite. Pico, tortilla strips, Mexican rice, black beans. It only tastes like a guilty pleasure. 630 cal."
Grilled Chicken Salad,$9.59,Guiltless Grill®,"Tomatoes, corn & black bean salsa, shredded cheese with honey-lime vinaigrette. 430 cal."
Mango-Chile Chicken,$10.49,Guiltless Grill®,"Chile spices, mango glaze & topped with chopped mango, cilantro, pico, avocado. Served with Mexican rice, steamed broccoli, pico de gallo & fresh diced avocado. Served with citrus-Chile rice & steamed broccoli. 490 cal."
6 oz. Classic Sirloin with Grilled Avocado,$12.29,Guiltless Grill®,"Seasoned & topped with spicy citrus-Chile sauce, grilled avocado slices, garlic roasted tomatoes, cilantro. Served with fresco salad. 420 cal."
Oldtimer with Cheese,$8.89,Big Mouth Burgers®,"Favorite. The original. Cheddar, pickles, lettuce, tomato, red onion, mustard."
Bacon Burger,$9.99,Big Mouth Burgers®,"Favorite. Cheddar, bacon, pickles, lettuce, tomato, red onion, signature sauce."
Ultimate Bacon Burger,$11.39,Big Mouth Burgers®,"Double bacon, cheddar, pickles, lettuce, red onion, tomato, jalapeño aioli, spicy buffalo sauce, honey-chipotle sauce."
Sunrise Burger,$11.39,Big Mouth Burgers®,"Cage-free fried egg, provolone, bacon, lettuce, red onion, tomato, signature sauce."
Southern Smokehouse Burger,$11.39,Big Mouth Burgers®,"Bacon, cheddar, pickles, panko onion rings, lettuce, tomato, signature sauce. Served with a side of original BBQ sauce."
Guacamole Burger,$9.69,Big Mouth Burgers®,"Guacamole, provolone, jalapeños, red & green bell peppers, sautéed onions, jalapeño aioli."
Big Mouth Bites,$9.79,Big Mouth Burgers®,"4 mini burgers with bacon, American cheese, sautéed onions, housemade ranch."
Grilled Chicken,$14.39,Full-On Fajitas, 
Grilled Steak,$16.39,Full-On Fajitas, 
Shrimp,$16.39,Full-On Fajitas, 
Black Bean & Veggie,$14.39,Full-On Fajitas, 
Combine Any Two,$14.39,Full-On Fajitas, 
Combine Any Three,$17.39,Full-On Fajitas,"Favorite. Grilled chicken, grilled steak, shrimp."
Chicken Enchiladas,$9.79,Fresh Mex,"3 enchiladas topped with melted cheese, sour cream sauce, corn & black bean salsa, cilantro. Served with Mexican rice & black beans."
