Rating,Number Of Ratings,Address
4.5/5,678 ratings,"11555 Dallas Pkwy, Frisco, TX 75034"
Santa Fe Crispers Salad,$10.39,Fresh Salads,"Pico, avocado, cilantro, tortilla strips, house-made ranch & a drizzle of spicy santa fe sauce."
Boneless Buffalo Chicken Salad,$9.99,Fresh Salads,"Crispy chicken tossed in spicy buffalo sauce, bacon, bleu cheese crumbles, pico, tortilla strips with house-made ranch."
Quesadilla Explosion Salad,$10.89,Fresh Salads,"Chili's Favorite. Grilled chicken, cheese, tomatoes, corn & black bean salsa, tortilla strips with citrus-balsamic. Served with cheese quesadillas."
Caribbean Salad,$10.89,Fresh Salads,"Pineapple, mandarin oranges, dried cranberries, red bell peppers, green onions, cilantro, sesame seeds with honey-lime dressing."
Fresco Side Salad,$3.89,Fresh Salads,"Spring mix, queso fresco with honey-lime vinaigrette."
House Side Salad,$3.89,Fresh Salads,"Tomatoes, red onions, cucumbers, shredded cheese, garlic croutons with your choice of dressing."
California Turkey Club,$9.29,Sandwiches & Soups,"Bacon, avocado, tomato, red onion, Provolone, lettuce, cilantro-pesto mayo on wheat Texas toast."
Buffalo Chicken Ranch Sandwich,$9.49,Sandwiches & Soups,"Chili's Favorite. Crispy chicken with spicy buffalo sauce, tomato, lettuce, house-made ranch on a brioche bun. This cool chick can bring the heat"
Bacon Avocado Grilled Chicken Sandwich,$10.19,Sandwiches & Soups,"You definitely won’t be hungry later. Grilled chicken, bacon, Provolone, avocado, sauteed onions, lettuce, tomato, cilantro-pesto mayo on a toasted buttery roll."
Chicken Enchilada Soup,$3.19,Sandwiches & Soups,"Tortilla strips, shredded cheese."
Loaded Baked Potato Soup,$3.19,Sandwiches & Soups,"Bacon, shredded cheese, onions."
Terlingua Chili,$3.69,Sandwiches & Soups,"Chili's Favorite. Slow-cooked with beef, poblanos, jalapeños, onions. Topped with shredded cheese."
Chili or Soup & Salad,$6.99,Sandwiches & Soups,Bowl of chili or soup with a house salad or fresco salad.
Ancho Salmon,$14.99,Guiltless Grill®,"630 cal. Seared chile-rubbed Atlantic salmon, spicy citrus-chile sauce, cilantro, queso fresco. Served with Mexican rice & steamed broccoli."
Margarita Grilled Chicken,$11.69,Guiltless Grill®,"Chili's Favorite. 630 cal. Pico, tortilla strips, Mexican rice, black beans. It only tastes like a guilty pleasure."
Grilled Chicken Salad,$9.59,Guiltless Grill®,"430 cal. Tomatoes, corn & black bean salsa, shredded cheese with honey-lime vinaigrette."
Mango-Chile Chicken,$10.49,Guiltless Grill®,"490 cal. Chile spices, mango glaze & topped with chopped mango, cilantro, pico, avocado. Served with Mexican rice, steamed broccoli."
6 oz. Classic Sirloin with Grilled Avocado,$12.29,Guiltless Grill®,"420 cal. Seasoned & topped with spicy citrus-chile sauce, grilled avocado slices, garlic roasted tomatoes, cilantro. Served with fresco salad."
Oldtimer with Cheese,$8.89,Big Mouth® Burgers,"The original. Cheddar, pickles, lettuce, tomato, red onion, mustard."
Bacon Burger,$9.99,Big Mouth® Burgers,"Chili's Favorite. Cheddar, bacon, pickles, lettuce, tomato, red onion, signature sauce."
Ultimate Bacon Burger,$11.39,Big Mouth® Burgers,"Double bacon, Cheddar, pickles, lettuce, red onion, tomato, jalapeño aioli, spicy buffalo sauce, honey-chipotle sauce."
Sunrise Burger,$11.39,Big Mouth® Burgers,"Cage-free fried egg, Provolone, bacon, lettuce, red onion, tomato, signature sauce."
Southern Smokehouse Burger,$11.39,Big Mouth® Burgers,"Bacon, cheddar, pickles, panko onion rings, lettuce, tomato, signature sauce. Served with a side of original BBQ sauce."
Guacamole Burger,$9.69,Big Mouth® Burgers,"Guacamole, Provolone, jalapeños, red & green bell peppers, sauteed onions, jalapeño aioli."
Big Mouth Bites,$9.79,Big Mouth® Burgers,"4 mini burgers with bacon, American cheese, sauteed onions, house-made ranch."
Grilled Chicken,$14.39,Full-On Fajitas, 
Grilled Steak,$16.39,Full-On Fajitas, 
Shrimp,$16.39,Full-On Fajitas, 
Combine Any Two,$16.39,Full-On Fajitas, 
Combine Any Three,$17.39,Full-On Fajitas, 
Chicken Enchiladas,$9.79,Fresh Mex,"Three enchiladas topped with melted cheese, sour cream sauce, corn & black bean salsa, cilantro. Served with Mexican rice & black beans."
Ranchero Chicken Tacos,$9.79,Fresh Mex,"Three tacos in flour tortillas with pico, avocado, jack cheese, jalapeño aioli, cilantro, queso fresco. Served with Mexican rice & black beans."
Chipotle Chicken Fresh Mex Bowl,$9.89,Fresh Mex,"Grilled chicken, pico, field greens, Mexican rice, corn & black bean salsa, avocado, shredded cheese, tortilla strips, cilantro, chipotle pesto, house-made ranch."
Bacon Ranch Quesadillas,$10.29,Fresh Mex,"Favorite. Chicken or steak, shredded cheese, chile spices, bacon, house-made ranch. Served with pico, sour cream, ancho-chile ranch."
Choose Any 2,$14.99,Smokehouse Combos,"With roasted street corn, fries, chile-garlic toast & garlic dill pickles."
Choose Any 3,$16.99,Smokehouse Combos,"With roasted street corn, fries, chile-garlic toast & pickles."
Full Order,$18.49,Texas-Size Baby Back Ribs,"Chili's Favorite. With fries, roasted street corn."
Mix & Match,$18.49,Texas-Size Baby Back Ribs,"Chili's Favorite. With fries, roasted street corn."
Half Order,$11.29,Texas-Size Baby Back Ribs,With fries.
Classic Sirloin,$11.89,Hand-Trimmed Steaks,"Seasoned & topped with garlic butter. Served with loaded mashed potatoes, steamed broccoli."
Classic Ribeye,$17.99,Hand-Trimmed Steaks,"Chili's Favorite. Marbled, thick-cut steak topped with garlic butter. Served with loaded mashed potatoes, steamed broccoli."
Crispy Fiery Pepper,$10.49,Hand-Battered Crispers,Hot. Served with housemade ranch.
Crispy Honey-Chipotle,$10.49,Hand-Battered Crispers,Medium-hot. Served with housemade ranch.
Crispy Buffalo Bleu,$10.99,Hand-Battered Crispers,Medium. Served with Bleu cheese.
Crispy,$10.49,Hand-Battered Crispers,"Mild-medium. Served with choice of honey-mustard, BBQ sauce or house-made ranch."
Original,$10.49,Hand-Battered Crispers,Chili's Favorite. Mild. Served with honey-mustard.
Honey-Chipotle Crispers & Waffles,$11.49,Hand-Battered Crispers,"Crispers on top of Belgian waffles. Topped with bacon, jalapeños, ancho-chile ranch. Served with fries & honey-chipotle sauce."
Cajun Pasta,$12.49,Cajun Pasta,"Chili's Favorite. Penne in alfredo sauce, topped with chile spices, Parmesan, tomatoes, green onions. Served with garlic toast."
Meal for 2,$22.00,Meal for 2, 
Mexican Rice,$1.99,Our Good Sides, 
Fries,$1.99,Our Good Sides, 
Steamed Broccoli,$1.99,Our Good Sides, 
Sweet Corn on the Cob,$1.99,Our Good Sides, 
Loaded Mashed Potatoes,$1.99,Our Good Sides, 
Black Beans,$1.99,Our Good Sides, 
Roasted Street Corn,$2.99,Our Good Sides, 
Asparagus & Garlic Roasted Tomatoes,$2.99,Our Good Sides, 
Spiced Panko Onion Rings,$2.99,Our Good Sides, 
Molten Chocolate Cake,$7.29,"Hey, Sweet Stuff","Chili's Favorite. Chocolate cake with a molten chocolate center, topped with vanilla ice cream in a chocolate shell. Big enough to share, too good to actually do it."
Skillet Chocolate Chip Cookie,$6.49,"Hey, Sweet Stuff","Topped with vanilla ice cream, hot fudge."
Cheesecake,$6.49,"Hey, Sweet Stuff",Served over strawberry puree.
