Rating,Number Of Ratings,Address
4.5/5,73 ratings,"240 Danada Square W, Wheaton, IL 60189"
Santa Fe Crispers Salad,$11.29,Fresh Salads,"Pico, avocado, cilantro, tortilla strips, house-made ranch & a drizzle of spicy Santa Fe sauce."
Boneless Buffalo Chicken Salad,$11.29,Fresh Salads,"Crispy chicken tossed in spicy buffalo sauce, bacon, bleu cheese crumbles, pico, tortilla strips with house-made ranch."
Quesadilla Explosion Salad,$11.29,Fresh Salads,"Chili's Favorite. Grilled chicken, cheese, tomatoes, corn & black bean salsa, tortilla strips with citrus-balsamic. Served with cheese quesadillas."
Caribbean Salad,$11.29,Fresh Salads,"Pineapple, mandarin oranges, dried cranberries, red bell peppers, green onions, cilantro, sesame seeds with honey-lime dressing."
Fresco Side Salad,$4.99,Fresh Salads,"Spring mix, queso fresco with honey-lime vinaigrette."
House Side Salad,$4.99,Fresh Salads,"Tomatoes, red onions, cucumbers, shredded cheese, garlic croutons with your choice of dressing."
Full Order,$20.49,Bigger Baby Back Ribs,"Chili's Favorite. With fries, roasted street corn."
Mix & Match,$20.49,Bigger Baby Back Ribs,"Chili's Favorite. Half Texas-size and half original style, with fries and roasted street corn."
Half Order,$13.49,Bigger Baby Back Ribs,With fries.
Choose Any 2,$16.49,Smokehouse Combos,"With roasted street corn, fries, chile-garlic toast & pickles."
Choose Any 3,$18.49,Smokehouse Combos,"With roasted street corn, fries, chile-garlic toast & pickles."
Classic Sirloin,$11.99,Hand-Trimmed Steaks,"Seasoned & topped with garlic butter. Served with loaded mashed potatoes, steamed broccoli."
Classic Ribeye,$17.99,Hand-Trimmed Steaks,"Chili's Favorite. Marbled, thick-cut steak topped with garlic butter. Served with loaded mashed potatoes, steamed broccoli."
1/2 Margherita Flatbread,$6.00,Crave and Save Lunch Combos, 
1/2 Southwestern BLT,$6.00,Crave and Save Lunch Combos, 
Bacon Ranch Chicken Quesadillas,$7.00,Crave and Save Lunch Combos, 
2 Big Mouth Bites,$7.00,Crave and Save Lunch Combos, 
Chipotle Chicken Fresh Mex Bowl,$7.00,Crave and Save Lunch Combos, 
2 Ranchero Chicken Tacos,$7.00,Crave and Save Lunch Combos, 
Lunch Double Burger,$7.00,Crave and Save Lunch Combos, 
Lunch Chicken Fajitas,$7.00,Crave and Save Lunch Combos, 
1/2 Bacon Avocado Grilled Chicken Sandwich,$7.00,Crave and Save Lunch Combos, 
1/2 California Turkey Club,$7.00,Crave and Save Lunch Combos, 
Meal for 2,$22.00,Just for Two, 
Oldtimer,$8.99,Bigger Big Mouth® Burgers,"The original. Pickles, lettuce, tomato, red onion, mustard."
Oldtimer with Cheese,$9.49,Bigger Big Mouth® Burgers,"Chili's Favorite. You can’t top perfection, unless you add cheese."
Bacon Burger,$9.99,Bigger Big Mouth® Burgers,"Chili's Favorite. Cheddar, bacon, pickles, lettuce, tomato, red onion, signature sauce."
