Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Alexis A.,"Lakewood, CA",0,14,,1.0,1/5/2018,"Broken pizza oven....hostess said we we can order anything but ""PIZZA"" at California ""PIZZA"" Kitchen! Hmmm.... They sat us with server Travis...and his service is over the top sarcastic.  Be prepared for bad jokes the whole process from ordering drinks to getting your bill.  Very unprofessional.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach
Steven C.,"San Diego, CA",636,257,1180,4.0,4/27/2017,"This CPK is located in Long Beach outlet. You can't really go wrong with CPK as they are everywhere. I love their pizza personally since they have pizzas with thin crusts. I usually get the Original BBQ Chicken Pizza, which has skinless chicken breast, red onion, gouda cheese, mozzarella, and cilantro. The only downside is that service can take a while and food can take a while as well. However, other than that food is alright and they have a great atmosphere.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach
Debbie N.,"Melbourne, Australia",1,69,113,4.0,4/3/2017,"I've heard of California Pizza Kitchen, but had never tried it before, waking in, it wasn't at all how I expected it to be. My impression was that it was a casual eatery, but it felt more upscale than that. The staff were friendly and chatty, and didn't miss a beat, and helped us with our selections. The deep fried mac and cheese balls were the perfect starter,  and we shared a spaghetti dish and a pizza. It was all cooked to perfection, and tasted delicious, very happy with my experience.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach
Becky G.,,4,57,,5.0,12/12/2017,"My friend took me here one afternoon and it was a delight. The carne asada pizza was so delicious and I ordered a strawberry dessert at the end. This is definitely a must try and they have a wide variety to select from, very healthy, service is great.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach
Michele G.,"Beverly Hills, CA",44,240,229,3.0,7/31/2017,"Decided to visit this place today for lunch. Turn off number one; the greeter who sat us Placed the dirty menu on top of our clean plates. That's yucky so everyone who has touched a menu now their germs are on my Plate. My friend and I decided to order the lunch special which is located on the back of the menu. We selected a turkey sandwich, salad, and one of the beverages located in section three (the mango). The glass was filled to the top with ice and probably about 3 oz of actual liquid content. When asked for a refill we were told it was not complimentary. Well heck the non complementary price should have been noted on the back of the menu near the beverages selection. also you should not fill the entire glass up with ice. I guess this is a way that the restaurant profits right. Service mediocre. I will not return to this location",https://www.yelp.com/biz/california-pizza-kitchen-long-beach
Rebeca D.,"Compton, CA",147,10,3,5.0,11/27/2017,"Service was one of a kind.. host was understanding of us requesting a booth and has a no problem attitude. Server (didn't get his name) had refills before we asked. Also, when ordering the carne asada pizza he said they didn't have carne asada but if we wanted to try it with Tri tip and that did the trick! The pizza experience was still amazing and everything we expected. Ordered butter cake and came out right on time. We'll be coming back. So far our favorite local CPK.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach
Chris G.,"Long Beach, CA",102,219,118,4.0,10/30/2017,"CPK is always a safe option. The pike location is super convenient to downtown and the water front of Long Beach. This location is also directly across the street from the convention center, so it can get really busy. Service isn't always the fastest, remember it's made to order pizza.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach
David A.,"Long Beach, CA",154,144,476,4.0,6/12/2016,"I haven't been to CPK since I was In New York almost 6 years ago. Its interesting to see the change in direction and the pizza is not really the main attraction. My mrs and some friends of mine came here before heading to Cinemark at the pike (One of my favorite theaters in California) and I enjoyed it. Very much. We got a the original bbq chicken chopped salad, and chicken tequila fettuccine. We also got a fresh strawberry mango cooler and butter cake for desert.  Let me tell you it was all delicious. The Mango cooler was super addicting and I almost drank the whole thing without noticing. My Mrs and I share everything and for the size of both portions, we surprisingly finished everything. Thats the great thing about chain restaurants, they churn out huge portions. You can't really go wrong coming to this CPK. You'll seriously get some good food!",https://www.yelp.com/biz/california-pizza-kitchen-long-beach
Rhonda L.,"Long Beach, CA",102,283,306,5.0,7/16/2017,"Not being a ""chain person"", we went here with incentive from a free entree offer we got in the mail.  Our server Robin was top notch.  She is great at her job- very attentive.  The manager is well organized and utilizes his staff efficiently.  The chef brought out our appetizer- SZECHWAN CHICKEN DUMPLINGS, which was a nice touch.  The manager assisted our server with our entrees- THE ORIGINAL BBQ CHICKEN CHOPPED SALAD and CHICKEN TEQUILA FETTUCCINE.  We didn't follow directions on our free entree, but the manager credited us the $15 anyways.  All the food was fresh and flavorful.  Parking is metered around the Pike, but luckily we are in walking distance.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach
Jaremy C.,"Long Beach, CA",100,26,1,2.0,10/13/2015,"Due to poor and inconsistent staff training I will no longer be coming back to this CPK. Which is unfortunate because I get take out about once a week.  Food is good, manager is not.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach?start=100
Victor B.,"Pasadena, CA",3,36,1,1.0,8/7/2016,"WORST MEAL EVER!  Bad food bad service, our server even told us ""sorry we ran out of silverware"" and walked away",https://www.yelp.com/biz/california-pizza-kitchen-long-beach?start=100
Jana B.,"Incline Village, NV",6,27,52,5.0,2/1/2016,"Dinner at CPK was delicious. We enjoyed the Halibut and the shrimp pasta with zucchini ribbons. We sat at the counter in front of the pizza oven sipping on a La Crema wine flight. Casey, our server, was friendly, personable and made great menu suggestions. An asset to CPK. My only desire is that my home town of Reno had a CPK!",https://www.yelp.com/biz/california-pizza-kitchen-long-beach?start=100
Sarah R.,"Los Angeles, CA",427,657,656,4.0,11/5/2014,I love CPK. I love that they have a large menu with many choices. This location is really nice. The staff are really friendly and always make sure you have everything you need. My favorite dish has to be the chicken picatta... but I also love the tequila lime chicken and their margherita pizza. Delicious!! I will definitely return next time I'm in the area.,https://www.yelp.com/biz/california-pizza-kitchen-long-beach?start=100
Alexis W.,"Buena Park, CA",0,40,2,4.0,7/24/2016,"Went on a Saturday evening and my group of 4 was seated right away. There is a nice selection of both food and drinks. We had a bottle of wine for the table and the chips and guacamole for an appetizer. It was more of a salsa than guacamole. It was basically a small pile of chopped veggies (onions/corn/beans/tomatos) mixed in a small amount of avocado. It wasn't a bad dish, just not what any of us thought it would be and the chips weren't very fresh. As far as main dishes go, we all enjoyed out meals. I had a half order of the roasted veggies salad and it was delicious! Unless you're starving I recommend half orders of the salad. They're a good size and you won't feel stuffed after, especially if you want to try an appetizer to begin with.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach?start=100
Todd S.,"Apple Valley, CA",0,21,7,2.0,8/29/2016,"Visited this location yesterday, the two pizzas we ordered were OK, but sorely lacking in protein/chicken, especially for the exorbitant price. There are too many other options that give you way more for a better price like pieology and some of the others. Our bill was almost $100 for four people to have lunch and only one beer was ordered. No appetizers or anything else. I noticed that the up charge for anything extra also. Service was good and over all the food quality is good, but I wouldn't go back due to the three pieces of chicken on both pizzas and lack of value.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach?start=100
John D.,"Clovis, CA",0,2,,3.0,3/10/2017,"I have never once written a review on Yelp but I've had an awful day and going to this place was the last straw. My day started at 7am with getting off a fantastic cruise and quickly took a turn. As I made my way up the parking structure and neared my car, I noticed that the rim and tire were completely missing. As I got closer, I realized THEY WERE ALL GONE. Obviously, it's going to take me a little longer to get home that I thought. I start by trying to talk to Carnival Cruise ship people(useless) to get this sorted out but they could not care less even though this was in their parking garage. They tell us that they only have security 5 days a week and this happened while there was no one there. How ridiculous right? So we get no help from them cause they're POS. We can't have it towed because it's in a parking garage and the clearance is too low. We can't have it pulled out of the garage any other way so we have to call a tire place so we can pick out some tires and have them brought back to put on our vehicle. Let me tell you, this tire place went above and beyond. AMERICAN TIRE DEPOT! So amazing! They were making calls for us, giving us rides everywhere, even offered us donuts. We finally pick out our tires and rims and head back to the car. Guess what, the GD rims don't fit because the holes don't line up. The family is heated man let me tell you. So the only thing left to do get a rental car and call it a day. AMERICAN TIRE DEPOT hooked it up with a rental car! They tell us it will be a few hours but it ends up being longer than that so we have to get a hotel. In the meantime we went to Yardhouse(fav of mine) and had a late lunch. We checked into MAYA HOTEL - by DOUBLE TREE which is also amazing. Super beautiful! After a few hours of relaxing after a long and ridiculous day, the wife and I decide to order some CPmfK. I order the usual, Garlic Creme Fettucine, which is absolutely delicious. The wife orders a chicken Caesar salad because she wanted something light but she can eat what she wants because she is the most gorgeous being on the earth. We drive to pick this up by the way because we're tired after this long day and of course there's no parking. Fix that s-it CPK. Anyways, I go to pick it up and it smells great so I'm super excited. I get back to the car after my mile long walk since there's no parking and head home. We get back and look in the bag and THERE'S 0 bread. The best bread I've ever had is from CPK and they neglected to put any in our take out bag when we even asked ""will we get bread?"" and the lady responded, and I quote ""yes."" Now, normally this wouldn't be an issue but on today of all days I've had it. I'm sick of being deceived and lied to and this was the breaking point. I don't know what her name was but she was the messed up cherry on top of the poop cake. Don't get me wrong, the food was great, always is. However, after the day I had this place only gets 3 stars from me. Thank you! -Dyl",https://www.yelp.com/biz/california-pizza-kitchen-long-beach?start=100
B D.,"Long Beach, CA",0,104,7,1.0,10/23/2016,"I ate here the other night (Friday) and got the spaghetti and asparagus with chicken. It tasted pretty good however the next day I was feeling really sick all day and last night it finally all came out. I had to miss a day of work at my new job! Anyways, just a warning, I don't think this place handles food the way it's supposed to be handled. Also the service was terrible and the waitress kept saying ""it just wasn't her night."" Just a warning, eat at your own risk.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach?start=100
Pekkie S.,"Long Beach, CA",59,76,33,5.0,10/4/2015,Super friendly and great service. Our server Justin was great and the person who made our drinks even came to the table and asked us how our drinks were.  Had the shrimp scampi pizza it was delicious!!!  Lots of shopping done after :),https://www.yelp.com/biz/california-pizza-kitchen-long-beach?start=100
Wi H.,"Phoenix, AZ",0,133,,5.0,12/27/2016,Fantastic service from Josh and Tom last night.  They were short staffed and provided a great time and excellent food. I will be using them as an example when I do preshift meetings with my kitchen next week. Thank you for the awesome time.,https://www.yelp.com/biz/california-pizza-kitchen-long-beach?start=100
Alejandra M.,"Long Beach, CA",1,22,11,5.0,11/21/2015,"Exceptional service! Wow! I came here yesterday for dinner with my girl friend and it was our first time coming to any California pizza kitchen. Our host gave us a warm welcome and seated us almost immediately. We told him it was our first time so we listened to his suggestions and they were so good! Right after he seated us Evan our server took our orders. He was soooo funny and entertaining I never had such a great server like him. Great job, we will be coming back again soon! We ordered a Sicilian flat pizza with pineapples as an extra topping and crunchy Mac and cheese on the side. We finished it off with a pumpkin cheesecake. Yum!",https://www.yelp.com/biz/california-pizza-kitchen-long-beach?start=100
Constance S.,"Long Beach, CA",0,5,1,5.0,7/26/2016,"By far one of the best customer service I have ever experienced.. I work in the food service industry as well, and I'm very very impressed with the level of passion and professionalism. Marco Sanchez the Kitchen Manager went above and beyond to satisfy me as a customer.. Jason the cashier who assisted us was beyond amazing in customer engagement and satisfaction. I highly recommend this location. #5stars",https://www.yelp.com/biz/california-pizza-kitchen-long-beach?start=100
Sommack I.,"Long Beach, CA",149,19,45,5.0,6/9/2015,Tried their rib eye steak and halibut. My god that rib eye was freaking delicious!!!! The nice manager was very nice and helpful and so were the staff. I'm very pleased with the food and service!,https://www.yelp.com/biz/california-pizza-kitchen-long-beach?start=100
