Username,location,friend_count,review_count,photo_count,rating,date,review,Url
C Y.,"Los Angeles, CA",0,14,67,4.0,4/25/2017,"Red berry sangria never disappoints! So relaxing to have a glass of sangria after a stressful day at work. Our server was excellent! CPK has one of the best BBQ chicken salad (comparable to one at Cheesecake Factory). Always nice to end a meal with a dessert, chocolate soufflé with vanilla ice cream on top. Delicious!",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
Corinne D.,"Sebastopol, CA",351,9,1,5.0,4/8/2017,"When I first walked in at around 830 on sat night the host within minutes found me a table to sit at. My server haley was absolutely amazing. She was so attentive, welcoming, and personable with how packed the restaurant was. As a server myself I was so impressed by her knowledge of the menu and how she made my experience great. Defiantly coming back especially with this being my first time here!",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
Pete S.,"Cypress, CA",473,1401,1557,4.0,8/25/2015,"This place was recently remodeled to complement their new menu. Yes, they are serving other items besides pizza. Sirloin is on their menu and rustic is the look they are now going for. I love coming here, even though I live to 2 other locations that are closer. I did, just noticed last week when I was here, some of the menu items has higher prices.  Dang it!  Other than that, I love that they always open the door for you when you come in and leave. The manager on duty always manage to do some small talk with you.  Oh, the lunch menu now consists of combos with Pizza and soup for $11 or 1/2 Sandwich and soup for $10. My favorite tequila pasta is now a whopping $17 for pretty much 5 bites of bliss. I tried making it at home and failed so that's why I still keep ordering it. :) Best way to beat the system here is when they have the $10 off $40 with your CPK rewards and if you can buy the gift cards through Costco. Otherwise, I cannot seem to afford the new menu anymore just for a simple lunch with the family since it now costs me over $60 with 2 kids and 2 seniors.  Good thing the damage is at a location I love with great service,  thus not as painful on the wallet.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
Karen P.,"San Jose, CA",0,105,29,3.0,8/23/2016,"Looking for take out pizza led us to CPK, but we decided to dine in since it wasn't busy and the menu looked so good.   We ordered the Roasted Garlic Pizza- very good, not overly garlicky or oniony and no heavy cream sauces.  Chicken Picata was a generous portion of chicken breast filets in light lemon caper cream sauce with angel hair pasta on the side.  The chicken was tender and lightly tangy. A good, familiar place to go when you are craving pizza.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
Jennifer T.,"Fullerton, CA",0,14,,1.0,8/7/2016,"Came here during my visit to the aquarium of the pacific and left disappointed. Our server Kristy pretty much just left us in the dark the whole time. I felt so unwelcome there, everyone was getting good service except us. She came took our orders and dropped off our stack of plates and just disappeared. Didn't ask to refill our drinks or anything, everything we had to call her for. Saw other servers set up their plates and give them complimentary bread which I didn't know about. So I asked her for some and she said, ""oh sorry when I tried to get you some... they ran out."" Clearly a lie our plates already came out by then and we didn't get complimentary bread till after our meal. Saw other tables receiving it before us. Wow just wow. If she meant to get it she would of informed us at least before our meals came out.  My first experience and I don't want to come back. The other servers seemed fine maybe they should just fire her. Then we asked to claim a free small meal since I signed up for an awards card, she told us we get a free small plate with our meal for being first timers so we can claim it next time.... Okay... Why didn't you say that before? Then we proceeded to wait and got a small plate 15 minutes after our meal was done. Signed up for a rewards card but didn't bother to claim points because I'm not coming here again.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
Tones T.,"Menifee, CA",0,110,,5.0,5/4/2016,"Excellent food, service in this location was top notch. Restroom visit passed with flying colors too, nothing worse than using a disgusting restroom at a restaurant where you are gonna eat. This place is doing right.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
Amy P.,"Anaheim, CA",0,5,,5.0,1/20/2017,"This was my second time at California Pizza Kitchen but I came with my brother which was his first. Adriana was our server and she was kind enough to bring him a complimentary appetizer. I am grateful for such kind staff and love the quality of the food here. If Jasmine and Adriana are reading this, thank you girls so much!!",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
Genevieve A.,"Montebello, CA",2,101,,5.0,11/23/2016,"Came to celebrate my birthday here tonight and was served by Noemi. She was a wonderful server, made us feel very welcome! She offered great options and quick on refills. Also talked to her manager to get me a birthday sundae.!My family and I will be coming back to this location because she delivered a wonderful experience. Thank you, Noemi :)",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
Angela V.,"Pico Rivera, CA",605,352,2561,5.0,5/10/2014,"Out of all the California Pizza Kitchens we have gone this is my favorite one !! The minute you walk through those those you re greeted and made to feel right at home !! We always tend to make it to the bar because we love to watch a good game while we enjoy our food and beers !! The bartenders already know us and they always make us feel so welcomed and always engage I'm conversation with us which makes the meal even better ! The food is always good, pizzas always hot and crispy with fresh ingredients ! Good is always served hot and the wait is never too long even when it is very busy !  The chicken tequila lime fettuchini is very delicious and you can taste every single ingredient  !! I enjoy coming to this place have never had a bad experience !! Always a great environment to enjoy a good meal !!",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
Diana B.,"Long Beach, CA",2,16,9,4.0,7/3/2016,"We went to dinner there on a Friday. It was very busy.  Our server was great, our food was delicious and came out fast.  We got a steak  (perfectly cooked),  full Waldorf chicken salad  (amazing), and kung pao shrimp pasta (delicious).  Our only issue with this restaurant is seating.   Everytime weve gone there we have to ask for a different seat.  The hostess are young so i think its the lack of experience.  On this last visit they attempted to sit us at a tiny table behind the hostess station were there was a large party sharing the seating space.  There was an older man sitting right were i was supposed to squeeze into my seat....i would of had to practically sit on his lap to get to my seat.  We asked to be sat at an open booth a few feet behind us away.  By the picture of our food you can see it would not of fit on that tiny table.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
