Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Michelle P.,"Philadelphia, PA",432,1148,4433,3.0,10/29/2013,"I recently got to pick the spot for a lunch with coworkers. For whatever reason, I picked California Pizza Kitchen. Maybe convenience? I struggle each time with the menu because the pesky, but helpful nutrition facts. Unless you plan on having just a soda or a side dish of grilled chicken/shrimp, don't expect to walk away with a meal for under 20 grams of fat. Even the salads are high calorie/high fat.  I opted for the Fire-Roasted Chile Relleno off the ""Lite Adventures"" menu which is fairly low-cal but is packed with 27 grams of fat. I've had it before and knew it was tasty and the dish did not disappointed. I wish I snapped a picture because the presentation was killer. It was the perfect looking fall dish: a plump green chile stuffed with eggplant, cheese, chicken, beans, corn and other veggies sitting in a plate of avocado salsa verde and cilantro. I guess the avocado makes it a good fat :) It was a creamy but not heavy sauce. The dish was the perfect sized lunch too. I left feeling full but not stuffed.  This is a popular work lunch spot, so our server kept everything moving. We had a half table/half booth on the end, which she did awkwardly reach over several times. I guess there wasn't really room to go around the other way? She was pleasant and checked on us several time so I really have no complaints there. My group thought it was odd that they were cleaning the front windows with Windex during the peak of the lunch rush. We could smell it from our table!  So overall I had a good experience despite limited items for the health conscience and the whiffs of Windex.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
Dior T.,"Philadelphia, PA",0,4,4,5.0,10/17/2015,"Great service from staff , the food was fantastic !! I had the habanero pizza which was so good OMG I would come back everyday & it was my boyfriend first time there and he absolutely love the bbq chicken pizza",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
George K.,"Upper Darby, PA",0,4,1,2.0,10/26/2016,"CPK I came to pick up food tonight, they told me it would be ready by 7:40pm I am just leaving your restaurant at 8:06pm. I know your not a fast casual establishment but when I waited 26min later then the time that you tell me it'll be ready it's kind of annoying. Also to top it off they gentleman at the front had asked me if if like bread I said yes. Well when my food was actually done he told me there's no bread it won't be ready for another 2 min. On the bright side you guys have great food and the guy that helped me was very nice.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
Pearl L.,"Oakland Gardens, NY",91,99,51,3.0,12/4/2015,Food was good but server was lacking.  we ordered salad but it didn't come with walnuts even though it listed with walnuts.  over all a good place for dinner with family.,https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
Ballerinacake S.,"Philadelphia, PA",0,39,266,4.0,4/9/2014,CPK never disappoints.  Always delicious.  Love their crust.  Free parking in the parking garage.  Great friendly service.,https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
Ni K.,"Philadelphia, PA",172,126,52,4.0,7/27/2013,"Good food, Nice menu, tried something new.  Service was good, no complaints.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
Jack W.,"Van Nuys, CA",231,99,5,2.0,11/10/2014,Food was mediocre as chain restaurants always are... The service was a bigger disappointment.  Better off w a McD's.,https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
Ben B.,"Bala Cynwyd, PA",108,55,45,5.0,5/30/2015,I love California pizza kitchen! It's a great place to have your birthday dinner or just a quick lunch. The food is always cooked to perfection and served in a well presented fashion. Everything is very clean and they have an open kitchen so there isn't any wondering what it looks like behind the door. The staff are very professional and polite. If you're in the area there's no harm stopping in for a bite to eat. You will not be disappointed!,https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
Sakura K.,"Philadelphia, PA",1,19,29,5.0,8/6/2014,Great pizza and great service. The pizza were delicious. Our server was very kind and patience. The pizza was too much for one person. It's great for sharing tho.,https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
Megan J.,"Philadelphia, PA",39,103,75,4.0,11/15/2017,One of the best franchises in the area. Decent size menu with tons of choices other than pizza. I had never been to one of these so I was prepared to only get to choose between different kinds of pizzas. I came here on veterans day for a free meal. I had the tomato basil bisque to start and was delicious. Since it was my first time here they brought us over a complimentary flatbread which was very nice of them! I then had the 5 cheese pizza which was also delicious and fresh tasting. My boyfriend had a crispy chicken sandwich which also tasted fresh. Overall I was impressed with this place and I will no doubt be back!,https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Sean T.,"Philadelphia, PA",0,23,,2.0,8/27/2017,"The service was 3 stars, friendly but lacking.  Could have been more assertive as I had to wait to order, never got the lemon I asked for, menus never taken off the table, etc.  The food was mixed.  I liked the buffalo cauliflower and the little salad that went on top.  The Kung pao spaghetti (with chicken) was a mistake.  Nothing about it was fresh, just spaghetti in an oily, Szechuan style sauce with a tremendous amount of salt to make up for the lack of flavor.  And I love salt. For $15, I could have went to Han Dynasty and ordered TWO Dan-Dan noodles with a couple dollars to spare and that would have been much more delicious and twice the amount of food.  I wasn't expecting authentic, was just expecting quality for $15.  Big let down and it was a very small amount of chicken I received for the upgrade.   I've had the butter cake years before and that was always delicious.  This time I just wanted to go, so I left without dessert.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Jennifer T.,"Willow Grove, PA",0,12,4,2.0,7/23/2017,"We originally came into the area for Joe's Crab Shack, but found out it was closed and had to find a quick replacement. We looked across the road and saw California Pizza Kitchen. We had never eaten there before and thought we'd give it a try. We were greeted by a friendly host who was able to seat us immediately. It didn't take long before our server greeted us. The service was great.  We ordered the roasted garlic chicken. We thought it'd be delicious, but when we took our first bite it tasted like nothing ... at all. We ordered a side of marinara to dip it in so that there was some kind of flavor.  Our trip could have gone differently if we ordered something else. Over all, I'd recommend others give it a try, but stay away from the roasted garlic pizza.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Carol C.,"Philadelphia, PA",387,586,187,2.0,12/19/2017,"Been to this location twice now, and it's possibly the worst I've been to out of the 10+ locations nationally I've visited. Pasta here is super dry, they are stingy with their portions, and skimp even more on the meat. The food presentation is so terrible it's laughable (until we see the bill and realize we have to still pay for this joke). Chain restaurants nearby have been shutting down and this one is next if it doesn't start living up to the CPK name!",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Timothy P.,"Philadelphia, PA",16,32,35,3.0,12/21/2017,"The food was delicious and amazing.  But unfortunately our service was bad that day.  The waitress didn't bring any napkins, not enough straws and didn't check up on us to see if we needed anything.  I would give them another chance because of the amazing food and I understand that sometimes it can be just one employee or a bad day for a person.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Kristen W.,"Philadelphia, PA",55,9,,3.0,12/19/2017,"This review is regarding the pasta dishes. CPK serves the driest pasta dishes you'll ever have in your life! They're extremely stingy with their sauce and salmon (they're more like salmon nuggets, and not a true filet). 3 stars are more so for the butter cake because that's about the only saving grace that'll redeem this disappointing experience.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Camille G.,"Piscataway Township, NJ",98,239,551,3.0,7/16/2017,"I like California pizza. I ordered the Mac &cheese, buffalo cauliflower, and pepperoni pizza. My beverage of choice was the cucumber revived. I loved the cucumber revived , this will be my new summer drink.  Service was good. Waiter was attentive. This one happens to be near out hotel. We didn't have to drive far for a bite to eat. Good for an appetizer kind of place.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Farha A.,"Philadelphia, PA",222,128,173,2.0,7/21/2017,"So the food here is good and probably worth 3 stars at any CPK but this particular review is for the service (or lack there of) we received that day. I just moved in to an apartment complex nearby and we were all ready to feast after a long day of moving. We got there and got seated outside. I kid you not, it took 5-10 minutes just to get water and menus and that was only because I eventually got frustrated and went inside to ask for it. This trend more or less continued throughout the meal. Luckily a couple of our courses came quickly so we weren't super hangry but water refills, getting the bill, etc was a nightmare and extremely slow and I had to keep getting up and going to ask for things. They were super apologetic and nice about it each time but kept doing it and kind of seemed like they were unsure who was serving us, especially in the beginning... We all finished eating and while my parents waited for the check, I had time to walk over to Target, peruse for a few items on a list in different parts of the store, pay, and come back and they were STILL THERE and had just gotten it when I arrived.  I will probably end up going back here because it is one of the few walking distance places near me but I really hope this is not consistent.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Rick R.,"Philadelphia, PA",64,71,24,4.0,7/31/2016,What I like most about California Pizza Kitchen is its consistency. I've come several times and have not had a bad meal or bad service.  The menu has a little something for everyone if you are not in the mood for pizza. But the namesake staple are delicious and fresh. It's even better when you are with larger parties and you get to try different kinds. I've also had a couple of their salads as well which were all pretty good.,https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Mareeda T.,"Philadelphia, PA",79,1,,1.0,11/13/2017,"A pretty average place to have lunch or dinner. Do not think I want to try this place again after my credit card company informed me that they charged me more than what I've spent. I thought it might've been a little mistake which is understandable, but the credit card company also informed me that my card was used again at this same place the next day, and I only came here once. Pretty angry and upsetting I got scammed.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Jascie W.,"Philadelphia, PA",2,32,81,4.0,12/5/2016,"You want pizza but you're to sophisticated for Pizza Hut. Go to the CPK!  The service is pretty good, busy but you can totally walk right in and get a table.  What's the 6th Rule of Pizza? Consistency. Every time the pizza tastes the same. Yummy. It's not the best pizza (hopefully) that you will ever have but its reliable and taste great.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Luxxi R.,"Philadelphia, PA",4,27,44,1.0,4/17/2017,"My God this place sux butt. The service is AWFUL, neither welcoming nor attentive. They basically see you as dollar signs and want you to get in and out. They do not wear gloves or hair coverings. I watched a server pat his hair (which was in a bun) then touch the orange garnishes on my Blue Moon. I ordered a thin n crispy pizza but did not get it. The food came out rather fast, but was extremely bland. My silverware was not polished and I had to ask 2 totally different servers for fresh silverware. The only reason I said something to the manager was bc he approached us. Had he been monitoring his dining room instead of sitting at the bar, he would have been able to possibly recover service. He seemed like he had no idea on how to handle issues, but offered a gift card. When I declined, he said are you sure? It can be used at any location. Uh no fool, free or not, I will never visit this or any location ever again. This was my first and last time. I left all of the food, $61 down the drain. I left and went to Chipotle next door.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Tim A.,"Ellicott City, MD",0,7,2,1.0,8/24/2017,Waited 40 minutes but no one took our order. This was despite reminding them after 30 minutes that we were still waiting. Staff seemed to be having issues and arguing with each other. This location seems have serious management issues. Good thing Chipotle was right next door.,https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Salote V.,"Philadelphia, PA",57,16,,2.0,7/9/2017,"I randomly picked out this place to take  my family to for lucnch last Friday, when we got there we were seated right away, Bruuh! 3 servers were standing at the end of the other side of the bar talking while we sat there for 5 mins with no water, bread or server to serve us. I have to inform them that we needed  water etc.. Besides the bad service, our food was good and we didnt have to wait.  First impression on services is very important to me as I go out to restaurants etc, just coz I do not want to spend my money on bad services n all that, but when this happens I wont be back!!!!",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Tori G.,"Philadelphia, PA",0,10,4,4.0,7/18/2017,"Delicious! Came here for the first time and it didn't disappoint. Restaurant was clean, staff were professional and (gasp!) smiling and helping each other out.  I sat at the bar and had a great guy named Dave take care of me. My pizza was really good and very well priced. I'll be adding this to my fav lunch spots:)",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
