,date,open,high,low,close,volume
0,2012-01-03,45.67,46.13,43.94,100.0,402336
1,2012-01-04,43.99,44.68,43.23,101.06745400863048,455202
2,2012-01-05,44.14,45.52,43.48,103.06609130138541,271429
3,2012-01-06,45.42,46.18,44.98,104.24710424710425,199144
4,2012-01-09,46.31,46.32,45.25,103.95185101067453,292980
5,2012-01-10,46.93,47.05,46.06,106.04133545310016,248533
6,2012-01-11,46.22,46.61,45.54,103.99727458550987,191448
7,2012-01-12,45.88,46.23,44.8,103.24778560072677,452467
8,2012-01-13,44.97,45.78,44.93,103.04337951396775,275169
9,2012-01-17,45.54,45.54,44.18,100.93118328412446,371735
10,2012-01-18,44.52,45.62,44.23,103.33863275039745,175228
11,2012-01-19,45.45,45.5,44.7,101.68067226890756,322935
12,2012-01-20,44.77,45.74,44.69,103.54303883715649,206657
13,2012-01-23,45.48,45.92,45.4,103.79286849875085,395277
14,2012-01-24,45.45,46.04,44.85,103.77015671133319,312922
15,2012-01-25,45.48,47.8,45.28,107.90370202134908,555351
16,2012-01-26,47.75,48.13,47.58,108.85759709289121,303662
17,2012-01-27,47.55,49.0,47.55,111.08335225982285,274017
18,2012-01-30,48.45,49.13,47.96,111.28775834658187,392938
19,2012-01-31,49.34,50.1,48.71,113.62707245060186,506046
20,2012-02-01,50.09,51.0,49.85,115.60299795593913,360953
21,2012-02-02,50.83,51.85,50.82,117.69248239836475,381161
22,2012-02-03,52.46,54.46,51.92,123.25687031569385,528014
23,2012-02-06,53.82,54.11,52.68,120.09993186463774,692873
24,2012-02-07,53.02,53.51,52.23,120.25891437656144,275950
25,2012-02-08,52.95,53.42,52.93,121.23552123552123,410798
26,2012-02-09,53.34,53.94,53.03,121.2582330229389,182069
27,2012-02-10,53.0,53.16,52.64,120.16806722689076,471640
28,2012-02-13,53.32,53.5,52.84,120.78128548716784,270843
29,2012-02-14,53.11,53.67,52.76,121.57619804678627,280707
30,2012-02-15,53.76,54.15,53.17,121.05382693617987,373649
31,2012-02-16,53.25,54.0,53.2,122.16670451964569,446297
32,2012-02-17,52.42,52.92,50.96,118.28298887122416,849103
33,2012-02-21,52.2,53.22,51.56,117.94231205995912,487342
34,2012-02-22,51.57,51.68,50.33,115.42130365659777,390862
35,2012-02-23,51.0,51.18,50.58,115.30774471950943,292471
36,2012-02-24,50.75,50.93,50.12,114.17215534862594,293427
37,2012-02-27,50.0,50.6,49.68,113.12741312741312,367335
38,2012-02-28,50.0,50.41,49.41,114.14944356120826,297177
39,2012-02-29,50.26,50.66,49.64,112.7640245287304,261462
40,2012-03-01,49.51,49.96,48.71,110.83352259822848,374409
41,2012-03-02,48.86,49.17,47.7,109.99318646377469,543547
42,2012-03-05,48.11,49.01,48.01,110.83352259822848,237381
43,2012-03-06,48.35,48.68,48.02,109.22098569157393,312737
44,2012-03-07,48.1,48.85,48.06,110.7426754485578,227054
45,2012-03-08,49.16,49.54,48.26,112.26436520554168,259665
46,2012-03-09,49.62,50.38,49.52,113.55893708834886,213180
47,2012-03-12,50.16,50.42,49.62,113.33181921417216,251770
48,2012-03-13,50.05,50.12,49.42,113.8314785373609,328189
49,2012-03-14,49.86,50.14,49.16,112.26436520554168,178122
50,2012-03-15,49.61,50.22,49.05,113.92232568703156,288677
51,2012-03-16,49.99,50.0,48.53,110.33386327503975,323005
52,2012-03-19,48.47,48.76,48.05,109.90233931410401,268374
53,2012-03-20,48.03,48.1,47.41,108.28980240744946,297966
54,2012-03-21,47.94,48.48,47.31,107.5176016352487,303016
55,2012-03-22,47.08,47.92,46.87,108.67590279354985,221164
56,2012-03-23,47.73,47.73,46.42,107.290483761072,291043
57,2012-03-26,48.08,50.89,47.92,114.44469679763797,856859
58,2012-03-27,50.43,50.75,49.99,114.21757892346128,248130
59,2012-03-28,50.25,50.86,49.0,112.21894163070634,167720
60,2012-03-29,49.21,49.57,48.95,112.0145355439473,168277
61,2012-03-30,50.25,51.0,49.97,114.3538496479673,484623
62,2012-04-02,50.46,51.19,50.32,115.83011583011583,377087
63,2012-04-03,50.87,51.23,50.54,115.55757438110379,249494
64,2012-04-04,50.29,50.34,49.12,112.90029525323642,210965
65,2012-04-05,49.47,49.96,48.34,112.67317737905972,361965
66,2012-04-09,48.75,48.99,48.56,111.12877583465819,197047
