,date,adj_close,adj_factor,adj_high,adj_low,adj_open,volume,close,ex_dividend,high,low,open,split_ratio,volume
0,2018-04-20,39.83,1.0,39.97,39.27,39.46,970210.0,39.83,0.0,39.97,39.27,39.46,1.0,970210.0
1,2018-04-19,39.51,1.0,40.03,39.22,39.59,772917.0,39.51,0.0,40.03,39.22,39.59,1.0,772917.0
2,2018-04-18,39.87,1.0,40.63,39.23,39.33,1133017.0,39.87,0.0,40.63,39.23,39.33,1.0,1133017.0
3,2018-04-17,39.34,1.0,39.85,38.72,38.84,1965463.0,39.34,0.0,39.85,38.72,38.84,1.0,1965463.0
4,2018-04-16,38.72,1.0,39.64,38.1,38.32,1467732.0,38.72,0.0,39.64,38.1,38.32,1.0,1467732.0
5,2018-04-13,38.14,1.0,38.3,37.905,37.93,994170.0,38.14,0.0,38.3,37.905,37.93,1.0,994170.0
6,2018-04-12,37.85,1.0,38.72,37.755,38.6,873192.0,37.85,0.0,38.72,37.755,38.6,1.0,873192.0
7,2018-04-11,38.46,1.0,39.01,38.03,38.08,661803.0,38.46,0.0,39.01,38.03,38.08,1.0,661803.0
8,2018-04-10,38.25,1.0,38.68,37.63,38.68,1045907.0,38.25,0.0,38.68,37.63,38.68,1.0,1045907.0
9,2018-04-09,38.28,1.0,39.31,38.19,39.08,1148355.0,38.28,0.0,39.31,38.19,39.08,1.0,1148355.0
10,2018-04-06,38.67,1.0,39.2,38.07,38.48,1692102.0,38.67,0.0,39.2,38.07,38.48,1.0,1692102.0
11,2018-04-05,38.62,1.0,38.88,38.11,38.62,965825.0,38.62,0.0,38.88,38.11,38.62,1.0,965825.0
12,2018-04-04,38.31,1.0,38.78,36.6,36.6,2281525.0,38.31,0.0,38.78,36.6,36.6,1.0,2281525.0
13,2018-04-03,36.92,1.0,36.96,35.855,36.05,797168.0,36.92,0.0,36.96,35.855,36.05,1.0,797168.0
14,2018-04-02,35.9,1.0,36.6,35.55,36.11,1282169.0,35.9,0.0,36.6,35.55,36.11,1.0,1282169.0
15,2018-03-29,36.1,1.0,36.58,36.08,36.18,761167.0,36.1,0.0,36.58,36.08,36.18,1.0,761167.0
16,2018-03-28,36.09,1.0,36.21,35.46,35.5,714849.0,36.09,0.0,36.21,35.46,35.5,1.0,714849.0
17,2018-03-27,35.5,1.0,36.08,35.125,35.28,692692.0,35.5,0.0,36.08,35.125,35.28,1.0,692692.0
18,2018-03-26,35.27,1.0,35.32,34.57,34.68,1164334.0,35.27,0.0,35.32,34.57,34.68,1.0,1164334.0
19,2018-03-23,34.07,1.0,35.3166,34.07,34.78,1460741.0,34.07,0.0,35.3166,34.07,34.78,1.0,1460741.0
20,2018-03-22,34.64,1.0,36.25,34.59,35.93,2560453.0,34.64,0.0,36.25,34.59,35.93,1.0,2560453.0
21,2018-03-21,36.89,1.0,37.86,36.83,37.6,1505586.0,36.89,0.0,37.86,36.83,37.6,1.0,1505586.0
22,2018-03-20,37.71,1.0,38.11,37.435,37.61,764213.0,37.71,0.0,38.11,37.435,37.61,1.0,764213.0
23,2018-03-19,37.45,1.0,37.74,37.12,37.42,881669.0,37.45,0.0,37.74,37.12,37.42,1.0,881669.0
24,2018-03-16,37.56,1.0,37.98,37.27,37.27,1969415.0,37.56,0.0,37.98,37.27,37.27,1.0,1969415.0
25,2018-03-15,37.24,1.0,37.98,37.0,37.67,966322.0,37.24,0.0,37.98,37.0,37.67,1.0,966322.0
26,2018-03-14,37.62,1.0,38.17,37.38,37.86,1164117.0,37.62,0.0,38.17,37.38,37.86,1.0,1164117.0
27,2018-03-13,37.74,1.0,38.01,37.27,37.28,1839771.0,37.74,0.0,38.01,37.27,37.28,1.0,1839771.0
28,2018-03-12,37.12,1.0,37.66,36.86,36.99,1581552.0,37.12,0.0,37.66,36.86,36.99,1.0,1581552.0
