,date,mean
0,2012-01-03,100.0
1,2012-01-04,100.72949831767248
2,2012-01-05,101.98459819060854
3,2012-01-06,102.71750198703059
4,2012-01-09,103.47510299169885
5,2012-01-10,103.04235701830329
6,2012-01-11,102.76074778912026
7,2012-01-12,102.88495336090567
8,2012-01-13,103.9600597124052
9,2012-01-17,102.7102600648405
10,2012-01-18,105.10036747848498
11,2012-01-19,103.9923806271709
12,2012-01-20,105.3608850314293
13,2012-01-23,104.80076762370754
14,2012-01-24,105.02763503104974
15,2012-01-25,107.02230748978639
16,2012-01-26,107.18206857464126
17,2012-01-27,108.54431937628482
18,2012-01-30,108.24950357174502
19,2012-01-31,108.2416453291961
20,2012-02-01,111.00430980338194
21,2012-02-02,112.04815160518702
22,2012-02-03,115.35082366323216
23,2012-02-06,113.31924151832646
24,2012-02-07,113.98882309864295
25,2012-02-08,115.49786941301302
26,2012-02-09,116.23232142815384
27,2012-02-10,115.42763848463778
28,2012-02-13,115.70902110891228
29,2012-02-14,107.76839818963245
30,2012-02-15,107.98063348162906
31,2012-02-16,108.29476665955333
32,2012-02-17,108.87503760811856
33,2012-02-21,108.98577075573819
34,2012-02-22,107.26797131747956
35,2012-02-23,107.3075947718719
36,2012-02-24,106.87535659214566
37,2012-02-27,106.64653656045132
38,2012-02-28,107.31681421968882
39,2012-02-29,107.02451821119884
40,2012-03-01,106.87678806379269
41,2012-03-02,106.72095425899472
42,2012-03-05,107.1530018803152
43,2012-03-06,106.26562643175843
44,2012-03-07,107.24491566552034
45,2012-03-08,107.69186539016712
46,2012-03-09,108.02421140809108
47,2012-03-12,107.78499083082457
48,2012-03-13,108.51837330687974
49,2012-03-14,108.46500001075226
50,2012-03-15,109.35094308542281
51,2012-03-16,108.72034549200127
52,2012-03-19,109.10908854593988
53,2012-03-20,108.35424006668144
54,2012-03-21,108.06872027489362
55,2012-03-22,107.8554995846582
56,2012-03-23,107.30538291282804
57,2012-03-26,109.04045262446137
58,2012-03-27,108.50523897276501
59,2012-03-28,108.46040126076467
60,2012-03-29,108.23368335560508
61,2012-03-30,108.25442941654049
62,2012-04-02,108.72324192514391
63,2012-04-03,108.43238633287942
64,2012-04-04,107.45242422125237
65,2012-04-05,107.1445570536611
66,2012-04-09,106.73175458155643
67,2012-04-10,105.528734092519
68,2012-04-11,106.46678476659964
69,2012-04-12,107.30436051236461
70,2012-04-13,106.95112975237556
71,2012-04-16,106.60286964482819
72,2012-04-17,106.53633554342333
73,2012-04-18,106.21422054909401
74,2012-04-19,105.722107249339
75,2012-04-20,106.18218975039328
76,2012-04-23,105.96952184272577
77,2012-04-24,105.76017868307564
78,2012-04-25,106.57143517285445
79,2012-04-26,107.3745830520583
80,2012-04-27,106.41782988207297
81,2012-04-30,106.00377735555391
82,2012-05-01,106.58167556897901
83,2012-05-02,106.5492285144095
84,2012-05-03,106.12435018436028
85,2012-05-04,106.13497130556563
