,ticker,date,MV_pred,MV,close
1575,CAKE,2012-01-03,1933770.21,1638369.99,
1574,CAKE,2012-01-04,1946412.01,1602836.44,
1573,CAKE,2012-01-05,1969801.3,1590809.7000000002,
1572,CAKE,2012-01-06,1983342.87,1601196.43,
1571,CAKE,2012-01-09,1960817.58,1607756.47,
1570,CAKE,2012-01-10,1958974.0,1625796.5799999998,
1569,CAKE,2012-01-11,1994031.24,1577689.6199999999,
1568,CAKE,2012-01-12,1984388.22,1589169.69,
1567,CAKE,2012-01-13,1952842.12,1595183.06,
1566,CAKE,2012-01-17,1986521.45,1595729.73,
1565,CAKE,2012-01-18,1982630.52,1599556.4200000002,
1564,CAKE,2012-01-19,1960822.21,1640556.6700000002,
1563,CAKE,2012-01-20,1984676.44,1636183.31,
1562,CAKE,2012-01-23,1984801.46,1633996.6300000001,
1561,CAKE,2012-01-24,1984076.49,1586983.01,
1560,CAKE,2012-01-25,1976964.12,1599556.4200000002,
1559,CAKE,2012-01-26,1983985.1,1640556.6700000002,
1558,CAKE,2012-01-27,1971336.19,1624156.57,
1557,CAKE,2012-01-30,1958949.79,1618689.8699999999,
1556,CAKE,2012-01-31,1987080.18,1648756.72,
1555,CAKE,2012-02-01,1956342.19,1630169.94,
1554,CAKE,2012-02-02,1952744.09,1656956.77,
1553,CAKE,2012-02-03,1989830.64,1672810.2000000002,
1552,CAKE,2012-02-06,1974934.76,1688116.96,
1551,CAKE,2012-02-07,1996460.63,1676090.22,
1550,CAKE,2012-02-08,1998644.36,1683196.93,
1549,CAKE,2012-02-09,1967051.5,1702877.0499999998,
1548,CAKE,2012-02-10,1998710.87,1690303.6400000001,
1547,CAKE,2012-02-13,1990975.58,1715450.46,
1546,CAKE,2012-02-14,1999103.76,1699050.3599999999,
1545,CAKE,2012-02-15,1994843.98,1709437.09,
1544,CAKE,2012-02-16,1979372.49,1708343.75,
1543,CAKE,2012-02-17,1978189.17,1717637.1400000001,
1542,CAKE,2012-02-21,1984817.38,1758090.7199999997,
1541,CAKE,2012-02-22,1963416.48,1663516.81,
1540,CAKE,2012-02-23,1952596.6,1603929.78,
1539,CAKE,2012-02-24,1981178.8,1609396.48,
1538,CAKE,2012-02-27,1971117.1,1583156.32,
1537,CAKE,2012-02-28,1987542.7,1595183.06,
1536,CAKE,2012-02-29,1995977.03,1624328.28,
1535,CAKE,2012-03-01,1942150.64,1635801.84,
1534,CAKE,2012-03-02,2000895.27,1631430.96,
1533,CAKE,2012-03-05,1973197.9,1603566.6,
1532,CAKE,2012-03-06,1969661.72,1615586.52,
1531,CAKE,2012-03-07,1969158.89,1625421.0,
1530,CAKE,2012-03-08,1976940.77,1670768.88,
1529,CAKE,2012-03-09,1976137.34,1685520.6,
1528,CAKE,2012-03-12,1992718.91,1680603.36,
1527,CAKE,2012-03-13,2000132.22,1682242.44,
1526,CAKE,2012-03-14,1977009.66,1688798.76,
1525,CAKE,2012-03-15,1996347.9,1690437.84,
1524,CAKE,2012-03-16,1973071.9,1717209.48,
1523,CAKE,2012-03-19,1996259.66,1698086.88,
