,date,open,high,low,close,volume
0,2012-01-03,28.48,28.5,27.61,100.0,148164
1,2012-01-04,27.71,28.37,27.4,101.90441969098096,114501
2,2012-01-05,28.16,29.08,27.36,103.12612288896875,228242
3,2012-01-06,28.73,29.08,28.23,103.701042040963,42830
4,2012-01-09,28.79,30.15,28.74,106.57563780093425,166706
5,2012-01-10,30.08,30.08,28.94,104.31189363995689,87836
6,2012-01-11,28.78,29.33,28.78,105.10240747394899,92888
7,2012-01-12,29.22,29.49,29.17,105.06647502694935,140959
8,2012-01-13,28.92,30.99,28.92,110.09701760689903,277997
9,2012-01-17,30.85,30.93,29.79,107.43801652892563,139413
10,2012-01-18,29.9,30.87,29.74,110.600071864894,112745
11,2012-01-19,30.77,30.95,29.96,108.69565217391305,87701
12,2012-01-20,30.15,31.0,30.13,110.56413941789437,192188
13,2012-01-23,30.71,31.45,30.69,110.77973409989221,132730
14,2012-01-24,30.73,31.41,30.57,111.85770750988144,98247
15,2012-01-25,31.19,31.75,30.82,112.07330219187928,102294
16,2012-01-26,31.27,31.38,30.89,111.46245059288539,117973
17,2012-01-27,30.88,31.59,30.77,113.18720804886813,160870
18,2012-01-30,31.16,31.16,30.69,111.24685591088753,129422
19,2012-01-31,31.08,31.08,30.57,110.34854473589652,101512
20,2012-02-01,31.01,31.92,30.53,114.4807761408552,236973
21,2012-02-02,31.86,32.31,31.32,115.52281710384477,256395
22,2012-02-03,32.57,32.84,32.4,117.17570966582825,119634
23,2012-02-06,32.65,32.76,32.1,115.702479338843,63957
24,2012-02-07,32.17,32.86,32.1,117.21164211282787,66459
25,2012-02-08,32.58,33.36,32.28,119.33165648580669,120984
26,2012-02-09,33.29,33.84,33.03,121.30794107078692,168570
27,2012-02-10,33.32,34.1,32.91,120.08623787279915,133175
28,2012-02-13,33.71,33.93,33.26,119.9425080848006,99662
29,2012-02-14,33.31,33.33,32.53,118.03808839381962,187796
30,2012-02-15,32.93,33.84,32.63,119.22385914480778,168627
31,2012-02-16,34.2,34.5,31.14,119.22385914480778,689534
32,2012-02-17,33.39,35.06,33.33,125.72763205174273,283091
33,2012-02-21,35.63,36.18,35.01,127.41645706072585,402669
34,2012-02-22,35.32,35.46,34.73,124.93711821775065,173018
35,2012-02-23,34.69,35.12,34.5,124.57779374775423,325842
36,2012-02-24,34.7,35.2,34.35,123.46388789076536,265974
37,2012-02-27,34.31,34.94,34.2,123.17642831476824,297411
38,2012-02-28,34.5,34.9,34.12,124.39813151275601,257674
39,2012-02-29,34.65,34.86,34.24,123.64355012576355,187573
40,2012-03-01,34.57,35.4,34.4,123.64355012576355,258223
41,2012-03-02,34.39,35.03,34.36,125.26051024074741,212642
42,2012-03-05,34.7,35.11,34.51,125.51203736974489,235665
43,2012-03-06,34.49,34.65,33.7,121.52353575278477,162835
44,2012-03-07,33.95,34.68,33.54,124.14660438375853,134463
45,2012-03-08,34.68,35.16,34.42,124.75745598275243,201621
46,2012-03-09,34.67,35.25,34.5,126.26661875673734,216733
47,2012-03-12,35.21,35.27,34.79,125.18864534674813,100693
48,2012-03-13,35.15,36.08,34.71,128.56629536471434,284502
49,2012-03-14,35.77,37.0,35.69,131.11749910168882,298469
50,2012-03-15,36.4,37.51,36.17,133.88429752066116,337302
51,2012-03-16,37.36,37.6,36.88,132.95005389867052,229602
52,2012-03-19,36.84,37.98,36.54,135.8605821056414,252245
53,2012-03-20,37.47,37.47,36.8,132.95005389867052,214153
54,2012-03-21,36.99,37.41,36.88,133.0219187926698,122045
55,2012-03-22,36.67,36.96,36.5,132.1236076176788,115369
56,2012-03-23,36.61,36.61,35.9,131.29716133668703,141725
57,2012-03-26,36.84,37.62,36.55,134.9622709306504,98769
58,2012-03-27,37.43,37.5,37.02,133.34531081566655,124763
59,2012-03-28,37.35,37.8,37.08,135.71685231764286,263714
60,2012-03-29,37.43,37.77,37.19,135.35752784764642,133177
61,2012-03-30,37.93,37.95,36.66,133.63277039166368,282754
62,2012-04-02,37.05,37.74,36.77,134.13582464965864,242669
63,2012-04-03,37.28,37.46,36.85,133.2734459216673,307559
64,2012-04-04,36.74,36.74,35.66,130.1113905856989,295865
65,2012-04-05,36.12,36.21,35.69,129.35680919870643,284184
66,2012-04-09,35.53,35.81,34.72,127.73984908372259,257134
67,2012-04-10,35.54,35.54,34.16,123.46388789076536,280736
68,2012-04-11,34.81,35.48,34.7,126.73374056773268,269037
69,2012-04-12,35.25,36.12,34.91,129.10528206970895,135669
70,2012-04-13,35.75,36.07,35.5,128.02730865971975,92296
71,2012-04-16,35.87,35.87,34.91,125.799496945742,154683
72,2012-04-17,35.23,35.45,34.86,125.29644268774703,152648
73,2012-04-18,34.66,34.98,34.4,124.18253683075818,110304
74,2012-04-19,34.64,34.94,34.0,122.7811713977722,127500
75,2012-04-20,34.65,35.6,34.36,127.09306503772906,220947
76,2012-04-23,34.95,35.16,34.34,124.46999640675531,153624
77,2012-04-24,34.56,35.1,33.84,122.63744160977365,335834
78,2012-04-25,34.41,35.35,34.12,124.57779374775423,113610
79,2012-04-26,34.67,35.28,34.51,125.40424002874596,110805
80,2012-04-27,34.95,35.02,34.26,125.3323751347467,93177
81,2012-04-30,34.61,35.77,34.5,128.13510600071865,252140
82,2012-05-01,36.26,37.49,36.19,130.07545813869928,425318
83,2012-05-02,35.91,36.26,35.64,129.10528206970895,142032
84,2012-05-03,35.82,36.09,35.06,127.52425440172476,180446
85,2012-05-04,35.36,35.39,34.39,126.41034854473591,192874
86,2012-05-07,35.17,35.51,34.79,126.62594322673375,163654
87,2012-05-08,34.99,35.18,34.36,123.7513474667625,177553
88,2012-05-09,34.01,34.85,33.85,124.25440172475746,146186
89,2012-05-10,34.67,35.09,34.36,125.40424002874596,133324
90,2012-05-11,34.53,35.27,34.29,126.26661875673734,135743
91,2012-05-14,34.68,35.18,34.47,125.29644268774703,217832
92,2012-05-15,35.02,36.29,34.66,130.21918792669783,407750
93,2012-05-16,36.49,37.08,35.61,128.45849802371544,355278
94,2012-05-17,31.52,32.5,30.25,109.70176068990298,1433173
95,2012-05-18,30.43,31.25,30.0,109.48616600790514,392249
96,2012-05-21,30.58,32.43,30.2,115.05569529284946,390467
97,2012-05-22,32.17,32.98,31.8,115.41501976284584,236476
98,2012-05-23,31.98,32.38,31.37,115.09162773984909,170971
99,2012-05-24,32.01,32.39,31.64,115.702479338843,159094
100,2012-05-25,32.23,33.07,32.0,116.45706072583542,181437
101,2012-05-29,32.62,32.81,32.26,116.4211282788358,189181
102,2012-05-30,32.15,32.39,31.88,114.91196550485088,294091
103,2012-05-31,31.88,32.05,31.61,114.98383039885017,281638
104,2012-06-01,31.49,31.68,30.6,111.17499101688826,212236
105,2012-06-04,31.04,31.04,29.93,109.30650377290694,184866
106,2012-06-05,30.45,31.63,30.3,112.7200862378728,237968
107,2012-06-06,31.53,32.21,31.42,113.86992454186131,147051
108,2012-06-07,31.99,32.11,30.86,111.49838303988503,160270
109,2012-06-08,30.05,30.95,30.0,109.95328781890048,263730
