,close,date
0,100.0,2012-01-03
1,100.0,2012-01-04
2,100.0,2012-01-05
3,100.0,2012-01-06
4,100.0,2012-01-09
5,100.0,2012-01-10
6,100.0,2012-01-11
7,100.0,2012-01-12
8,100.0,2012-01-13
9,100.0,2012-01-17
10,100.0,2012-01-18
11,100.0,2012-01-19
12,100.0,2012-01-20
13,100.0,2012-01-23
14,100.0,2012-01-24
15,100.0,2012-01-25
16,100.0,2012-01-26
17,100.0,2012-01-27
18,100.0,2012-01-30
19,100.0,2012-01-31
20,100.0,2012-02-01
21,100.0,2012-02-02
22,100.0,2012-02-03
23,100.0,2012-02-06
24,100.0,2012-02-07
25,100.0,2012-02-08
26,100.0,2012-02-09
27,100.0,2012-02-10
28,100.0,2012-02-13
29,100.0,2012-02-14
30,100.0,2012-02-15
31,100.0,2012-02-16
32,100.0,2012-02-17
33,100.0,2012-02-21
34,100.0,2012-02-22
35,100.0,2012-02-23
36,100.0,2012-02-24
37,100.0,2012-02-27
38,100.0,2012-02-28
39,100.0,2012-02-29
40,100.0,2012-03-01
41,100.0,2012-03-02
42,100.0,2012-03-05
43,100.0,2012-03-06
44,100.0,2012-03-07
45,100.0,2012-03-08
46,100.0,2012-03-09
47,100.0,2012-03-12
48,100.0,2012-03-13
49,100.0,2012-03-14
50,100.0,2012-03-15
51,100.0,2012-03-16
52,100.0,2012-03-19
53,100.0,2012-03-20
54,100.0,2012-03-21
55,100.0,2012-03-22
56,100.0,2012-03-23
57,100.0,2012-03-26
58,100.0,2012-03-27
59,100.0,2012-03-28
60,100.0,2012-03-29
61,100.0,2012-03-30
62,100.0,2012-04-02
63,100.0,2012-04-03
64,100.0,2012-04-04
65,100.0,2012-04-05
66,100.0,2012-04-09
67,100.0,2012-04-10
68,100.0,2012-04-11
69,100.0,2012-04-12
70,100.0,2012-04-13
71,100.0,2012-04-16
72,100.0,2012-04-17
73,100.0,2012-04-18
74,100.0,2012-04-19
75,100.0,2012-04-20
76,100.0,2012-04-23
77,100.0,2012-04-24
78,100.0,2012-04-25
79,100.0,2012-04-26
80,100.0,2012-04-27
81,100.0,2012-04-30
82,100.0,2012-05-01
83,100.0,2012-05-02
84,100.0,2012-05-03
85,100.0,2012-05-04
86,100.0,2012-05-07
87,100.0,2012-05-08
88,100.0,2012-05-09
89,100.0,2012-05-10
90,100.0,2012-05-11
91,100.0,2012-05-14
92,100.0,2012-05-15
93,100.0,2012-05-16
94,100.0,2012-05-17
95,100.0,2012-05-18
96,100.0,2012-05-21
97,100.0,2012-05-22
98,100.0,2012-05-23
99,100.0,2012-05-24
100,100.0,2012-05-25
101,100.0,2012-05-29
102,100.0,2012-05-30
103,100.0,2012-05-31
104,100.0,2012-06-01
105,100.0,2012-06-04
106,100.0,2012-06-05
107,100.0,2012-06-06
108,100.0,2012-06-07
109,100.0,2012-06-08
110,100.0,2012-06-11
111,100.0,2012-06-12
112,100.0,2012-06-13
113,100.0,2012-06-14
114,100.0,2012-06-15
115,100.0,2012-06-18
116,100.0,2012-06-19
117,100.0,2012-06-20
118,100.0,2012-06-21
119,100.0,2012-06-22
120,100.0,2012-06-25
121,100.0,2012-06-26
122,100.0,2012-06-27
123,100.0,2012-06-28
124,100.0,2012-06-29
125,100.0,2012-07-02
126,100.0,2012-07-03
127,100.0,2012-07-05
128,100.0,2012-07-06
129,100.0,2012-07-09
130,100.0,2012-07-10
131,100.0,2012-07-11
132,100.0,2012-07-12
133,100.0,2012-07-13
134,100.0,2012-07-16
135,100.0,2012-07-17
136,100.0,2012-07-18
137,100.0,2012-07-19
138,100.0,2012-07-20
139,100.0,2012-07-23
140,100.0,2012-07-24
141,100.0,2012-07-25
142,100.0,2012-07-26
143,100.0,2012-07-27
144,100.0,2012-07-30
145,100.0,2012-07-31
146,100.0,2012-08-01
147,100.0,2012-08-02
148,100.0,2012-08-03
149,100.0,2012-08-06
150,100.0,2012-08-07
151,100.0,2012-08-08
152,108.70265914585012,2012-08-09
153,103.62610797743756,2012-08-10
154,104.02900886381948,2012-08-13
155,104.19016921837229,2012-08-14
156,104.51248992747783,2012-08-15
157,102.90088638195004,2012-08-16
158,105.23771152296537,2012-08-17
159,104.75423045930702,2012-08-20
160,107.49395648670426,2012-08-21
161,107.41337630942787,2012-08-22
162,104.75423045930702,2012-08-23
163,103.86784850926671,2012-08-24
164,103.06204673650282,2012-08-27
165,103.46494762288475,2012-08-28
166,104.9153908138598,2012-08-29
167,105.15713134568895,2012-08-30
168,104.59307010475422,2012-08-31
169,108.38033843674457,2012-09-04
170,111.68412570507655,2012-09-05
171,116.116035455278,2012-09-06
172,116.43835616438356,2012-09-07
173,116.19661563255438,2012-09-10
174,116.35777598710717,2012-09-11
175,116.43835616438356,2012-09-12
176,114.82675261885578,2012-09-13
177,116.0354552780016,2012-09-14
178,121.27316680096696,2012-09-17
179,121.67606768734892,2012-09-18
180,121.67606768734892,2012-09-19
181,123.20709105560032,2012-09-20
182,128.68654311039484,2012-09-21
183,126.91377921031426,2012-09-24
184,122.64302981466558,2012-09-25
185,120.78968573730862,2012-09-26
186,127.477840451249,2012-09-27
