,date,adj_close,adj_factor,adj_high,adj_low,adj_open,volume,close,ex_dividend,high,low,open,split_ratio,volume
0,2018-04-20,74.09,1.0,74.59,73.42,73.87,331575.0,74.09,0.0,74.59,73.42,73.87,1.0,331575.0
1,2018-04-19,74.03,1.0,74.54,73.38,73.95,195004.0,74.03,0.0,74.54,73.38,73.95,1.0,195004.0
2,2018-04-18,74.07,1.0,75.67,72.99,72.99,271042.0,74.07,0.0,75.67,72.99,72.99,1.0,271042.0
3,2018-04-17,72.89,1.0,74.18,72.27,73.9,208515.0,72.89,0.0,74.18,72.27,73.9,1.0,208515.0
4,2018-04-16,73.61,1.0,74.99,72.5,72.5,269527.0,73.61,0.0,74.99,72.5,72.5,1.0,269527.0
5,2018-04-13,71.94,1.0,72.41,71.2,72.25,259780.0,71.94,0.0,72.41,71.2,72.25,1.0,259780.0
6,2018-04-12,72.01,1.0,73.14,71.5,71.53,237440.0,72.01,0.0,73.14,71.5,71.53,1.0,237440.0
7,2018-04-11,71.27,1.0,71.38,70.11,70.95,177144.0,71.27,0.0,71.38,70.11,70.95,1.0,177144.0
8,2018-04-10,71.17,1.0,71.49,70.3909,71.49,263890.0,71.17,0.0,71.49,70.3909,71.49,1.0,263890.0
9,2018-04-09,70.64,1.0,72.25,70.5,71.86,260302.0,70.64,0.0,72.25,70.5,71.86,1.0,260302.0
10,2018-04-06,71.69,1.0,72.959,70.36,70.36,493414.0,71.69,0.0,72.959,70.36,70.36,1.0,493414.0
11,2018-04-05,70.51,1.0,70.75,69.31,70.73,225907.0,70.51,0.0,70.75,69.31,70.73,1.0,225907.0
12,2018-04-04,70.5,1.0,70.75,66.51,66.72,623441.0,70.5,0.0,70.75,66.51,66.72,1.0,623441.0
13,2018-04-03,67.55,1.0,67.74,64.41,64.82,330105.0,67.55,0.0,67.74,64.41,64.82,1.0,330105.0
14,2018-04-02,64.38,1.0,66.37,64.26,65.45,367075.0,64.38,0.0,66.37,64.26,65.45,1.0,367075.0
15,2018-03-29,65.58,1.0,66.51,64.905,65.45,281408.0,65.58,0.0,66.51,64.905,65.45,1.0,281408.0
16,2018-03-28,65.28,1.0,66.095,64.57,64.99,339037.0,65.28,0.0,66.095,64.57,64.99,1.0,339037.0
17,2018-03-27,65.01,1.0,66.93,64.76,66.72,279310.0,65.01,0.0,66.93,64.76,66.72,1.0,279310.0
18,2018-03-26,66.54,1.0,66.6,64.85,66.05,448610.0,66.54,0.0,66.6,64.85,66.05,1.0,448610.0
19,2018-03-23,65.53,1.0,67.87,65.1,66.96,368533.0,65.53,0.0,67.87,65.1,66.96,1.0,368533.0
20,2018-03-22,66.98,1.0,68.0716,65.045,65.13,642240.0,66.98,0.0,68.0716,65.045,65.13,1.0,642240.0
21,2018-03-21,65.21,1.0,66.53,65.03,65.3,299326.0,65.21,0.0,66.53,65.03,65.3,1.0,299326.0
22,2018-03-20,65.37,1.0,66.72,64.86,65.97,415146.0,65.37,0.0,66.72,64.86,65.97,1.0,415146.0
