,date,MV_pred,close
0,2012-01-03,3945549.54,
1,2012-01-04,3949260.55,
2,2012-01-05,3989541.4,
3,2012-01-06,3704967.36,
4,2012-01-09,3885346.87,
5,2012-01-10,3714177.11,
6,2012-01-11,3936590.9,
7,2012-01-12,3983810.9,
8,2012-01-13,3984486.26,
9,2012-01-17,3679707.73,
10,2012-01-18,4046086.13,
11,2012-01-19,3871179.93,
12,2012-01-20,3947146.06,
13,2012-01-23,3925843.61,
14,2012-01-24,3931827.47,
15,2012-01-25,3984315.73,
16,2012-01-26,3986474.11,
17,2012-01-27,3966184.66,
18,2012-01-30,3999231.22,
19,2012-01-31,3981684.54,
20,2012-02-01,3864639.58,
21,2012-02-02,3895396.39,
22,2012-02-03,3709374.13,
23,2012-02-06,4014867.56,
24,2012-02-07,3903127.7,
25,2012-02-08,4001585.35,
26,2012-02-09,3950407.25,
27,2012-02-10,3984084.23,
28,2012-02-13,3868570.49,
29,2012-02-14,3997233.67,
30,2012-02-15,3879796.4,
31,2012-02-16,3960950.27,
32,2012-02-17,3735278.04,
33,2012-02-21,3993101.06,
34,2012-02-22,3945827.41,
35,2012-02-23,3862133.83,
36,2012-02-24,4017602.74,
37,2012-02-27,3673542.86,
38,2012-02-28,3707516.74,
39,2012-02-29,3920936.0,
40,2012-03-01,3993867.69,
41,2012-03-02,3746258.39,
42,2012-03-05,3921387.51,
43,2012-03-06,3966906.29,
44,2012-03-07,3588498.38,
45,2012-03-08,3842881.96,
46,2012-03-09,3968854.64,
47,2012-03-12,3723274.54,
48,2012-03-13,3872011.43,
49,2012-03-14,3868692.3,
50,2012-03-15,3707736.13,
51,2012-03-16,4007297.37,
52,2012-03-19,3991148.94,
53,2012-03-20,3949418.38,
54,2012-03-21,3928828.76,
55,2012-03-22,3879562.24,
56,2012-03-23,3652963.92,
57,2012-03-26,3696646.04,
58,2012-03-27,3855837.8,
59,2012-03-28,3745496.42,98.51054990175084
60,2012-03-29,3955346.87,98.514688459173
61,2012-03-30,3706362.41,98.41208418840435
62,2012-04-02,3861763.59,98.35810868651097
63,2012-04-03,3732397.44,98.36969561490625
64,2012-04-04,3970482.74,98.4056584421951
65,2012-04-05,3952905.55,98.50650136136254
66,2012-04-09,3718975.9,98.4145771153254
67,2012-04-10,3861191.4,98.36278057057
68,2012-04-11,3951323.92,98.3487722388772
69,2012-04-12,3934005.09,98.45619173241963
70,2012-04-13,3935570.33,98.40950799467088
71,2012-04-16,3961027.11,98.44746095875912
72,2012-04-17,3904469.48,98.42943365163441
73,2012-04-18,3845454.71,98.39547602453034
74,2012-04-19,3580693.97,98.24715131232814
75,2012-04-20,3721325.19,98.13605967294482
76,2012-04-23,3964834.12,98.12691857621435
77,2012-04-24,3847034.88,98.07658769970313
78,2012-04-25,3956203.95,98.0584122552081
79,2012-04-26,3711488.1,97.9442767221386
80,2012-04-27,3761073.3,97.90052857884025
81,2012-04-30,3535577.5,97.74853501142455
82,2012-05-01,3443929.41,97.63640668501994
83,2012-05-02,3511046.52,97.42358418087433
84,2012-05-03,3769937.83,97.36732253356357
85,2012-05-04,3782913.37,97.27495180134865
86,2012-05-07,3825946.85,97.22237762938678
87,2012-05-08,3761077.32,97.12817574963209
88,2012-05-09,3835908.38,97.11437872352758
89,2012-05-10,3777145.83,97.02140990817044
90,2012-05-11,3426801.51,96.83005722695854
91,2012-05-14,3684485.49,96.71327384135864
92,2012-05-15,3698849.52,96.69788582015033
93,2012-05-16,3773961.32,96.60531749822275
94,2012-05-17,3744511.48,96.52027825423444
95,2012-05-18,3788904.17,96.48934481084562
96,2012-05-21,3838102.08,96.41352070481585
97,2012-05-22,3711311.56,96.42947484065806
98,2012-05-23,3754258.56,96.4492193737183
99,2012-05-24,3756547.85,96.37977904678225
100,2012-05-25,3781530.21,96.29008411419753
101,2012-05-29,3699216.61,96.27021287297453
102,2012-05-30,3732203.85,96.19029850444274
103,2012-05-31,3351838.42,95.93048346314772
104,2012-06-01,3449430.54,95.87173886217805
105,2012-06-04,3670758.78,95.79903112812013
106,2012-06-05,3300139.97,95.51655477376165
107,2012-06-06,3535644.36,95.43729662138101
108,2012-06-07,3747819.79,95.38483597817573
109,2012-06-08,3497515.08,95.22804446061187
110,2012-06-11,3512069.5,95.14539157621797
111,2012-06-12,3530928.16,94.94416518803446
112,2012-06-13,3180969.22,94.6019316107738
113,2012-06-14,3512235.73,94.41725828640845
114,2012-06-15,3268953.71,94.13851593661654
115,2012-06-18,3480354.92,93.96988403209018
116,2012-06-19,3247475.48,93.79859887654587
117,2012-06-20,3219478.35,93.59703519694413
118,2012-06-21,3130472.77,93.2906287751237
119,2012-06-22,3492855.64,93.18390904891119
120,2012-06-25,3444752.2,92.96822524921757
121,2012-06-26,3486127.07,92.87519412737288
122,2012-06-27,3235645.32,92.61071121075489
123,2012-06-28,3572937.53,92.5433526555087
124,2012-06-29,3565688.07,92.3723605601127
125,2012-07-02,3575412.66,92.21290119702822
126,2012-07-03,3590333.98,92.15856068049779
127,2012-07-05,3574489.95,92.0374531528503
128,2012-07-06,3601697.02,91.88976485389665
129,2012-07-09,3346406.34,91.64155323215131
130,2012-07-10,3487836.66,91.45242297899692
131,2012-07-11,3626365.2,91.31105614420107
132,2012-07-12,3580995.08,91.17441510230454
133,2012-07-13,3554558.36,91.05153557815086
134,2012-07-16,3573209.02,91.04837380903855
135,2012-07-17,3540247.31,90.97188345868126
136,2012-07-18,3488038.66,90.77047701530911
137,2012-07-19,3491854.82,90.62044296791842
138,2012-07-20,3259117.01,90.32598168821879
139,2012-07-23,3312326.89,90.15736926133405
140,2012-07-24,3308794.22,89.96631895033816
141,2012-07-25,3402748.31,89.91020966034219
142,2012-07-26,3073989.92,89.75394098080442
143,2012-07-27,3226603.64,89.63378751121532
144,2012-07-30,3214647.65,89.39922357431608
145,2012-07-31,3044303.34,89.08722224112115
146,2012-08-01,3128868.03,88.79276439144647
147,2012-08-02,2863374.47,88.41355956801225
148,2012-08-03,3208321.18,88.14845615058901
149,2012-08-06,3171290.06,87.89253245569438
150,2012-08-07,3135772.36,87.76959683458105
151,2012-08-08,2943078.92,87.45641419572698
152,2012-08-09,3173913.41,87.23467232991158
153,2012-08-10,3217417.43,86.99957880476475
154,2012-08-13,3145446.19,86.7465235231423
155,2012-08-14,2801696.06,86.32951016839426
156,2012-08-15,3147360.38,86.03772922508195
157,2012-08-16,3182192.56,85.81422043598688
158,2012-08-17,3241346.01,85.59755752469063
159,2012-08-20,3527576.64,85.50083622402909
160,2012-08-21,2945237.06,85.14757189353821
161,2012-08-22,3325949.26,84.98989746981268
162,2012-08-23,3348924.56,84.82799383378162
163,2012-08-24,3326210.41,84.81716813014592
164,2012-08-27,3424727.83,84.80673328883523
165,2012-08-28,3349488.44,84.67102327905377
166,2012-08-29,3245523.73,84.64795245818488
167,2012-08-30,3309066.39,84.5522421024609
168,2012-08-31,3371591.27,84.39331683058778
169,2012-09-04,3114592.13,84.23156371858234
170,2012-09-05,3335353.27,84.15691580274347
171,2012-09-06,3014238.45,83.9386573553621
172,2012-09-07,3328568.0,84.0010055692605
173,2012-09-10,3226617.5,83.88035561200932
174,2012-09-11,3306367.12,83.89615966736365
175,2012-09-12,3225904.84,83.78867566231763
176,2012-09-13,3302655.77,83.8119847474191
177,2012-09-14,3360986.79,83.87176029898905
178,2012-09-17,3103442.55,83.86034227820134
179,2012-09-18,3066106.21,83.68007612191833
180,2012-09-19,3435374.2,83.67611469656008
181,2012-09-20,3395878.26,83.63799207718642
182,2012-09-21,3170119.18,83.61031273056408
183,2012-09-24,3378678.91,83.52825461334001
184,2012-09-25,3153370.18,83.35408458293826
185,2012-09-26,3309295.18,83.24167207136367
186,2012-09-27,3318798.39,83.12697085874966
187,2012-09-28,3423335.83,83.06312080927509
188,2012-10-01,3372563.38,82.96633089544221
189,2012-10-02,3328320.86,82.9586912836819
190,2012-10-03,3482842.99,82.95658187325657
191,2012-10-04,3424435.73,82.87128345962502
192,2012-10-05,3406220.69,82.79745580975093
193,2012-10-08,3155648.05,82.62894936725756
