Rating,Number Of Ratings,Address
4.3/5,932 ratings,"5043 Tuttle Crossing Blvd, Dublin, OH 43016, USA"
Pub Mac & Cheese,$7.99,Entrées, 
Shrimp & Slaw Platter,$12.49,Entrées,"There are plenty of fish in the sea, so try this combo instead: Crispy golden shrimp and coleslaw served with Steak Fries® and cocktail sauce."
Clucks & Fries,$10.89,Entrées,Crispy chicken tenders and Bottomless Steak Fries® cooked to perfection.
Clucks & Shrimp,$12.89,Entrées,Fried chicken tenders and crispy shrimp docked alongside coleslaw and Steak Fries®. Try it with ranch and cocktail sauce for dipping.
Ensenada Chicken™ Platter,$12.79,Entrées,"Two fire-grilled chicken breasts basted with authentic Mexican seasonings, topped with fresh salsa and creamy salsa-ranch. Served with a side salad."
Ensenada Chicken™ Platter (Single Chicken Breast),$10.39,Entrées, 
Prime Rib Dip,$14.79,Entrées,"Tender sliced prime rib on a cheesy baguette with caramelized onions, horseradish sauce, Provolone and au jus (which is just a fancy word for delicious) for dipping. Served with coleslaw and Steak Fries®."
Arctic Cod Fish & Chips,$13.59,Entrées,"Premium hand-battered cod fillets, fried to crispy perfection, with our Bottomless Steak Fries®. Served with dill’d and pickle’d tartar sauce. Round out this British
favorite with a pint of ale, old chap!"
Clucks Buzz,$10.89,Entrées,Our classic clucks tossed in Buzz sauce and served with fries.
Searious Salmon,$13.69,Entrées,A perfectly pan-seared 6-oz. salmon fillet served with bottomless steamed broccoli and house-made coleslaw.
Citrus Harissa Salmon,$14.79,Entrées, 
Shrimp & Cod Duo,$13.99,Entrées,Premium Hand Battered cod fillets and golden shrimp served with coleslaw and bottomless steak fries plus cocktail sauce and dill'd and pickle'd tarter sauce for dipping.
