Rating,Number Of Ratings,Address
4.4/5,988 ratings,"6331 Seven Corners Center, Falls Church, VA 22044, USA"
BLTA Croissant,$11.19,Wraps & Sandwiches,"Correct pronunciation not required! You’ll get enough of a mouthful with this delicious combination of turkey breast, hardwood-smoked bacon, mayo and, of course, lettuce, tomato and avocado."
Whiskey River BBQ Chicken Wrap,$10.89,Wraps & Sandwiches,"We corralled the renegade flavors of the Southwest into a tasty spinach tortilla: grilled chicken with tangy Whiskey River® BBQ sauce, Cheddar cheese, lettuce, tortilla strips and a touch of ranch. Brace for the stampede!"
Caesar's Chicken Wrap,$10.89,Wraps & Sandwiches,"A natural leader, this wrap rules with sliced, grilled chicken breast, Parmesan, tomatoes, romaine lettuce and Caesar dressing wrapped in a fresh spinach tortilla."
Souper Sandwich Combo,$12.19,Wraps & Sandwiches,Choose your favorite wrap or sandwich and combine it with a cup of any of our savory soups.
Crispy Chicken Burger,$10.89,Other Fun on a Bun,"The only things that could top this burger are pickles, tomatoes, lettuce, onion and mayo."
Whiskey River BBQ Chicken,$11.29,Other Fun on a Bun,"Grilled chicken breast basted with our bourbon-infused Whiskey River® BBQ sauce and topped with melted Cheddar, crispy onion straws, lettuce, tomatoes and mayo. It's only found around these here parts."
Teriyaki Chicken,$10.99,Other Fun on a Bun,"Channel your inner ninja with this perfectly grilled chicken breast, teriyaki, grilled pineapple, melted Swiss, lettuce, tomatoes and mayo."
California Chicken,$11.59,Other Fun on a Bun,"We dressed up our grilled chicken breast in guacamole, bacon, Provolone, lettuce, tomatoes, pickles and mayo for its Hollywood debut. Bites, camera, action!"
Simply Grilled Chicken,$9.69,Other Fun on a Bun,"A perfectly grilled chicken breast served on a sesame bun with lettuce, tomatoes, pickles and onions on the side."
Bruschetta Chicken,$11.29,Other Fun on a Bun,"Take a culinary trip through the Italian countryside with a perfectly grilled chicken breast topped with fresh bruschetta salsa, roasted garlic aioli, Provolone and romaine lettuce on rustic ciabatta. It’s a true Renaissance burger."
Crispy Arctic Cod,$10.99,Other Fun on a Bun,"Rock the burger boat with this deliciously fresh and crispy aquatic alternative featuring shredded cabbage, tomatoes, pickles and tartar sauce."
A.1. Peppercorn,$11.89,Fire-Grilled Gourmet Burgers,"Red Robin Favorite! Gourmet burger joint or five-star steakhouse? It gets confusing with the hardwood-smoked bacon, melted Pepper-Jack, A.1.® Peppercorn Spread, tomatoes and crispy onion straws on an onion bun, making this burger worthy of five stars."
Red Robin Gourmet Cheeseburger,$10.39,Fire-Grilled Gourmet Burgers,"The one that made us famous. Featuring Red's pickle relish, tomatoes, onions, lettuce, pickles, mayo and choice of cheese."
Keep It Simple,$9.79,Fire-Grilled Gourmet Burgers,"For those time when less is more. Choose from our fire-grilled beef, Gardenburger® or BOCA® Original Vegan Burger patty with lettuce, tomatoes, pickles and onions on the side, served with your choice of Steak Fries® or Freckled Fruit® Salad."
Grilled Turkey,$10.19,Fire-Grilled Gourmet Burgers,"Gobble up our deliciously seasoned turkey patty, served on a whole-grain bun with zesty chipotle aioli, lettuce and tomatoes."
Sautéed Shroom,$11.29,Fire-Grilled Gourmet Burgers,"Mushrooms of the world, we sauté you—in garlic Parmesan! Topped with melted Swiss."
Burnin' Love,$11.59,Fire-Grilled Gourmet Burgers,"The King would approve of this one. Topped with fried jalapeño coins, salsa, Pepper-Jack, lettuce, tomatoes and chipotle aioli on a jalapeño-cornmeal kaiser roll. It’s love at first bite."
Whiskey River BBQ,$11.29,Fire-Grilled Gourmet Burgers,"Our smoky, tangy tribute to the Wild West. We roped together our signature bourbon-infused Whiskey River® BBQ sauce, crispy onion straws, Cheddar, lettuce, tomatoes and mayo. See if you can hang on to it for eight seconds."
Royal Red Robin,$11.59,Fire-Grilled Gourmet Burgers,"Which came first, the bacon or the egg? Who cares? You can have them both at once! Plus melted American cheese, tomatoes, lettuce and mayo."
The Wedgie™ Burger,$11.29,Fire-Grilled Gourmet Burgers,"Stacked with bacon, guac, tomato and red onion inside of a lettuce bun, then wrapped for easy handling—this 450-calorie protein powerhouse of a burger is full of flavor. Served with a side salad."
Chili Chili™ Cheeseburger,$11.39,Fire-Grilled Gourmet Burgers,"You might need an extra napkin. Served open-face with a generous helping of Red’s Chili Chili™, Cheddar cheese, chipotle aioli and diced red onions. Cleanup crew not included."
Prime Chophouse,$11.69,Fire-Grilled Gourmet Burgers,"White gloves not required. A fire-grilled burger layered with horseradish-sautéed mushrooms, gourmet steak sauce, Provolone, Country Dijon and crispy onion straws on an onion bun. Good thing you aren’t wearing gloves, because this could get messy."
Bacon Cheeseburger,$11.49,Fire-Grilled Gourmet Burgers,"Bacon. It makes everything better. Even our cheeseburger, which is already tough to beat. Topped with mayo, lettuce, tomatoes and your choice of cheese."
Guacamole Bacon,$11.59,Fire-Grilled Gourmet Burgers,"Guac, bacon, Swiss, tomatoes, lettuce, onion and mayo. No wonder you’ll be grinning after the first bite."
Banzai,$10.99,Fire-Grilled Gourmet Burgers,"The burger of beach bums, surfer dudes and hungry people. Glazed in teriyaki and topped with grilled pineapple, Cheddar, lettuce, tomatoes and mayo for a taste wave that’ll knock you off your board."
Bleu Ribbon,$11.59,Fire-Grilled Gourmet Burgers,"A highly prized burger. Topped with tangy steak sauce, chipotle aioli, Bleu cheese, tomatoes, lettuce and crispy onion straws. Served on an onion bun, it’s the envy of the county fair."
Chimi Fresco BG,$14.29,Fire-Grilled Gourmet Burgers, 
Veggie Burger,$10.79,Fire-Grilled Gourmet Burgers, 
Big Red's Tavern,$9.49,Red's Tavern Burgers, 
Big Pig Out Tavern,$11.49,Red's Tavern Burgers, 
Big Fiery Ghost Tavern,$11.49,Red's Tavern Burgers, 
Big Smoky Jack Tavern,$10.49,Red's Tavern Burgers, 
Big Spicy Sir-Acha Tavern,$9.49,Red's Tavern Burgers, 
Big Taco Tavern,$9.49,Red's Tavern Burgers, 
Smoky Jack Tavern,$7.99,Red's Tavern Burgers,"Classic patties topped with house-made, bourbon-infused Whiskey River® BBQ Sauce, Pepper-Jack cheese, pickles, red onions, lettuce and mayo."
Red's Tavern Double,$6.99,Red's Tavern Burgers,Two classic-sized patties of fire-grilled goodness.
Pig Out Tavern Double,$8.99,Red's Tavern Burgers,"A bacon lover’s dream—classic patties covered in a brown sugar glaze and topped with hardwood-smoked bacon with lettuce, tomatoes, American cheese and mayo."
Fiery Ghost Tavern Double,$8.99,Red's Tavern Burgers,"This combo of ghost pepper sauce, Pepper-Jack cheese and fried and fresh jalapeños will have you seeing things."
Spicy Sir-Acha Tavern Double,$6.99,Red's Tavern Burgers, 
Taco Tavern,$6.99,Red's Tavern Burgers,"Topped with fresh guac, crunchy tortilla strips, Pepper-Jack, lettuce and zesty salsa. You’ll wanna taco ’bout how tasty it is."
Smoke & Pepper™,$13.99,Red Robin's Finest Gourmet Burgers,Red Robin Favorite! Perhaps our Finest Burger yet. Topped with black-pepper bacon and extra-sharp Cheddar on a toasted ciabatta bun with house-made Smoke and Pepper ketchup.
Black & Bleu,$14.99,Red Robin's Finest Gourmet Burgers,"A true knife-and-fork burger. Sautéed, blackened portobello mushrooms, caramelized onions, house-made Bleu cheese sauce and Bleu cheese crumbles on a toasted ciabatta bun with Dijon sauce."
Mad Love,$14.49,Red Robin's Finest Gourmet Burgers, 
The Southern Charm Burger™,$14.29,Red Robin's Finest Gourmet Burgers,"Mind your manners around this Black Angus patty glazed with brown sugar and topped with candied bacon, honey BBQ sauce, sharp Cheddar, caramelized onions and mayo on a toasted ciabatta bun."
The Marco Pollo,$13.59,Red Robin's Finest Gourmet Burgers,"An all-natural, 7oz., fire-grilled chicken breast over arugula, covered with Fontina cheese and peppered bacon on an artisan telera bun spread with house-made, oven-roasted tomato aioli."
Pub Mac & Cheese,$7.99,Entrées, 
Shrimp & Slaw Platter,$12.99,Entrées,"There are plenty of fish in the sea, so try this combo instead: Crispy golden shrimp and coleslaw served with Steak Fries® and cocktail sauce."
Clucks & Fries,$11.19,Entrées,Crispy chicken tenders and Steak Fries® cooked to perfection.
Clucks & Shrimp,$13.59,Entrées,Fried chicken tenders and crispy shrimp docked alongside coleslaw and Steak Fries®. Try it with ranch and cocktail sauce for dipping.
Ensenada Chicken™ Platter,$12.99,Entrées,"Two fire-grilled chicken breasts basted with authentic Mexican seasonings, topped with fresh salsa and creamy salsa-ranch. Served with a side salad."
Ensenada Chicken™ Platter (Single Chicken Breast),$10.69,Entrées, 
Prime Rib Dip,$14.89,Entrées,"Tender sliced prime rib on a cheesy baguette with caramelized onions, horseradish sauce, Provolone and au jus (which is just a fancy word for delicious) for dipping. Served with coleslaw and Steak Fries®."
Arctic Cod Fish & Chips,$13.89,Entrées,"Premium hand-battered cod fillets, fried to crispy perfection, with our Steak Fries®. Served with dill’d and pickle’d tartar sauce. Round out this British favorite with a pint of ale, old chap!"
Clucks Buzz,$11.19,Entrées,Our classic clucks tossed in Buzz sauce and served with fries.
Searious Salmon,$14.19,Entrées, 
Citrus Harissa Salmon,$14.99,Entrées, 
Shrimp & Cod Duo,$14.19,Entrées,Premium Hand Battered cod fillets and golden shrimp served with coleslaw and bottomless steak fries plus cocktail sauce and dill'd and pickle'd tarter sauce for dipping.
Whiskey River BBQ sauce,$0.00,Deliciously Dunkable Dipping Sauce, 
Poppyseed-Honey Mustard,$0.00,Deliciously Dunkable Dipping Sauce, 
Bleu Cheese,$0.00,Deliciously Dunkable Dipping Sauce, 
Salsa-Ranch,$0.00,Deliciously Dunkable Dipping Sauce, 
Caesar,$0.00,Deliciously Dunkable Dipping Sauce, 
Mayo,$0.00,Deliciously Dunkable Dipping Sauce, 
Teriyaki,$0.00,Deliciously Dunkable Dipping Sauce, 
Tarter Sauce,$0.00,Deliciously Dunkable Dipping Sauce, 
Cocktail Sauce,$0.00,Deliciously Dunkable Dipping Sauce, 
Chipotle Aioli,$0.75,Deliciously Dunkable Dipping Sauce, 
Roasted Tomato Aioli,$0.75,Deliciously Dunkable Dipping Sauce, 
Salsa,$0.99,Deliciously Dunkable Dipping Sauce, 
Honey BBQ,$0.75,Deliciously Dunkable Dipping Sauce, 
Roasted Garlic Aioli,$0.75,Deliciously Dunkable Dipping Sauce, 
Smoke & Pepper™ Ketchup,$0.75,Deliciously Dunkable Dipping Sauce, 
Smoked Bacon,$0.75,Deliciously Dunkable Dipping Sauce, 
Sweet Pepper Thai,$0.75,Deliciously Dunkable Dipping Sauce, 
Buzzard,$0.00,Deliciously Dunkable Dipping Sauce, 
Campfire,$0.00,Deliciously Dunkable Dipping Sauce, 
Red's Secret Tavern Sauce™,$0.00,Deliciously Dunkable Dipping Sauce, 
Sweet & Spicy Ketchup,$0.00,Deliciously Dunkable Dipping Sauce, 
Honey Dijon,$0.00,Deliciously Dunkable Dipping Sauce, 
