name,date1,amount,number_investors,website,fb,twitter,instagram,location,description,Founder_0,Title_0,F-Linkedin_0,F-Twitter_0,F-Facebook_0,Bio_0,Founder_1,Title_1,F-Linkedin_1,F-Twitter_1,F-Facebook_1,Bio_1,Founder_2,Title_2,F-Linkedin_2,F-Twitter_2,F-Facebook_2,Bio_2,Founder_3,Title_3,F-Linkedin_3,F-Twitter_3,F-Facebook_3,Bio_3,Founder_4,Title_4,F-Linkedin_4,F-Twitter_4,F-Facebook_4,Bio_4,Founder_5,Title_5,F-Linkedin_5,F-Twitter_5,F-Facebook_5,Bio_5,Founder_6,Title_6,F-Linkedin_6,F-Twitter_6,F-Facebook_6,Bio_6,date,count
scrap.connection.inc,Nov 1 2017,20000,1617,http://www.scrapconnection.com,https://www.facebook.com/ScrapConnection/,http://twitter.com/ScrapCommunity,,"Muscle Shoals, AL","Scrap Connection is a global platform providing B2B software solutions to companies that buy, sell or broker recyclable materials. We connect scrap professionals to facilitate trade in a $250 Billion market. Our services include in-depth business and market intelligence, an online marketplace, and end-to-end trade workflow management and finance tools.",Chris Yerbey,Founder & CEO,https://www.linkedin.com/in/chris-yerbey-scrap-connection-bb268225,https://www.facebook.com/app_scoped_user_id/10154637538829769/,,12-year scrap industry veteran. Serial entrepreneur with 5 successful companies including 1 tech startup. Alabama native now based in the hottest tech startup center of Europe: Amsterdam!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-01,1
crowdmed,Apr 18 2017,2400000,617,https://www.crowdmed.com/,,,,"San Francisco, CA","We harness the wisdom of the crowds to help patients find the right path to a cure. Our community of expert Medical Detectives resolve challenging medical cases more quickly, accurately, and inexpensively than the traditional medical system.  Patients who come to CrowdMed have wasted years and thousands of dollars bouncing from specialist to specialist, yet are still seeking answers. Now, they can access a community of thousands of medical experts all at once, online for a fraction of the price.",Jared Heyman,CEO,https://www.linkedin.com/in/jaredheyman,,,"Jared is a 15-year Internet tech veteran whose previous company, Infosurv, is still an active multi-million dollar success. A travel junkie, has visited over 50 countries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-04-18,1
bloomery,Jan 28 2017,197000,361,http://bloomerysweetshine.com/,https://www.facebook.com/BloomeryPlantationDistillery/,http://twitter.com/bloomerytweets,,"Charles Town, WV","With a sweet spin on moonshine, Bloomery’s all natural, farm fresh SweetShine liqueurs are crafted the way the old timers used to do it, by hand. We embody authentic, simple, clean, farm-fresh flavors and adventurous, award-winning American made soul. In a bottle. We are the only craft distillery in America whose complete focus is on making a line of all natural, garden to glass cocktail liqueurs, while growing some of the farm-fresh ingredients, right here on our farm.",Linda Losey,CCO/COO,https://www.linkedin.com/in/linda-losey-ab966398,,,"Linda sets the vision for the company, and oversees operations as well as the direction of product lines, branding and marketing.",Rob Losey,Director of National Sales and Distribution,,,,"Rob is the go to guy. He oversees, manages and directs Bloomery's national sales and distribution, the tasting room and public relations.",Thomas J. Kiefer,CEO,https://www.linkedin.com/in/tom-kiefer-9978611,,,"A structural and civil engineer, Tom is the grounded partner, carrying out Bloomery's strategic plans and policies, and overseeing operations.",,,,,,,,,,,,,,,,,,,,,,,,,2017-01-28,1
mobilespike,Mar 26 2017,1100000,199,http://www.mobilespike.com,https://www.facebook.com/MobileSpike/,https://twitter.com/mobilespike007,,"Wilmington, DE","We help police officers end high speed pursuits from the safety of their vehicle. With a push of a button, a spiked strip shoots out and pops the fleeing car's tires instantly. Before, officers had to manually place spike strips along the road, putting them directly in danger. This tech hasn't been innovated since 1972, and now, nearly 12,000 people have died due to high speed chases. We're the first solution that lets officers deescalate a potentially fatal car chase with the push of a button.",Michael P. Moormeier,CEO,,,,"Michael was inspired to invent a safer solution for police pursuits after watching a program on high speed chases. A long-time problem solver, he conferred with law enforcers to perfect the system.",Todd O’Halloran,Director of R&D,,,,Todd brings 36 years of product research and development to the MobileSpike team. His aptitude for innovative thinking ranges from marine propulsion systems to anti-theft equipment .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-26,1
digitally.imported.inc,Dec 31 2017,273599,620,http://www.di.fm,http://www.facebook.com/digitallyimported,http://twitter.com/diradio,,"Denver, CO","Since 1999, Digitally Imported has offered electronic music fans a way to listen to the music they love. By hand-curating our entire catalog, we make it easy to find good electronic music and stream it from our website and mobile apps. With millions of registered listeners to date, users can listen for free or upgrade to our Premium service.",Ari Shohat,Founder and CEO,https://www.linkedin.com/in/ashohat,https://www.facebook.com/app_scoped_user_id/10154656573733605/,,Ari Shohat is an entrepreneur with over 17 years of experience in streaming media. He founded DI in 1999 while earning a degree in Computer Science and has extensive hands-on Development experience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-31,1
chareau,May 1 2017,100000,225,http://www.chareau.us,https://www.facebook.com/chareau.us/,,http://www.instagram.com/chareauspirit/,"Camarillo, CA","We've crafted the world's first alcoholic spirit from the increasingly popular aloe vera plant. Chareau is a light, refreshing liqueur versatile enough to be mixed in almost any cocktail and smooth enough to be sipped on the rocks. Our aloe spirit is unique—with half the amount of sugar and calories as similar liqueurs—and crafted from farm-fresh ingredients you can actually pronounce. That quality is why we're already in over 1000 bars and restaurants in 16 states.",Kurt Charron,President,,,,"10yrs in the beverage industry, 6+ yrs in hospitality. Graduate of USC & the Lloyd Greif Center for Entrepreneurial Studies. Graduate of The Ethanol Tech Institute and the Kothe Distillation Program.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-01,1
bioclonetics,Sep 30 2017,386766,586,http://www.bioclonetics.com,,,,"Heath, TX","BioClonetics is finalizing the production and testing of a monoclonal antibody to treat patients with HIV. HIV is a virus that infects 37 million and kills approximately 1.2 million every year, and today there is still no cure. At BioClonetics, we've created a  cell line that produces fully human monoclonal antibodies to specifically target and neutralize infectious diseases including HIV. If successful, this could be the first true cure for HIV at a fraction of the price of current treatment.",Joseph P. Cotropia,CSO,https://www.linkedin.com/in/joseph-cotropia-bb5a879,,,"Southwestern Medical School
M.S. Physiological Chemistry
B.S. Chemistry
Over 45 years of medical research and practice","Tomasz Zastawny, DSc, Ph.D.",Chief Clinical Operations Office,https://www.linkedin.com/in/tomasz-h-zastawny/,,,"Drug Development Executive with 20 years of global, cross-functional experience in Clinical Research, CMC, QA, Regulatory Affairs and Project Management in various therapeutic areas.",Paul D. Fellegy,Chief Financial Officer,https://www.linkedin.com/in/paul-d-fellegy-3a056515,,,Over 25 years of experience in the financial field working with national financial groups in a variety of roles.,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-30,1
fungi,Feb 10 2017,125000,181,http://www.fun-gi.com,https://www.facebook.com/fungigames,http://twitter.com/fun_gify,,"Torrance, CA","We design and publish games that enable emerging brands to engage fans beyond traditional media. Our first partners are the stars of HGTV's most-watched show ever: Chip and Jo of 'Fixer Upper'.  We will be launching our mobile game, House Flip, following the premiere of 'Fixer Upper' season 4 in mid December.",Alfred Fung,CEO,https://www.linkedin.com/in/alfredfung,https://twitter.com/MobileMadMen,https://www.facebook.com/app_scoped_user_id/10154783096819610/,"Prior to fun-gi, Alfred oversaw teams in LA, SF, and NYC for global leader in mobile advertising M&C Saatchi. His game experience started at Mobile Deluxe. He's also a Returned Peace Corps Volunteer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-02-10,1
epec.holdings.inc,Oct 20 2017,417500,279,http://jamesfchyde.com,https://www.facebook.com/JamesFCHydeSorghoWhiskey/,,,"Plantation, FL","Sorghum is the primary ingredient of history's oldest and most popular spirit, Chinese Baijiu, and now we're using it to make a brand new type of American whiskey the world has never tasted. James F.C. Hyde Sorgho® Whiskey's unique combination of flavor and aroma notes delight the palate, whether neat, on the rocks, in classic cocktails like a Manhattan or to inspire new world class cocktails. But don't just take our word for it–The Whiskey Wash gave us a 5/5 rating, a best in category.",Steve Vanechanos,Executive Chairman of the Board,https://www.linkedin.com/in/steve-vanechanos-000ab120/,,,"Board member of the Sweet Sorghum Association. Previously CEO of DynamicWeb, which was sold at a $50 million valuation. He was also a member of the American Stock Exchange Board of Governors.",Brian Van Flandern,Board of Directors - Strategic Industry Relations,https://www.linkedin.com/in/brian-van-flandern-8798107/,,,"World renowned Michelin 3-Star mixologist and cocktail book author. Named America’s Top Mixologist by the Food Network. Featured in dozens of publications and TV shows, and sold 100,000 book copies.",James Hyde,Vice Chairman of the Board,https://www.linkedin.com/in/jim-hyde-38199616/,,,Former Vice Chairman of the American Stock Exchange. Proud St. Johns graduate.,Ron Miller,Co-Vice Chairman,https://www.linkedin.com/in/ron-miller-472243115,,,Early ethanol pioneer as President/CEO of Fortune 1000 Aventine Renewable Energy. Founding member/chairman of the Renewable Fuels Association. Named “Entrepreneur of the Year” by Ernst and Young.,Glenn Pohs,,,,,,,,,,,,,,,,,,2017-10-20,1
ridgemontoutfitters,Oct 21 2017,195272,342,http://ridgemontoutfitters.com/,https://www.facebook.com/ridgemontoutfitters/,,,"Signal Hill, CA","When we couldn’t find the perfect adventure footwear for people like us, we set out to design it ourselves.  Ridgemont is all about form and function.  It's great quality, good looking footwear that performs when you're walking the dog or conquering the trail—but also feels comfortable enough to wear at work or out for dinner. We combine the best materials and construction techniques but with a modern aesthetic. Our mission is to move the outdoor footwear market forward to the 21st century.",Alex Hall,CEO,https://www.linkedin.com/in/alex-hall-b07a7129,,,"Former CEO of DuFFs. Founder of Jackal Distribution. Over 20 years experience of managing and directing all aspects of the introduction, marketing	and distribution of outdoor lifestyle brands.",Stacy Lowery,President,https://www.linkedin.com/in/stacy-lowery-10a09251,,,"A retired professional skateboarder, Stacy has been designing and developing shoes for core skateboarding, the action sports lifestyle, and most recently the outdoor industry for the last 8 years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-10-21,1
snapwire,May 1 2017,400000,397,https://snapwi.re,https://www.facebook.com/getsnapwire,http://twitter.com/snapwire,,"Santa Barbara, CA","Snapwire connects proven photographers, who shoot authentic & affordable royalty-free photos, to businesses & brands. Today's stock photos are overused and outdated. With Snapwire, brands call the shot, set a price, provide inspiration and 300K photographers take the challenge to shoot the perfect photos. Submissions are reviewed and licensed. Finding a stock photo to match a brand's story is like finding a needle in a haystack. Not anymore. Let affordable custom photos come to you.",Chad Newell,CEO,https://www.linkedin.com/in/chadrnewell,https://twitter.com/snapwire,https://www.facebook.com/app_scoped_user_id/1884998825057231/,"Before Snapwire, Chad founded and served as CEO of Media Bakery, served as a COO for ImageState PLC, and helped build Getty Images' Image Bank Footage Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-01,1
zipzap,Jul 13 2017,1075000,294,http://zipzap.me/,https://www.facebook.com/ZipZapInc,http://twitter.com/zipzap,,"Orinda, CA","Migrant workers send $600 billion every year to loved ones in their home countries. ZipZap makes it easy for these workers far from home to send unlimited remittances for a flat monthly rate of $25. Instead of having to visit a store, wait in line, and pay expensive fees, migrant workers can now send as many remittances as they want, at amounts they can afford—all from their phone. This is thanks to our unique technology that combines traditional SWIFT transfers with Blockchain technology.",Alan Safahi,CEO,https://www.linkedin.com/in/safahi,,,A serial entrepreneur with nearly 30 years of hands-on experience in the information tech and telecommunications industry. Successfully created and managed numerous  payment processing startups.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-13,1
myswimpro,Sep 1 2017,50000,138,http://myswimpro.com,http://facebook.com/myswimpro,http://twitter.com/myswimpro,,"Ann Arbor, MI","We deliver an incredible experience for swimmers of all levels through personalized swim workouts, instructional video content,  and detailed analytics. We've received international accolades from Apple (named Best Watch App of 2016), have been featured in Sports Illustrated and in Apple CEO Tim Cook's keynote address.",Fares Ksebati,CEO,https://www.linkedin.com/in/faresksebati,https://twitter.com/faresksebati,https://www.facebook.com/app_scoped_user_id/10208503336641656/,"A nationally recognized coach, and former collegiate swimmer. He swam at Wayne State University in Detroit and has coached for the last 7 years including: USA Club, Masters and triathlon",Adam Oxner,iOS Lead,https://www.linkedin.com/in/adoxner/,https://twitter.com/adoxner,https://www.facebook.com/adoxner,Swam collegiately at the University of Michigan. He enjoys developing for the intersection of technology and swimming with a passion for building products that make a difference in people's lives.,Michael Allon,Android Lead,https://www.linkedin.com/in/michaelallon,https://twitter.com/allonmj,https://www.facebook.com/michael.allon.54,Michael is passionate about designing mobile products and building startups. He enjoys working with swimmer's and building solutions that help them acheive their goals.,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-01,1
rentuscom,Aug 19 2017,95000,258,https://www.rentus.com,https://www.facebook.com/rentuscom/,http://twitter.com/RentUScom,,"Sherman Oaks, CA","Rentus.com is a mobile and online rental marketplace where people are able to rent just about anything: from tools and equipment, to party supplies and camping gear. Rentus is using the rise of the sharing economy to also bring the person-to-person rental industry to a user-friendly platform, as well as create a new marketplace and low cost access to consumers for companies in the rental business.",Elias Chavando,President & CEO,https://www.linkedin.com/in/chavando,https://twitter.com/EChavando,,"-Director, Autotrader.com
- Founder, Reagan.com
- Consultant and Director of multi-national classified marketplaces",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-19,1
