Rating,Number Of Ratings,Address
4.5/5,1959 ratings,"Kenwood Towne Centre, 7875 Montgomery Rd, Cincinnati, OH 45236"
Catering Fresh Vegetable Salad,$44.95,Appetizer Salads,"Asparagus, Green Beans, Tomato, Cucumber, Roasted Beets, Apple, Edamame, Radicchio, Romaine and White Cheddar All Chopped with Pomegranate Vinaigrette."
Catering Fresh Vegetable Salad with Chicken,$56.95,Appetizer Salads,"Asparagus, Green Beans, Tomato, Cucumber, Roasted Beets, Apple, Edamame, Radicchio, Romaine and White Cheddar All Chopped with Pomegranate Vinaigrette."
Catering Factory Chopped Salad,$52.95,Appetizer Salads,"A Delicious Blend of Julienne Romaine, Grilled Chicken, Tomato, Avocado, Corn, Bacon, Blue Cheese and Apple with Our Vinaigrette."
Catering Cheese Pizza,$12.50,Pizza, 
Catering Pepperoni Pizza,$13.95,Pizza, 
Catering Margherita Pizza,$13.50,Pizza,"Fresh Mozzarella, Basil and Tomato Sauce."
Catering BBQ Chicken Pizza,$13.95,Pizza,"Mozzarella, Fontina, Red Onion and Cilantro."
Catering The Everything Pizza,$14.95,Pizza,"Pepperoni, Sausage, Peppers, Onions, Mushrooms, Mozzarella and Tomato Sauce. Kalamata Olives on Request."
Catering White Chicken Chili,$61.95,Specialties,"A Generous Bowl of Chicken, White Beans, Roasted Green Chiles, Onions and Garlic with a Touch of Cream. Garnished with Steamed White Rice and Fresh Salsa."
Catering Shepherd's Pie,$67.95,Specialties,"Ground Beef, Carrots, Peas, Zucchini and Onions in a Delicious Mushroom Gravy Covered with a Mashed Potato-Parmesan Cheese Crust."
Catering Truffle-Honey Chicken,$71.95,Specialties,"Fried Chicken Breast with Truffle-Honey, Asparagus and Mashed Potatoes."
Catering Famous Factory Meatloaf,$75.95,Specialties,"Served with Mashed Potatoes, Mushroom Gravy, Grilled Onions and Corn Succotash."
Catering Chicken Madeira,$79.95,Specialties,Our most popular chicken dish! Sautéed Chicken Breast Topped with Fresh Asparagus and Melted Mozzarella Cheese. Covered with Fresh Mushroom Madeira Sauce and Served with Mashed Potatoes.
Catering Crusted Chicken Romano,$73.95,Specialties,Breast of Chicken Coated with a Romano-Parmesan Cheese Crust. Served with Pasta in a Light Tomato Sauce.
Catering Orange Chicken,$71.95,Specialties,Deep Fried Pieces of Chicken Breast Covered in a Sweet and Spicy Orange Sauce. Served with White Rice and Vegetables.
Catering Crispy Chicken Costoletta,$75.95,Specialties,"Chicken Breast Lightly Breaded and Sautéed to a Crisp Golden Brown. Served with Lemon Sauce, Mashed Potatoes and Fresh Asparagus."
Catering Chicken Piccata,$75.95,Specialties,"Sautéed Chicken Breast with Lemon Sauce, Mushrooms and Capers. Served with Angel Hair Pasta."
Catering Spicy Cashew Chicken,$71.95,Specialties,A Very Spicy Mandarin-Style Dish with Green Onions and Roasted Cashews. Served over Rice.
Catering Teriyaki Chicken,$73.95,Specialties,Chicken Breast Charbroiled with Teriyaki Sauce. Served with Steamed Rice.
Catering Chicken Marsala and Mushrooms,$81.95,Specialties,Chicken Breast Sautéed with Fresh Mushrooms in a Rich Marsala Wine Sauce. Served over Bow-Tie Pasta.
Catering Bang-Bang Chicken and Shrimp,$83.95,Specialties,"A Spicy Thai Dish with the Flavors of Curry, Peanut, Chile and Coconut. Sautéed with Vegetables and Served over Steamed White Rice."
