Rating,Number Of Ratings,Address
4.6/5,1538 ratings,"400 S Baldwin Ave #903l, Arcadia, CA 91007, USA"
Catering 10 Inch Fresh Strawberry,$59.95,Most Loved, 
Catering Avocado Eggrolls,$50.95,Most Loved,"Avocado, Sun-Dried Tomato, Red Onion and Cilantro Fried in a Crisp Wrapper. Served with a Tamarind-Cashew Dipping Sauce."
Catering Chinese Chicken Salad,$67.95,Most Loved,"Chicken Breast, Rice Noodles, Lettuce, Green Onions, Almonds, Crisp Wontons, Bean Sprouts, Orange and Sesame Seeds. Tossed in Our Special Chinese Plum Dressing."
Catering 10 Inch Oreo Dream Extreme Cheesecake,$57.95,Most Loved, 
Catering Orange Chicken,$71.95,Most Loved,Deep Fried Pieces of Chicken Breast Covered in a Sweet and Spicy Orange Sauce. Served with White Rice and Vegetables.
Catering Cajun Jambalaya Pasta,$83.95,Most Loved,"Shrimp and Chicken Sautéed with Tomato, Onions and Peppers in a Very Spicy Cajun Sauce. All on Top of Fresh Linguini."
Catering Barbeque Ranch Chicken Salad,$67.95,Most Popular,"Avocado, Tomato, Grilled Corn, Black Beans, Cucumber and Romaine All Tossed with Our Barbeque Ranch Dressing. Topped with Lots of Crispy Fried Onion Strings for Crunch."
Catering Pepperoni Pizza,$14.50,Most Popular, 
Catering Miso Salmon,$87.95,Most Popular,"Fresh Miso Marinated Salmon Served with Snow Peas, White Rice and a Delicious Miso Sauce."
Catering The Everything Pizza,$15.50,Most Popular,"Pepperoni, Sausage, Peppers, Onions, Mushrooms, Mozzarella and Tomato Sauce. Kalamata Olives on Request."
Catering Four Cheese Pasta with Chicken,$85.95,Most Popular,"Penne Pasta, Mozzarella, Ricotta, Romano and Parmesan Cheeses, Marinara Sauce and Fresh Basil."
Catering Chicken Marsala and Mushrooms,$83.95,Most Popular,Chicken Breast Sautéed with Fresh Mushrooms in a Rich Marsala Wine Sauce. Served over Bow-Tie Pasta.
Catering Cheese Pizza,$12.95,Most Popular, 
Catering Pasta da Vinci,$75.95,Most Popular,"Sautéed Chicken, Mushrooms and Onions in a Delicious Madeira Wine Sauce Tossed with Penne Pasta."
Catering Chicken Piccata,$77.95,Most Popular,"Sautéed Chicken Breast with Lemon Sauce, Mushrooms and Capers. Served with Angel Hair Pasta."
Catering Chicken Pot Stickers,$46.95,Appetizers,Asian Dumplings Pan-Fried in the Classic Tradition. Served with Our Soy-Ginger Sesame Sauce.
Catering Avocado Eggrolls,$50.95,Appetizers,"Avocado, Sun-Dried Tomato, Red Onion and Cilantro Fried in a Crisp Wrapper. Served with a Tamarind-Cashew Dipping Sauce."
Catering Quesadilla,$44.95,Appetizers,"Grilled Flour Tortilla Filled with Melted Cheese, Green Onions and Chiles. Garnished with Guacamole, Salsa and Sour Cream."
Catering Hot Spinach and Cheese Dip,$52.95,Appetizers,"Spinach, Artichoke Hearts, Shallots, Garlic and a Mixture of Cheeses Served Bubbly Hot with Tortilla Chips and Salsa. Enough for Two"
Catering Tex Mex Eggrolls,$46.95,Appetizers,"Spicy Chicken, Corn, Black Beans, Peppers, Onions and Melted Cheese. Served with Avocado Cream and Salsa."
Catering Thai Lettuce Wraps,$60.95,Appetizers,"Create Your Own Thai Lettuce Rolls! Satay Chicken Strips, Carrots, Bean Sprouts, Coconut Curry Noodles and Lettuce Leaves with Three Delicious Spicy Thai Sauces – Peanut, Sweet Red Chili and Tamarind-Cashew."
Catering Guacamole and Chips,$52.95,Appetizers,"Avocado, Onion, Tomato, Chiles, Cilantro and Fresh Lime. Served with Tortilla Chips, Salsa and Sour Cream."
Catering Buffalo Wings,$54.95,Appetizers,Fried Wings Covered in Hot Sauce and Served with Blue Cheese Dressing and Celery Sticks.
Catering Tossed Green Salad,$31.95,Appetizer Salads,"Mixed Greens, Assorted Vegetables, Tomato and Croutons with Your Choice of Dressing."
Catering Caesar Salad,$44.95,Appetizer Salads,"The Almost Traditional Recipe with Croutons, Parmesan Cheese and Our Special Caesar Dressing."
