Rating,Number Of Ratings,Address
4.5/5,5309 ratings,"2601 Preston Road, Frisco, TX 75034, USA"
Key Lime Cheesecake,$7.95,Cheesecakes & Specialty Desserts,Key Lime Pie in a Cheesecake! Deliciously Tart and Creamy on a Vanilla Crumb Crust.
Low Carb Cheesecake,$7.50,Cheesecakes & Specialty Desserts,Sweetened with Splenda®. Smooth and Creamy with a Graham-Walnut Crust.
Low Carb Cheesecake with Strawberries,$7.95,Cheesecakes & Specialty Desserts,Sweetened with Splenda®. Graham-Walnut Crust with Fresh Strawberries and Whipped Cream.
Caramel Pecan Turtle Cheesecake,$7.95,Cheesecakes & Specialty Desserts,"Pecan Brownie and Caramel-Fudge Swirl Cheesecake, Topped with Caramel Turtle Pecans and Chocolate."
Snickers Bar Chunks and Cheesecake,$7.95,Cheesecakes & Specialty Desserts,"Creamy Cheesecake Topped with Snickers® Bar, Fudge and Caramel."
Craig's Crazy Carrot Cake Cheesecake,$7.95,Cheesecakes & Specialty Desserts,"Carrot Cake and Cheesecake Swirled Together, Topped with Cream Cheese Icing and Roasted Almonds."
Cherry Cheesecake,$7.50,Cheesecakes & Specialty Desserts,A Classic! The Original Topped with Cherry Preserves.
Linda's Fudge Cake,$8.50,Cheesecakes & Specialty Desserts,Layers of Rich Chocolate Cake and Fudge Frosting.
Black-Out Cake,$8.50,Cheesecakes & Specialty Desserts,"Our Deepest, Richest Chocolate Cake with Chocolate Chips, Finished with Almonds."
Carrot Cake,$8.50,Cheesecakes & Specialty Desserts,Deliciously Moist Layers of Carrot Cake and Our Famous Cream Cheese Icing.
Lemoncello Cream Torte™,$8.50,Cheesecakes & Specialty Desserts,Layers of Vanilla Cake and Lemon Mascarpone Cream. Topped with Streusel and Served with Strawberries and Whipped Cream.
Tiramisu Cake,$8.50,Cheesecakes & Specialty Desserts,"Italian Custard Made with Mascarpone, Whipped Cream, Lady Fingers, Chocolate, Marsala and Coffee Liqueur."
Chocolate Tower Truffle Cake™,$8.50,Cheesecakes & Specialty Desserts,Layers and Layers of Fudge Cake with Chocolate Truffle Cream and Chocolate Mousse.
Fresh Strawberry Shortcake,$8.95,Cheesecakes & Specialty Desserts,"Our Own Shortcake Topped with Vanilla Ice Cream, Fresh Strawberries and Whipped Cream."
Bowl of Fresh Strawberries,$7.50,Cheesecakes & Specialty Desserts, 
