Rating,Number Of Ratings,Address
4.4/5,732 ratings,"280 S Coast Hwy, Laguna Beach, CA 92651, USA"
Lemon Thyme Chicken,$14.50,BJ's Enlightened Entrées,Herb-roasted chicken breasts | big poppa smokers’ desert gold rub | brown rice | sautéed red onions | fire-roasted red peppers | tomatoes | roasted brussels sprouts | lemon thyme sauce (cal. 650).
Fire-Roasted Barbacoa Chicken,$13.50,BJ's Enlightened Entrées,Barbacoa-spiced chicken | brown rice | black beans | feta cheese | cilantro | Greek yogurt crema | fire-roasted tomato salsa (cal. 520).
Mediterranean Chicken Pita Tacos,$11.25,BJ's Enlightened Entrées,Seasoned grilled chicken | cucumber | tomatoes | red onions | feta cheese | cilantro | red wine vinaigrette | greek yogurt crema | chargrilled pita | seasonal bistro grains on the side (cal. 670).
Shrimp and Arugula Pita Tacos,$11.75,BJ's Enlightened Entrées,All enlightened tacos are served with seasonal bistro grains. Broiled shrimp | tomatoes | arugula | parmesan cheese | cilantro lime vinaigrette | chargrilled pita (cal. 790).
Barbeque Bison Burger,$12.75,BJ's Enlightened Entrées,"Seasoned, lean, all-natural ground buffalo | BJ’s Peppered BBQ sauce | seared Hatch chiles | pico de gallo | santa fe dressing | red onions | lettuce | toasted parker house bun | mixed green salad (cal. 700)."
Turkey Burger,$10.75,BJ's Enlightened Entrées,All-white-meat patty | baby field greens | red wine vinaigrette | dried cranberries | tomatoes | chargrilled red onions | dijon mayonnaise | toasted parker house bun | mixed green salad (cal. 780).
Shrimp Scampi Pasta,$18.50,Specialty Entrées,Sauteed jumbo shrimp | spaghetti | garlic butter sauce | diced tomatoes | garlic | fresh basil |parsley | parmesan cheese
Shrimp and Asparagus Penne,$17.50,Specialty Entrées,Sautéed garlic shrimp | asparagus | zesty marinara | fresh basil | Parmesan cheese | toasted bread crumbs (cal. 730)
Italiano Vegetable Penne,$12.25,Specialty Entrées,Sautéed bell peppers | onions | garlic | seasoned tomatoes | zesty marinara | Parmesan cheese | fresh basil (cal. 740)
BJ's Brewhouse Blonde Fish 'N' Chips,$15.50,Specialty Entrées,Lightly fried cod fillets | BJ’s brewhouse blonde® batter | fries | housemade tartar sauce (cal. 1110).
Jumbo Spaghetti and Meatballs,$15.95,Specialty Entrées,Housemade meatballs | herb tomato sauce | fresh garlic | red pepper flakes | fresh basil | Parmesan cheese (cal. 1460)
Deep Dish Ziti,$15.95,Specialty Entrées,Housemade meatballs | Italian sausage | diced pepperoni | zesty marinara | Italian herbs | BJ’s signature five cheese blend | Parmesan cheese | fresh basil (cal. 1400)
Grilled Chicken Alfredo,$16.25,Specialty Entrées,"Herb-roasted, grilled chicken | fettuccini | creamy alfredo | steamed broccoli | Parmesan cheese (cal. 1380)"
New Orleans Jambalaya,$18.75,Specialty Entrées,Blackened chicken breast | sautéed shrimp | chicken-andouille sausage | bell peppers | white onions | tomatoes | Cajun-spiced broth | rice pilaf (cal. 1140).
Santa Fe Salad,$14.50,BJ's Garden Fresh Entrée Salads,Crisp romaine | blackened chicken breast | red onions | fire-roasted red peppers | jack + cheddar cheese | avocado | sweet corn | tomatoes | crisp corn tortilla strips | santa fe dressing (cal. 980).
Derby-Style Chicken Cobb,$13.75,BJ's Garden Fresh Entrée Salads,Crisp romaine | slow-roasted herb Turkey breast | hard-boiled egg | applewood smoked bacon | avocado | jack + cheddar cheese | cucumbers | tomatoes | bleu cheese crumbles | housemade avocado ranch dressing (cal. 1060).
Honey-Crisp Chicken Salad,$14.50,BJ's Garden Fresh Entrée Salads,Crisp romaine | iceberg lettuce | lightly fried chicken tenders | toasted almonds | cucumber | hard-boiled egg | sweet corn | tomatoes | honey mustard dressing (cal. 1370).
Barbeque Chicken Chopped Salad,$14.25,BJ's Garden Fresh Entrée Salads,Crisp romaine | iceberg lettuce | sweet corn | black beans | crunchy jicama | mozzarella | tomatoes | green onions | cilantro | BBQ ranch dressing | crispy onion strings (cal. 930).
Caesar Salad,$11.25,BJ's Garden Fresh Entrée Salads,Crisp romaine | oven-baked croutons | parmesan cheese | creamy Caesar dressing (cal. 810).
