Rating,Number Of Ratings,Address
4.4/5,732 ratings,"280 S Coast Hwy, Laguna Beach, CA 92651, USA"
Cookies 'N' Cream,$7.25,World-Famous Pizookies®,Premium flavors. Rich chocolate cookie with the taste of oreo® cookies | rich vanilla bean ice cream | a dollop of mousse (cal. 1230).
Monkey Bread,$7.50,World-Famous Pizookies®,"Premium flavors. Fresh-baked, pull-apart bread | butter | brown sugar | cinnamon | rich vanilla bean ice cream (cal. 1260)."
Salted Caramel,$7.50,World-Famous Pizookies®,Caramel cookie dough | sweet almond toffee | crunchy pretzel bites | white + Ghirardelli®  dark chocolate chips | rich vanilla bean ice cream | caramel sauce (cal. 1360).
Triple Chocolate Made with Ghirardelli,$7.50,World-Famous Pizookies®,Premium flavors. Rich chocolate cookie with chunks of ghirardelli® chocolate | ghirardelli® double chocolate chip ice cream | ghirardelli® dark chocolate chips (cal. 1180).
Gluten‑Free Chocolate Chip,$7.50,World-Famous Pizookies®,Premium flavors. Gluten-free item. Fresh-baked chocolate chip cookie | rich vanilla bean ice cream (cal. 1180).
Chocolate Chunk,$6.95,World-Famous Pizookies®,Classic flavors. Fresh-baked chocolate chip cookie | rich vanilla bean ice cream (cal. 1150).
White Chocolate Macadamia Nut,$6.95,World-Famous Pizookies®,Classic flavors. Buttery sugar cookie | white chocolate chunks | macadamia nuts | rich vanilla bean ice cream (cal. 1220).
Peanut Butter,$6.95,World-Famous Pizookies®,Classic flavors. Fresh-baked peanut butter cookie | rich vanilla bean ice cream (cal. 1220).
BJ's Baked Beignet,$7.50,More Great Desserts,Fluffy dough baked golden brown | dusting of cinnamon + sugar | rich vanilla bean ice cream | fresh strawberries | a drizzle of strawberry purée | whipped cream (cal. 630).
Ice Cream - 1 Scoop,$2.25,More Great Desserts,Rich vanilla bean | Ghirardelli® Double Chocolate Chip
Ice Cream - 2 Scoops,$3.25,More Great Desserts,Rich vanilla bean | Ghirardelli® Double Chocolate Chip
Sunset Peach Iced Tea,$1.95,Beverages,Zero-calorie and caffeine-free.
Berry Hibiscus Iced Tea,$1.95,Beverages,Zero-calorie and caffeine-free.
Cucumber Mint Sparkling Water,$1.50,Beverages, 
Raspberry Sparkling Water,$1.50,Beverages, 
Peachberry Iced Tea,$1.95,Beverages, 
Iced Tea,$1.95,Beverages, 
Mandarin Orange Green Tea,$1.95,Beverages, 
Sparkling Raspberry Lemonade,$1.95,Beverages, 
Strawberry Lemonade,$1.95,Beverages, 
Lemonade,$1.95,Beverages, 
BJ's Handcrafted Draft Sodas,$1.95,Beverages, 
BJ's Handcrafted Floats,$4.25,Beverages, 
Soda,$1.95,Beverages, 
Hot Tea,$1.95,Beverages, 
San Pellegrino Sparkling Mineral Water,$3.25,Beverages, 
San Pellegrino Sparkling Mineral Water,$1.95,Beverages, 
Cold Brew Coffee,$3.25,Beverages,Cal. 0.
Cappuccino,$3.50,Beverages,Hot (cal. 100).
Salted Caramel Cold Brew Coffee,$3.75,Beverages,Cal. 160.
Café Latte,$3.50,Beverages,Hot (cal. 100).
Coffee,$1.95,Beverages, 
Decaf Coffee,$1.95,Beverages, 
"Chandon Brut Classic, California | 750mL, 13% abv",$9.25,Wine, 
"La Marca Prosecco, Italy | 750mL, 11% abv",$8.25,Wine, 
"Beringer White Zinfandel, Napa | 750mL, 10% abv",$22.75,Wine, 
"Mirassou Moscato, California | 750mL, 7.5% abv",$25.50,Wine, 
"Chateau Ste. Michelle Riesling, Columbia Valley | 750mL, 12% abv",$25.50,Wine, 
"Ecco Domani Pinot Grigio, Italy | 750mL, 12.5% abv",$27.25,Wine, 
"Clos du Bois Pinot Grigio, California | 750mL, 13% abv",$31.75,Wine, 
"Kim Crawford Sauvignon Blanc, New Zealand | 750mL, 12.5% abv",$39.50,Wine, 
"Barefoot Chardonnay, California | 750mL, 13% abv",$22.75,Wine, 
"Hess Select Chardonnay, Monterey | 750mL, 13.5% abv",$29.95,Wine, 
"Kendall‑Jackson Chardonnay, California | 750mL, 13.5% abv",$34.95,Wine, 
"Dark Horse Chardonnay | 750mL, 13.5% abv",$27.95,Wine, 
"Sonoma‑Cutrer Russian River Ranches Chardonnay, Sonoma Coast | 750mL, 14% abv",$45.75,Wine, 
"Barefoot Merlot, California | 750mL, 13.5% abv",$22.75,Wine, 
"14 Hands Merlot, Washington | 750mL, 13.5% abv",$31.75,Wine, 
"Estancia Pinot Noir, Monterey | 750mL, 13.5% abv",$34.95,Wine, 
"La Crema Pinot Noir, Monterey | 750mL, 13.5% abv",$39.50,Wine, 
"Apothic Red Winemaker's Blend, California | 750mL, 13.10% abv",$26.25,Wine, 
"Elsa Malbec, Argentina | 750mL, 14% abv",$30.75,Wine, 
"Dark Horse Cabernet Sauvignon | 750mL, 13.5% abv",$27.95,Wine, 
"Estancia Cabernet Sauvignon, Paso Robles | 750mL, 13.5% abv",$37.75,Wine, 
Disclaimer,$0.00,Disclaimer, 
