Rating,Number Of Ratings,Address
4.6/5,1074 ratings,"939 Broxton Avenue, Los Angeles, CA 90024, USA"
Big Kids' Grilled Chicken Alfredo,$6.25,Kid's Menu,"Herb-roasted, grilled chicken | fettuccini | creamy alfredo | steamed broccoli | parmesan cheese | garlic parmesan knot | choice of kids' drink."
Kid's Mini Pizookies,$2.75,Kid's Menu,A warm cookie topped with ice cream. Your choice of: chocolate chunk | white chocolate macadamia nut | cookies 'n' cream | peanut butter | salted caramel | triple chocolate | gluten - free chocolate chip.
Kid's Sundae,$1.95,Kid's Menu,Scoop of rich vanilla bean ice cream | chocolate syrup | whipped cream | cherry on top.
Sunset Peach Iced Tea,$1.95,Beverages,Zero-calorie and caffeine-free.
Berry Hibiscus Iced Tea,$1.95,Beverages,Zero-calorie and caffeine-free.
Cucumber Mint Sparkling Water,$1.95,Beverages, 
Raspberry Sparkling Water,$1.95,Beverages, 
Peachberry Iced Tea,$1.95,Beverages, 
Iced Tea,$1.95,Beverages, 
Mandarin Orange Green Tea,$1.95,Beverages, 
Sparkling Raspberry Lemonade,$1.95,Beverages, 
Strawberry Lemonade,$1.95,Beverages, 
Lemonade,$1.95,Beverages, 
BJ's Handcrafted Draft Sodas,$1.95,Beverages, 
Soda,$1.95,Beverages, 
Hot Tea,$1.95,Beverages, 
San Pellegrino Sparkling Mineral Water,$3.50,Beverages, 
Cold Brew Coffee,$3.25,Beverages,Cal. 0.
Salted Caramel Cold Brew Coffee,$3.95,Beverages,Cal. 160.
Berry Sweet Limeade,$1.95,Beverages, 
Cappuccino,$3.50,Beverages,Hot (cal. 100).
Orange Twist,$1.95,Beverages, 
Café Latte,$3.50,Beverages,Hot (cal. 100).
Coffee,$1.95,Beverages, 
Decaf Coffee,$1.95,Beverages, 
BJ's Peanut Butter S'mores,$8.25,World-Famous Pizookies®,Premium flavors. Ghirardelli® triple chocolate cookie | peanut butter | marshmallow fluff | marshmallows | rich vanilla bean ice cream | available in regular size only. (cal. 1580).
Cookies 'N' Cream,$7.75,World-Famous Pizookies®,Premium flavors. Rich chocolate cookie with the taste of oreo® cookies | rich vanilla bean ice cream | a dollop of mousse (cal. 1230).
Monkey Bread,$8.25,World-Famous Pizookies®,"Premium flavors. Fresh-baked, pull-apart bread | butter | brown sugar | cinnamon | rich vanilla bean ice cream (cal. 1260)."
Salted Caramel,$8.25,World-Famous Pizookies®,Premium flavors. Caramel cookie dough | sweet almond toffee | crunchy pretzel bites | white + Ghirardelli ®  dark chocolate chips | rich vanilla bean ice cream | caramel sauce (cal. 1360).
Triple Chocolate Made with Ghirardelli,$8.25,World-Famous Pizookies®,Premium flavors. Rich chocolate cookie with chunks of ghirardelli® chocolate | ghirardelli® double chocolate chip ice cream | ghirardelli® dark chocolate chips (cal. 1180).
Gluten‑Free Chocolate Chip,$8.25,World-Famous Pizookies®,Premium flavors. Gluten-free item. Fresh-baked chocolate chip cookie | rich vanilla bean ice cream (cal. 1180).
Chocolate Chunk,$7.75,World-Famous Pizookies®,Classic flavors. Fresh-baked chocolate chip cookie | rich vanilla bean ice cream (cal. 1150).
White Chocolate Macadamia Nut,$7.75,World-Famous Pizookies®,Classic flavors. Buttery sugar cookie | white chocolate chunks | macadamia nuts | rich vanilla bean ice cream (cal. 1220).
Peanut Butter,$7.75,World-Famous Pizookies®,Classic flavors. Fresh-baked peanut butter cookie | rich vanilla bean ice cream (cal. 1220).
BJ's Baked Beignet,$8.25,More Great Desserts,Fluffy dough baked golden brown | dusting of cinnamon + sugar | rich vanilla bean ice cream | fresh strawberries | a drizzle of strawberry purée | whipped cream (cal. 630).
Ice Cream - 1 Scoop,$3.50,More Great Desserts,Rich vanilla bean | Ghirardelli® Double Chocolate Chip
Ice Cream - 2 Scoops,$4.50,More Great Desserts,Rich vanilla bean | Ghirardelli® Double Chocolate Chip
Disclaimer,$0.00,Disclaimer, 
